model,policy,dense_to_sparse_kl,top1_agreement,nll_delta,selected_fraction
qwen05,bound_calibrated,11.972672462463379,0.022571564652025634,10.250447273254395,0.6313052324822473
qwen05,bound_t0.9,2.312125484148661,0.49827025830745697,1.6612029075622559,0.9481210350093985
qwen05,cell_fixed,11.571325302124023,0.015873016168673832,10.293442726135254,0.5
qwen05,diag_calibrated,11.858279546101889,0.015873016168673832,10.373172760009766,0.5630488283580976
qwen05,diag_t0.9,1.63474440574646,0.41186744968096417,0.9158334732055664,0.920183235712048
qwen05,paper_fixed,11.198102315266928,0.0250305254012346,9.775863647460938,0.4999412593984962
qwen05,raw_calibrated,11.53633975982666,0.033102700486779164,10.078281402587889,0.6224900630482457
qwen05,raw_t0.9,3.7818575700124106,0.17940239111582437,2.763663132985433,0.9406566080379521
smol360,bound_calibrated,11.639360109965006,0.0,10.337380727132162,0.603422619047619
smol360,bound_t0.9,0.5918951133886973,0.6216784914334615,0.050570885340372705,0.9482886904761901
smol360,cell_fixed,14.876453399658203,0.03350168342391647,13.96539052327474,0.5
smol360,diag_calibrated,12.126506805419922,0.0,10.850434303283691,0.564360119047619
smol360,diag_t0.9,3.9514872233072915,0.18731607993443802,2.942192872365316,0.9095982142857143
smol360,paper_fixed,9.874275207519531,0.02343448903411623,8.77437130610148,0.5
smol360,raw_calibrated,8.887646198272705,0.012827455687026167,8.18355925877889,0.6428571428571429
smol360,raw_t0.9,0.5765930314858755,0.6230705579121908,0.0983320077260335,0.9492559523809523
tiny11,bound_calibrated,9.079289754231771,0.0308442823588848,8.294583320617676,0.5391880772518202
tiny11,bound_t0.9,0.18280968566735578,0.8277693390846252,0.02489622433980303,0.9446318655303031
tiny11,cell_fixed,8.525627136230469,0.020641539711505133,7.711836179097493,0.5
tiny11,diag_calibrated,7.992403984069824,0.028441178301970137,7.136976559956868,0.5268137698002755
tiny11,diag_t0.9,0.4111369848251343,0.6880091428756714,0.21110637982686356,0.9249355491809328
tiny11,paper_fixed,8.208457469940186,0.0214546111722787,7.27479616800944,0.5
tiny11,raw_calibrated,7.469752311706543,0.03740131606658297,6.715392112731934,0.5183273609676308
tiny11,raw_t0.9,0.18833729624748227,0.7962233622868856,-0.016219814618428533,0.9473364363501081
