trial,target_cv,spatial_mode,q,top_build_ms,quant_build_ms,quant_peak_states,quant_state_slots
0,1.07,random,1024,0.28854,1000.674462,1788,2050
0,1.07,random,2048,0.28854,86.411483,3496,4098
0,1.07,random,4096,0.28854,217.27955,6322,8194
0,1.07,random,8192,0.28854,494.9311,9082,16386
0,1.07,random,16384,0.28854,817.205475,9729,32770
0,1.07,random,32768,0.28854,1178.97338,9855,65538
0,1.07,local,1024,0.28902,35.041853,1962,2050
0,1.07,local,2048,0.28902,82.687746,3861,4098
0,1.07,local,4096,0.28902,192.450439,6884,8194
0,1.07,local,8192,0.28902,328.519743,9347,16386
0,1.07,local,16384,0.28902,530.97745,9967,32770
0,1.07,local,32768,0.28902,828.612697,10270,65538
0,1.07,hot-cold,1024,0.302846,41.617469,2016,2050
0,1.07,hot-cold,2048,0.302846,113.122721,3786,4098
0,1.07,hot-cold,4096,0.302846,285.159355,6110,8194
0,1.07,hot-cold,8192,0.302846,509.801662,7955,16386
0,1.07,hot-cold,16384,0.302846,750.387621,9168,32770
0,1.07,hot-cold,32768,0.302846,1009.402961,9587,65538
0,1.25,random,1024,0.286405,34.648118,1551,2050
0,1.25,random,2048,0.286405,83.763355,2995,4098
0,1.25,random,4096,0.286405,213.664606,5543,8194
0,1.25,random,8192,0.286405,512.07958,8175,16386
0,1.25,random,16384,0.286405,875.817246,9478,32770
0,1.25,random,32768,0.286405,1249.909869,9827,65538
0,1.25,local,1024,0.311472,32.627081,1931,2050
0,1.25,local,2048,0.311472,75.674452,3715,4098
0,1.25,local,4096,0.311472,176.259337,6515,8194
0,1.25,local,8192,0.311472,327.823933,8891,16386
0,1.25,local,16384,0.311472,535.20037,9810,32770
0,1.25,local,32768,0.311472,844.455399,10201,65538
0,1.25,hot-cold,1024,0.329476,44.34762,1962,2050
0,1.25,hot-cold,2048,0.329476,111.244883,3612,4098
0,1.25,hot-cold,4096,0.329476,297.275957,5645,8194
0,1.25,hot-cold,8192,0.329476,560.417456,7710,16386
0,1.25,hot-cold,16384,0.329476,805.005831,9038,32770
0,1.25,hot-cold,32768,0.329476,1166.142676,9593,65538
0,1.44,random,1024,0.291986,40.481016,1952,2050
0,1.44,random,2048,0.291986,95.442477,3882,4098
0,1.44,random,4096,0.291986,232.913461,7050,8194
0,1.44,random,8192,0.291986,505.202652,9528,16386
0,1.44,random,16384,0.291986,828.730117,9911,32770
0,1.44,random,32768,0.291986,1183.345008,10030,65538
0,1.44,local,1024,0.286105,34.644621,1767,2050
0,1.44,local,2048,0.286105,84.621619,3409,4098
0,1.44,local,4096,0.286105,184.999808,5904,8194
0,1.44,local,8192,0.286105,332.492255,8473,16386
0,1.44,local,16384,0.286105,529.086256,9538,32770
0,1.44,local,32768,0.286105,834.689482,10042,65538
0,1.44,hot-cold,1024,0.323585,43.450163,1918,2050
0,1.44,hot-cold,2048,0.323585,111.268977,3580,4098
0,1.44,hot-cold,4096,0.323585,283.617277,5521,8194
0,1.44,hot-cold,8192,0.323585,516.767029,7378,16386
0,1.44,hot-cold,16384,0.323585,756.823797,8800,32770
0,1.44,hot-cold,32768,0.323585,1157.818844,9473,65538
0,2.48,random,1024,0.299359,42.024399,1831,2050
0,2.48,random,2048,0.299359,91.287714,3470,4098
0,2.48,random,4096,0.299359,215.921853,6455,8194
0,2.48,random,8192,0.299359,465.882125,9353,16386
0,2.48,random,16384,0.299359,791.838619,9901,32770
0,2.48,random,32768,0.299359,1221.6515,10128,65538
0,2.48,local,1024,0.347679,30.595115,1634,2050
0,2.48,local,2048,0.347679,68.248186,3170,4098
0,2.48,local,4096,0.347679,160.150538,5390,8194
0,2.48,local,8192,0.347679,311.976945,7727,16386
0,2.48,local,16384,0.347679,525.682847,9370,32770
0,2.48,local,32768,0.347679,957.116177,10186,65538
0,2.48,hot-cold,1024,0.314267,49.546694,1779,2050
0,2.48,hot-cold,2048,0.314267,113.194526,3125,4098
0,2.48,hot-cold,4096,0.314267,260.739441,4594,8194
0,2.48,hot-cold,8192,0.314267,495.025246,6085,16386
0,2.48,hot-cold,16384,0.314267,762.983946,7527,32770
0,2.48,hot-cold,32768,0.314267,1153.932653,8632,65538
0,3.3,random,1024,0.331339,43.471964,1794,2050
0,3.3,random,2048,0.331339,90.565915,3436,4098
0,3.3,random,4096,0.331339,205.403751,5574,8194
0,3.3,random,8192,0.331339,447.266403,9052,16386
0,3.3,random,16384,0.331339,763.597172,9949,32770
0,3.3,random,32768,0.331339,1180.125151,10433,65538
0,3.3,local,1024,0.292436,32.666655,1578,2050
0,3.3,local,2048,0.292436,95.115356,2930,4098
0,3.3,local,4096,0.292436,142.015504,4834,8194
0,3.3,local,8192,0.292436,268.721264,6724,16386
0,3.3,local,16384,0.292436,471.211342,8579,32770
0,3.3,local,32768,0.292436,863.493039,10158,65538
0,3.3,hot-cold,1024,0.313075,78.343689,1533,2050
0,3.3,hot-cold,2048,0.313075,126.889042,2501,4098
0,3.3,hot-cold,4096,0.313075,238.657864,3722,8194
0,3.3,hot-cold,8192,0.313075,379.361026,5064,16386
0,3.3,hot-cold,16384,0.313075,685.419864,6305,32770
0,3.3,hot-cold,32768,0.313075,1236.548504,7436,65538
0,4.55,random,1024,0.297466,43.755624,1750,2050
0,4.55,random,2048,0.297466,93.337725,3088,4098
0,4.55,random,4096,0.297466,204.593337,5606,8194
0,4.55,random,8192,0.297466,425.740263,7975,16386
0,4.55,random,16384,0.297466,784.027073,9973,32770
0,4.55,random,32768,0.297466,1192.990619,10489,65538
0,4.55,local,1024,0.427349,25.282538,1293,2050
0,4.55,local,2048,0.427349,57.525693,2560,4098
0,4.55,local,4096,0.427349,127.189944,4323,8194
0,4.55,local,8192,0.427349,232.726802,6035,16386
0,4.55,local,16384,0.427349,439.169835,7899,32770
0,4.55,local,32768,0.427349,783.993311,9182,65538
0,4.55,hot-cold,1024,0.326931,45.871107,1458,2050
0,4.55,hot-cold,2048,0.326931,100.028455,2331,4098
0,4.55,hot-cold,4096,0.326931,197.370612,3624,8194
0,4.55,hot-cold,8192,0.326931,355.976484,4807,16386
0,4.55,hot-cold,16384,0.326931,593.134585,5959,32770
0,4.55,hot-cold,32768,0.326931,1017.807083,7105,65538
0,9.19,random,1024,0.293929,29.989804,1307,2050
0,9.19,random,2048,0.293929,62.512399,2257,4098
0,9.19,random,4096,0.293929,138.510496,3917,8194
0,9.19,random,8192,0.293929,263.252146,6594,16386
0,9.19,random,16384,0.293929,513.274573,9092,32770
0,9.19,random,32768,0.293929,907.437045,10393,65538
0,9.19,local,1024,0.308456,20.785055,878,2050
0,9.19,local,2048,0.308456,41.730049,1542,4098
0,9.19,local,4096,0.308456,78.735261,2522,8194
0,9.19,local,8192,0.308456,146.710557,3658,16386
0,9.19,local,16384,0.308456,280.625918,4908,32770
0,9.19,local,32768,0.308456,550.253997,6295,65538
0,9.19,hot-cold,1024,0.301263,39.93205,1187,2050
0,9.19,hot-cold,2048,0.301263,68.876871,1665,4098
0,9.19,hot-cold,4096,0.301263,116.294888,2354,8194
0,9.19,hot-cold,8192,0.301263,201.061968,3045,16386
0,9.19,hot-cold,16384,0.301263,365.296368,3987,32770
0,9.19,hot-cold,32768,0.301263,671.324297,5014,65538
