trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,budget_rows,budget_fraction,greedy_rows,greedy_chunks,greedy_importance,greedy_aff_ms,greedy_aff_ratio,fixed_rows,fixed_chunks,fixed_importance,fixed_aff_ms,fixed_aff_ratio,fixed_gain_pct,pareto_at_greedy_importance,pareto_at_greedy_aff_ms,greedy_extra_vs_pareto_pct,pareto_at_fixed_importance,pareto_at_fixed_aff_ms,fixed_extra_vs_pareto_pct,dinkelbach_iterations,dinkelbach_residual
0,1.07,random,1.0700000000000003,-0.01449680525248773,0.49623338985060395,32,0.125,32,1,0.15350626819413166,0.015474893102842693,9.9196981312868,32,1,0.16366094294340905,0.015474893102842693,10.575901355554114,6.615153158720055,0.15657237257058806,0.015195267647300673,1.8402140852826099,0.16810933959986546,0.015614705830613702,-0.8953913655990742,4,0.0
0,1.07,random,1.0700000000000003,-0.01449680525248773,0.49623338985060395,64,0.25,64,1,0.29147378887086933,0.019948900391515013,14.611020314425133,64,1,0.2956487396685228,0.019948900391515013,14.820302566364653,1.4323589142703375,0.29428002447553253,0.019809087663744,0.7058009442146407,0.2995537306440262,0.02008871311928602,-0.6959765264245799,4,2.7755575615628914e-17
0,1.07,random,1.0700000000000003,-0.01449680525248773,0.49623338985060395,96,0.375,96,1,0.40097541879448395,0.02442290768018733,16.418004933940296,96,1,0.4067997391280709,0.02442290768018733,16.65648269464984,1.4525380012314848,0.40529004780138,0.02428309495241632,0.5757615659988113,0.41271664660846913,0.02456272040795834,-0.5692070155458473,4,5.551115123125783e-17
0,1.07,random,1.0700000000000003,-0.01449680525248773,0.49623338985060395,128,0.5,128,1,0.5143350638872392,0.028896914968859648,17.798961046239885,128,1,0.5143350638872392,0.028896914968859648,17.798961046239885,0.0,0.5143350638872392,0.028896914968859648,0.0,0.5143350638872392,0.028896914968859648,0.0,5,-5.551115123125783e-17
0,1.07,random,1.0700000000000003,-0.01449680525248773,0.49623338985060395,160,0.625,160,1,0.652059163411036,0.033370922257531965,19.539740567519477,160,1,0.6584695056477939,0.033370922257531965,19.731834216813546,0.9830921174735607,0.6584695056477939,0.033370922257531965,0.0,0.6584695056477939,0.033370922257531965,0.0,4,-1.1102230246251565e-16
0,1.07,random,1.0700000000000003,-0.01449680525248773,0.49623338985060395,192,0.75,192,2,0.7759691477896988,0.04884581536037466,15.886092637921049,192,1,0.7659694611060767,0.03784492954620429,20.239685217828622,27.40505597654195,0.7821533274273793,0.03840418045728833,27.188797622433647,0.7693509939733973,0.037984742273975296,-0.3680760205310052,4,0.0
0,1.07,random,1.0700000000000003,-0.01449680525248773,0.49623338985060395,224,0.875,224,2,0.8961008182258657,0.053319822649046986,16.8061477646697,224,1,0.8938384254658926,0.04231893683487661,21.12147639609999,25.67708371874535,0.9017867001959661,0.042598562290418626,25.16812723757067,0.8938384254658926,0.04231893683487661,0.0,3,0.0
0,1.07,local,1.07,0.7011493323668585,0.48210144660590637,32,0.125,32,1,0.29812795031157613,0.015474893102842693,19.26526718668001,32,1,0.30127969614731565,0.015474893102842693,19.468935529640035,1.0571789167857615,0.30127969614731565,0.015474893102842693,0.0,0.30127969614731565,0.015474893102842693,0.0,3,2.7755575615628914e-17
0,1.07,local,1.07,0.7011493323668585,0.48210144660590637,64,0.25,64,1,0.4276346621139257,0.019948900391515013,21.43650295110071,64,1,0.43281818273482203,0.019948900391515013,21.696342868046763,1.212137621228515,0.4301215437138322,0.019809087663744,0.7058009442146407,0.43472575813312886,0.02008871311928602,-0.6959765264245799,4,2.7755575615628914e-17
0,1.07,local,1.07,0.7011493323668585,0.48210144660590637,96,0.375,96,1,0.527476978018836,0.02442290768018733,21.59763222815368,96,1,0.5297299886502455,0.02442290768018733,21.689882121610765,0.4271296616340736,0.527476978018836,0.02442290768018733,0.0,0.5323330618462475,0.02470253313572935,-1.131970774031965,4,-1.6653345369377348e-16
