objective,paper_budget_index,paper_budget_fraction,method,method_label,workloads,mean_time_ms,mean_error,mean_loss,mean_selected_fraction,target_mean_error,target_mean_importance_loss
error_oracle,0,0.1,adaptive8_x2,Adaptive-8 X²,3,0.3497347380523965,0.6678126054623771,0.6678126054623771,0.1596821294307196,0.6981566588556957,0.8635635705930845
error_oracle,0,0.1,cell1_x2,Cell-1 X²,3,0.3065028254720843,0.6885773195101628,0.6885773195101628,0.17626282969328075,0.6981566588556957,0.8635635705930845
error_oracle,0,0.1,paper,Paper |x|,3,0.4719036350511823,0.6394175915195356,0.6394175915195356,0.18637833422842812,0.6981566588556957,0.8635635705930845
error_oracle,0,0.1,shifted8_x2,Shifted-8 X²,3,0.3416840953060199,0.6749293451744413,0.6749293451744413,0.16522192758682416,0.6981566588556957,0.8635635705930845
error_oracle,1,0.15,adaptive8_x2,Adaptive-8 X²,3,0.3503003491284497,0.646083996645988,0.646083996645988,0.18823938566654727,0.6586695355732762,0.8040161712302102
error_oracle,1,0.15,cell1_x2,Cell-1 X²,3,0.30766133336023777,0.6488342716521214,0.6488342716521214,0.2238641618928272,0.6586695355732762,0.8040161712302102
error_oracle,1,0.15,paper,Paper |x|,3,0.4719036350511823,0.6394175915195356,0.6394175915195356,0.18637833422842812,0.6586695355732762,0.8040161712302102
error_oracle,1,0.15,shifted8_x2,Shifted-8 X²,3,0.3427055873325808,0.6437847540965156,0.6437847540965156,0.19930639470700554,0.6586695355732762,0.8040161712302102
error_oracle,2,0.2,adaptive8_x2,Adaptive-8 X²,3,0.35123597614677743,0.6174325396617254,0.6174325396617254,0.2175761203604248,0.6219980616181616,0.7498484192386506
error_oracle,2,0.2,cell1_x2,Cell-1 X²,3,0.3093550794282688,0.6095641820972401,0.6095641820972401,0.2651233739109678,0.6219980616181616,0.7498484192386506
error_oracle,2,0.2,paper,Paper |x|,3,0.4723874445568493,0.6110916388117604,0.6110916388117604,0.22039193967060502,0.6219980616181616,0.7498484192386506
error_oracle,2,0.2,shifted8_x2,Shifted-8 X²,3,0.3437367222569036,0.6100321286727511,0.6100321286727511,0.23897121897004406,0.6219980616181616,0.7498484192386506
error_oracle,3,0.25,adaptive8_x2,Adaptive-8 X²,3,0.3530667062443438,0.5754532832947988,0.5754532832947988,0.2667895557345745,0.5835466774564887,0.6898072518053509
error_oracle,3,0.25,cell1_x2,Cell-1 X²,3,0.31140446824284584,0.5732834329976448,0.5732834329976448,0.2968694056569996,0.5835466774564887,0.6898072518053509
error_oracle,3,0.25,paper,Paper |x|,3,0.4740472064500187,0.562567510982118,0.562567510982118,0.26921563581572977,0.5835466774564887,0.6898072518053509
error_oracle,3,0.25,shifted8_x2,Shifted-8 X²,3,0.34663574604343234,0.5639426874381209,0.5639426874381209,0.28976132667979465,0.5835466774564887,0.6898072518053509
error_oracle,4,0.3,adaptive8_x2,Adaptive-8 X²,3,0.3544660792680629,0.5521046851599026,0.5521046851599026,0.29773839360305526,0.5578530746260806,0.6410147557182917
error_oracle,4,0.3,cell1_x2,Cell-1 X²,3,0.313332738042698,0.549163304535406,0.549163304535406,0.3198640201694712,0.5578530746260806,0.6410147557182917
error_oracle,4,0.3,paper,Paper |x|,3,0.4747519207216378,0.5478502804975188,0.5478502804975188,0.28395486484067306,0.5578530746260806,0.6410147557182917
error_oracle,4,0.3,shifted8_x2,Shifted-8 X²,3,0.3480248571235225,0.5442967519518875,0.5442967519518875,0.3119941781537176,0.5578530746260806,0.6410147557182917
error_oracle,5,0.35,adaptive8_x2,Adaptive-8 X²,3,0.3606778729015125,0.5164937050569626,0.5164937050569626,0.3310382541174364,0.5234613867387885,0.591909682939923
error_oracle,5,0.35,cell1_x2,Cell-1 X²,3,0.3175659761832735,0.5193050230838477,0.5193050230838477,0.3436735439789951,0.5234613867387885,0.591909682939923
error_oracle,5,0.35,paper,Paper |x|,3,0.47661558737707144,0.5195699142262576,0.5195699142262576,0.32200758592910844,0.5234613867387885,0.591909682939923
error_oracle,5,0.35,shifted8_x2,Shifted-8 X²,3,0.3544783572001921,0.5188752741567672,0.5188752741567672,0.33971880967299195,0.5234613867387885,0.591909682939923
error_oracle,6,0.4,adaptive8_x2,Adaptive-8 X²,3,0.37917890468335996,0.4661530886022818,0.4661530886022818,0.3992426191968015,0.48348358190721935,0.5302433243819645
error_oracle,6,0.4,cell1_x2,Cell-1 X²,3,0.33109549197977967,0.46837732961608297,0.46837732961608297,0.40084120270915385,0.48348358190721935,0.5302433243819645
error_oracle,6,0.4,paper,Paper |x|,3,0.4857730874437624,0.46648408765239374,0.46648408765239374,0.3838222789115646,0.48348358190721935,0.5302433243819645
