method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,abs_importance_retention,selected_fraction,chunks,fallback_rate
adaptive8_x2,Adaptive-8 X²,x2,0,0.1,63,0.35966544444458637,0.032786793622469106,0.13599423809523808,0.15177279365079363,0.01584406356726369,0.023267555508821675,0.7006259514166723,0.34146229709897724,0.25799324564517484,0.13551187657174604,0.10037090494092368,3.2857142857142856,0.0
adaptive8_x2,Adaptive-8 X²,x2,1,0.15,63,0.3865962540088854,0.032786793622469106,0.14006392063492062,0.17095544444444444,0.01558044446366169,0.027209650843389402,0.665753701169576,0.30302045080396867,0.3073125536006594,0.18894020929223013,0.14962909505907623,4.26984126984127,0.0
adaptive8_x2,Adaptive-8 X²,x2,2,0.2,63,0.4333474126832646,0.032786793622469106,0.15335226984126982,0.19792377777777775,0.016127492005508042,0.0331570794362397,0.6318052852496742,0.2683471129054114,0.3793850905365414,0.24772800930908745,0.19981454752953812,5.079365079365079,0.0
adaptive8_x2,Adaptive-8 X²,x2,3,0.25,63,0.45001627762292207,0.032786793622469106,0.15271673015873016,0.2177587222222222,0.0158283174008367,0.030925714218663743,0.5976932619417471,0.23674847209264357,0.4323192674016196,0.2984897934255145,0.25,5.698412698412699,0.0
adaptive8_x2,Adaptive-8 X²,x2,4,0.3,63,0.47985372239705304,0.032786793622469106,0.15162873015873016,0.2393589603174603,0.015802920603799394,0.04027631769459394,0.5650206238386177,0.20925195728029522,0.4779095924089825,0.35033283678312144,0.30018545247046186,6.126984126984127,0.0
adaptive8_x2,Adaptive-8 X²,x2,5,0.35,63,0.4970516268890547,0.032786793622469106,0.14984566666666665,0.26291440476190475,0.015352380949826418,0.036152380888187646,0.5344206596177722,0.18582241686563641,0.5313061792699117,0.40431222035771325,0.35037090494092366,6.349206349206349,0.0
adaptive8_x2,Adaptive-8 X²,x2,6,0.4,63,0.5336713889175597,0.032786793622469106,0.153196,0.29275069047619046,0.016188952332687703,0.03874895248621223,0.5049384184891269,0.1647897334325881,0.5769561529159546,0.45334149258477346,0.39962909505907623,6.523809523809524,0.0
adaptive8_x2,Adaptive-8 X²,x2,7,0.45,63,0.5740108175851362,0.032786793622469106,0.15414685714285714,0.31937735714285714,0.016229079252788887,0.05147073042416379,0.4748668059233635,0.1465138480776832,0.620687274705796,0.5031359947863079,0.4498145475295381,6.809523809523809,0.0
adaptive8_x2,Adaptive-8 X²,x2,8,0.5,63,0.5844924681261872,0.032786793622469106,0.15273238095238095,0.34210675396825396,0.0163926348563224,0.04047390472676068,0.4474089654044263,0.12935325550654572,0.6527577279106019,0.5494136110184684,0.5,6.984126984126984,0.0
adaptive8_x2,Adaptive-8 X²,x2,9,0.55,63,0.6292465874244448,0.032786793622469106,0.15456526984126984,0.3697355396825397,0.015791746063364826,0.056367238214801184,0.420602723823062,0.11469464926492597,0.6989966489019848,0.596105040065826,0.5501854524704618,6.634920634920635,0.0
adaptive8_x2,Adaptive-8 X²,x2,10,0.6,63,0.6480389526972903,0.032786793622469106,0.15489177777777777,0.39674539682539683,0.01598019046442845,0.04763479400721802,0.39070493300696685,0.10007073387267093,0.7394407344242883,0.6447720092440409,0.6003709049409237,6.5396825396825395,0.0
adaptive8_x2,Adaptive-8 X²,x2,11,0.65,63,0.6772965637229482,0.032786793622469106,0.15674742857142857,0.41927980158730155,0.016450031690062934,0.0520325082516859,0.35851891871009556,0.08397558851847568,0.777000195450253,0.692122393184238,0.6496290950590763,6.222222222222222,0.0
adaptive8_x2,Adaptive-8 X²,x2,12,0.7,63,0.7204677067170522,0.032786793622469106,0.1602982857142857,0.44551545238095236,0.01632152376548633,0.06554565123385848,0.3346523310885661,0.07255668015707102,0.8109189347615318,0.7368248568640815,0.6998145475295382,6.0,0.0
adaptive8_x2,Adaptive-8 X²,x2,13,0.75,63,0.7396534602085314,0.032786793622469106,0.15884693650793652,0.48080296825396823,0.01699504752953842,0.05022171429461899,0.30413406647534835,0.06116900084510678,0.8409120601321024,0.780186116695404,0.75,5.412698412698413,0.0
adaptive8_x2,Adaptive-8 X²,x2,14,0.8,63,0.7855177540407238,0.032786793622469106,0.1576214603174603,0.5087110238095238,0.017009269741792475,0.06938920654947792,0.2619083534689649,0.045073348378378196,0.8840302957428826,0.8303446911630177,0.8001854524704618,4.873015873015873,0.0
adaptive8_x2,Adaptive-8 X²,x2,15,0.85,63,0.8011504523506013,0.032786793622469106,0.1587619523809524,0.5328189761904761,0.01673701582919979,0.060045714327503705,0.23195477949810167,0.03607345100433103,0.9109004669719272,0.8728129901583233,0.8503709049409237,4.063492063492063,0.0
adaptive8_x2,Adaptive-8 X²,x2,16,0.9,63,0.8229570159853035,0.032786793622469106,0.15219228571428572,0.5585905079365079,0.016801015843474622,0.06258641286856594,0.19245821546896225,0.02550867152592488,0.940083312609839,0.9142643194349985,0.8996290950590763,3.4285714285714284,0.0
adaptive8_x2,Adaptive-8 X²,x2,17,0.95,63,0.8661197226103421,0.032786793622469106,0.15465538095238096,0.5831809126984127,0.016647619047453436,0.0788490162896258,0.12506516928976721,0.010885512071942478,0.9751679112040808,0.9589278414135888,0.949814547529538,1.9841269841269842,0.0
cell1_x2,Cell-1 X²,x2,0,0.1,63,0.3183352302215118,0.032786793622469106,0.09116423809523809,0.1554041349206349,0.01574907936747107,0.02323098421569849,0.7336419551145463,0.3753472405766684,0.23175367334532357,0.1270190340185922,0.10037090494092368,2.0793650793650795,0.0
cell1_x2,Cell-1 X²,x2,1,0.15,63,0.3362551427452621,0.032786793622469106,0.09299598412698414,0.16731401587301586,0.015852698376254377,0.027305650746538478,0.6808595838291305,0.31401591357730685,0.28645835911470746,0.18000957038667464,0.14962909505907623,2.7301587301587302,0.0
cell1_x2,Cell-1 X²,x2,2,0.2,63,0.37292042865500463,0.032786793622469106,0.09513287301587302,0.19595949206349206,0.016012698397158583,0.03302857155601178,0.6420662602380155,0.2752390257895939,0.3506644089070577,0.23622431452312165,0.19981454752953812,3.2698412698412698,0.0
cell1_x2,Cell-1 X²,x2,3,0.25,63,0.39833530936816947,0.032786793622469106,0.09715526984126985,0.22100835714285713,0.01620266660456614,0.03118222215700712,0.6141637762683252,0.24703999738844612,0.3970326142651694,0.2852194607257843,0.25,3.746031746031746,0.0
cell1_x2,Cell-1 X²,x2,4,0.3,63,0.4257023098567071,0.032786793622469106,0.09643012698412698,0.2403213253968254,0.01581460309939247,0.04034946075389305,0.5839409120380878,0.22147735527583529,0.44350193890314255,0.33748105877921697,0.30018545247046186,4.190476190476191,0.0
cell1_x2,Cell-1 X²,x2,5,0.35,63,0.44699787277056297,0.032786793622469106,0.09601479365079364,0.26598904761904757,0.01579733328923342,0.036409904589019076,0.5519388724591524,0.19878911025940424,0.49911535401192925,0.38859468130838304,0.35037090494092366,4.555555555555555,0.0
cell1_x2,Cell-1 X²,x2,6,0.4,63,0.4692858175063493,0.032786793622469106,0.09710392063492064,0.2851810079365079,0.015809523739985006,0.03840457157246645,0.5250605759580457,0.17938387772393602,0.5406104567505065,0.4374108678764767,0.39962909505907623,4.682539682539683,0.0
cell1_x2,Cell-1 X²,x2,7,0.45,63,0.5125411987006749,0.032786793622469106,0.0971544761904762,0.3153679285714286,0.015918730048551395,0.051313270267749546,0.4960443108298239,0.15891743841625391,0.5810353301820301,0.48603612515661454,0.4498145475295381,4.650793650793651,0.0
cell1_x2,Cell-1 X²,x2,8,0.5,63,0.5272265394990454,0.032786793622469106,0.0980799365079365,0.3396578412698413,0.01635555546021172,0.04034641263858661,0.4612978438122405,0.13843149798257004,0.6268917388386197,0.537201652451167,0.5,4.936507936507937,0.0
cell1_x2,Cell-1 X²,x2,9,0.55,63,0.5718697219548073,0.032786793622469106,0.09787498412698413,0.36821492857142857,0.01628799999635366,0.056705015637571805,0.43244726173875353,0.11968192789289682,0.6796396582845657,0.5882652534378899,0.5501854524704618,4.904761904761905,0.0
cell1_x2,Cell-1 X²,x2,10,0.6,63,0.5936261113368093,0.032786793622469106,0.09637701587301588,0.4005583015873016,0.01594006351476146,0.04796393673926114,0.4030108034817709,0.10360422872361678,0.7191372144789923,0.6367453658391559,0.6003709049409237,4.825396825396825,0.0
cell1_x2,Cell-1 X²,x2,11,0.65,63,0.6238093574706722,0.032786793622469106,0.09832987301587301,0.4243605,0.016472888918268248,0.051859301914061774,0.3701697203611571,0.0873246382153223,0.7628404848159306,0.6858180099063449,0.6496290950590763,4.444444444444445,0.0
cell1_x2,Cell-1 X²,x2,12,0.7,63,0.6616102781202017,0.032786793622469106,0.09692968253968254,0.45059297619047617,0.016076698367084724,0.06522412740048904,0.3337140073334532,0.07089478439754905,0.8008021437932574,0.7334687331366161,0.6998145475295382,4.222222222222222,0.0
cell1_x2,Cell-1 X²,x2,13,0.75,63,0.6763900556518728,0.032786793622469106,0.09917428571428571,0.4771736111111111,0.016942730055205347,0.05031263514880145,0.3022979212969187,0.059017343180520154,0.8344722626701234,0.7784384649897379,0.75,4.015873015873016,0.0
cell1_x2,Cell-1 X²,x2,14,0.8,63,0.7241206903435181,0.032786793622469106,0.09862214285714285,0.5054782301587302,0.017052444378061842,0.070181079327114,0.26886591188136544,0.04676658198946994,0.8762432847704206,0.8259870637030828,0.8001854524704618,3.4285714285714284,0.0
cell1_x2,Cell-1 X²,x2,15,0.85,63,0.733874348780983,0.032786793622469106,0.097572,0.5274739047619048,0.016522158720781832,0.05951949167582718,0.22835577487029013,0.0342187058357965,0.9076848020629277,0.8714532350736951,0.8503709049409237,3.015873015873016,0.0
