model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
qwen05,test_long_structured,3,0.25,shifted8_x2,Shifted-8 X²,importance_bound,True,0.6873975041366759,0.5731495357162896,21.0,7.525769985957325,0.3583699993313012,14.205365493893623,0.6764459758996964,0.5699188411679297,0.2929729457572502
qwen05,test_long_structured,3,0.25,shifted8_x2,Shifted-8 X²,error_oracle,True,0.6873975041366759,0.5731495357162896,21.0,7.548112486076653,0.35943392790841205,11.239891562610865,0.5352329315528983,0.5352329315528983,0.30487770766201217
qwen05,test_long_structured,3,0.25,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.6873975041366759,0.5731495357162896,21.0,7.634902483743012,0.36356678494014344,14.30353993922472,0.6811209494868914,0.5651221461594105,0.283406619226638
qwen05,test_long_structured,3,0.25,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.6873975041366759,0.5731495357162896,21.0,7.624641484928668,0.36307816594898423,11.821043264120817,0.5629068221009913,0.5629068221009913,0.2619886770497673
qwen05,test_long_structured,4,0.3,paper,Paper |x|,importance_bound,True,0.6381919568493253,0.5498489561002879,21.0,10.17140850153935,0.4843527857875881,13.14524046331644,0.6259638315864972,0.5583770556397558,0.32572222968134623
qwen05,test_long_structured,4,0.3,paper,Paper |x|,error_oracle,True,0.6381919568493253,0.5498489561002879,21.0,10.141204501387358,0.4829145000660647,11.425971634685993,0.5440938873659997,0.5440938873659997,0.28851984872896524
qwen05,test_long_structured,4,0.3,cell1_x2,Cell-1 X²,importance_bound,True,0.6381919568493253,0.5498489561002879,21.0,6.874104489273251,0.327338309013012,13.2688177973032,0.6318484665382476,0.551213292582404,0.3429304287504475
qwen05,test_long_structured,4,0.3,cell1_x2,Cell-1 X²,error_oracle,True,0.6381919568493253,0.5498489561002879,21.0,6.844909989489259,0.32594809473758374,11.450380170717835,0.5452561986056113,0.5452561986056113,0.3119461600429645
qwen05,test_long_structured,4,0.3,shifted8_x2,Shifted-8 X²,importance_bound,True,0.6381919568493253,0.5498489561002879,21.0,7.5864074855743056,0.36125749931306217,13.332530990242958,0.6348824281068075,0.552682452668835,0.33586197636949516
qwen05,test_long_structured,4,0.3,shifted8_x2,Shifted-8 X²,error_oracle,True,0.6381919568493253,0.5498489561002879,21.0,7.548112486076653,0.35943392790841205,11.239891562610865,0.5352329315528983,0.5352329315528983,0.30487770766201217
qwen05,test_long_structured,4,0.3,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.6381919568493253,0.5498489561002879,21.0,7.714485484984637,0.3673564516659351,13.139614082872868,0.6256959087082318,0.5370320412219458,0.3405388471177944
qwen05,test_long_structured,4,0.3,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.6381919568493253,0.5498489561002879,21.0,7.662651984799327,0.3648881897523489,11.296671736985445,0.5379367493802593,0.5379367493802593,0.3024329797708557
qwen05,test_long_structured,5,0.35,paper,Paper |x|,importance_bound,True,0.5891522339412144,0.51638483140795,21.0,10.212609502086343,0.48631473819458776,12.352739967405796,0.5882257127336094,0.5216031699951383,0.3648378759398496
qwen05,test_long_structured,5,0.35,paper,Paper |x|,error_oracle,True,0.5891522339412144,0.51638483140795,21.0,10.189279999683023,0.4852038095087154,10.716702200472355,0.5103191524034455,0.5103191524034455,0.3329501208378088
qwen05,test_long_structured,5,0.35,cell1_x2,Cell-1 X²,importance_bound,True,0.5891522339412144,0.51638483140795,21.0,7.023525990970195,0.33445361861762835,12.176146224141121,0.5798164868638629,0.5116359015838021,0.3858194593626924
qwen05,test_long_structured,5,0.35,cell1_x2,Cell-1 X²,error_oracle,True,0.5891522339412144,0.51638483140795,21.0,6.915902489679576,0.32932868998474174,10.838905209675431,0.5161383433178777,0.5161383433178777,0.32863408521303256
