error_ceiling,score_kind,lookup_total_ms,twoline_total_ms,twoline_gain_pct,selector_delta_ms,read_wall_delta_ms,chunk_delta
0.5,abs,0.6055975893874875,0.6011772864298476,0.729907621017899,2.8408706261237593e-05,-0.004290740092774026,0.06400329371975921
0.5,x2,0.5901777667444829,0.5920311669490879,-0.31404100747960456,0.0013189364363544176,0.0002903406026658617,0.021913464208658695
0.45,abs,0.6528451395502523,0.6518117583055489,0.15828887772913708,-0.0014065186744365021,0.00043610032180091407,-0.0008253462930021271
0.45,x2,0.6377039834609968,0.6409689759500516,-0.5119918604451633,0.0012903455145755194,0.0019178321666596387,-0.003101456569384986
0.42,abs,0.7018738399560259,0.7042017797741876,-0.3316749657328099,-0.000909935742730586,0.0030562111877258102,-0.01043121983791373
0.42,x2,0.6909407657732821,0.6904258473193514,0.07452425438444335,0.0014400149300300008,-0.0018899286716769215,-0.005893303800091232
0.4,abs,0.735622550754719,0.7353838122295135,0.032453943256710964,-0.0005899982354066469,0.00030495056664903153,-0.009839678934806528
0.4,x2,0.7232923095831856,0.7236215545640818,-0.0455203209731339,0.0018592286363348642,-0.0014519012382168128,0.0008713864338369959
0.35,abs,0.8112759737349636,0.8105501948219107,0.08946140851572003,0.0007985819859925858,-0.0017666076941796893,0.0009216118202717283
0.35,x2,0.7915613221244073,0.7971547828769683,-0.7066364406928216,0.0019521243028204904,0.003767481152298968,-0.009569143919027745
0.3,abs,0.8618816021262041,0.8638071627335959,-0.2234135875091854,0.0010733266451280893,0.0009474718135451532,0.0013646169804752972
0.3,x2,0.857507895454955,0.8632354417482035,-0.6679292778067993,0.0020093015379878815,0.0036680159120551226,-0.0008373672564339074
0.25,abs,0.9263641811161087,0.9225407917657292,0.412730697960816,-0.00039208968551461554,-0.0033589233985238387,0.00036352987727283903
0.25,x2,0.9180431921602336,0.920946007177993,-0.31619590914114765,0.0008623901629037645,0.002065002670276761,-0.0037795957879378506
0.2,abs,0.993384344062331,0.992598910472227,0.07906643534284298,-0.0005472025704907069,-0.00011336890195257077,0.002077958780710265
0.2,x2,0.9947758902090932,0.9924465795276347,0.23415431600064948,0.0013008995001479312,-0.0035809877613339758,0.002403762079826066
0.15,abs,1.0357487332716249,1.0354665017665718,0.027249032123991594,-0.0009512966357704544,0.000665589008288503,0.007242320186235052
0.15,x2,1.0281964891876316,1.0282199851367297,-0.002285161381622869,0.002042864313822057,-0.0020256286333957263,-0.0025257252135277852
