score_kind,budget_index,budget_fraction,lookup_kl,twoline_kl,kl_delta,actual_total_delta_ms
abs,0,0.1,14.49552387661404,14.41427919599745,-0.08124468061659051,-0.0015468623834028472
abs,1,0.15,14.097130881415474,12.915402200486923,-1.1817286809285505,6.909523887854707e-05
abs,2,0.2,15.045779758029514,13.392966376410591,-1.6528133816189232,-0.0020645980451440837
abs,3,0.25,12.880446328057182,11.490275065104166,-1.3901712629530163,-0.0005230845885701996
abs,4,0.3,13.133052931891548,11.733161926269531,-1.3998910056220168,-0.0012110794347126586
abs,5,0.35,11.34723949432373,12.127002716064453,0.7797632217407227,0.0015290080060940126
abs,6,0.4,12.266626199086508,11.634945975409615,-0.6316802236768932,0.0012740740590688748
abs,7,0.45,13.041288905673557,12.49324729707506,-0.5480416085984974,-0.0013764417990985711
abs,8,0.5,10.001515176561144,12.879695627424452,2.878180450863308,-0.0006184444330937788
abs,9,0.55,11.626702361636692,10.844125482771132,-0.7825768788655605,0.0018261693508263566
abs,10,0.6,10.045233408610025,9.63152657614814,-0.41370683246188555,-0.001728608359339967
abs,11,0.65,7.788967609405518,8.041362603505453,0.2523949940999355,-0.0007342806464547547
abs,12,0.7,7.09538655810886,6.7779861026340065,-0.3174004554748535,0.00042878303924376304
abs,13,0.75,6.999083836873372,5.889169957902697,-1.1099138789706755,0.0029165686586117845
abs,14,0.8,5.184104998906453,5.751143720414904,0.5670387215084505,-0.003931899470906441
abs,15,0.85,4.255050341288249,4.00122684902615,-0.2538234922620992,-0.0010502936315924805
abs,16,0.9,2.6712274187140994,2.749925196170807,0.07869777745670747,-0.00014882284179429384
abs,17,0.95,0.6121034158600701,0.6086148818333944,-0.0034885340266757048,-0.0004742248734266319
x2,0,0.1,14.144370290968153,14.976917690700954,0.8325473997328015,-0.00011577511076510394
x2,1,0.15,11.712644894917807,13.846720695495605,2.134075800577799,5.2497401318574166e-05
x2,2,0.2,12.488304668002659,13.654122882419163,1.165818214416504,-0.0015659497527962807
x2,3,0.25,13.431456247965494,12.122868431939018,-1.308587816026476,-0.002166378310726469
x2,4,0.3,11.520239935980904,11.168268415662975,-0.3519715203179281,0.002876161432428692
x2,5,0.35,11.744407335917154,11.827711211310493,0.08330387539333906,0.0007873730120964151
x2,6,0.4,12.975750605265299,12.964804437425402,-0.010946167839897214,0.004212105868213967
x2,7,0.45,13.307379828559029,12.497870551215279,-0.80950927734375,0.0010617169257721715
x2,8,0.5,11.198811266157362,12.15165466732449,0.9528434011671276,0.003684925850639287
x2,9,0.55,11.82878483666314,10.756611506144205,-1.0721733305189343,-0.0003273387005514605
x2,10,0.6,8.927787197960747,9.650826242234972,0.7230390442742252,0.005637274988770202
x2,11,0.65,8.698006312052408,8.531508180830214,-0.1664981312221947,0.006083955103847849
x2,12,0.7,7.088988039228651,7.364372942182753,0.27538490295410156,0.007582335879944502
x2,13,0.75,6.2640859550899926,5.967334667841594,-0.29675128724839883,0.003621788397259018
x2,14,0.8,5.083514014879863,4.8683464129765825,-0.21516760190328021,0.0029254309174054915
x2,15,0.85,3.7595287362734475,3.5474458667967053,-0.21208286947674226,-0.0026679257854971272
x2,16,0.9,2.6189953221215143,2.604047460688485,-0.014947861433029175,-0.0015199283335829428
x2,17,0.95,0.585207344757186,0.5899151166280111,0.0047077718708250504,0.0020438650755538745
