trial,target_cv,spatial_mode,budget_fraction,target_importance,method,method_label,selected_rows,selected_fraction,importance,two_line_ms,released_ms,chunks,meets_target
0,1.07,hot-cold,0.125,0.2846406720071315,paper,Paper greedy,606,0.12458881578947369,0.2846406720071315,0.2113934923043843,0.2125722395577875,5,True
0,1.07,hot-cold,0.125,0.2846406720071315,quant,"Quant q=131,072",608,0.125,0.2874724753563728,0.1977942702311095,0.2015605341570321,4,True
0,1.07,hot-cold,0.125,0.2846406720071315,global_supported,Two-line supported,608,0.125,0.2874724753563728,0.1977942702311095,0.2015605341570321,4,True
0,1.07,hot-cold,0.125,0.2846406720071315,lookup_supported,Lookup supported,647,0.13301809210526316,0.3014389156617781,0.2104817316439603,0.2140320315284098,4,True
0,1.07,hot-cold,0.125,0.2846406720071315,exact_coverage,Exact global coverage,601,0.1235608552631579,0.2848017192049312,0.1955170335672645,0.199234306990952,4,True
0,1.07,hot-cold,0.25,0.4799481081989538,paper,Paper greedy,1212,0.24917763157894737,0.4799481081989538,0.4090301170364929,0.4126386073298829,9,True
0,1.07,hot-cold,0.25,0.4799481081989538,quant,"Quant q=131,072",1220,0.25082236842105265,0.4896553473613544,0.3968898185558447,0.4058093865696501,8,True
0,1.07,hot-cold,0.25,0.4799481081989538,global_supported,Two-line supported,1220,0.25082236842105265,0.4896553473613544,0.3968898185558447,0.4058093865696501,8,True
0,1.07,hot-cold,0.25,0.4799481081989538,lookup_supported,Lookup supported,1220,0.25082236842105265,0.4887126924357193,0.3968898185558447,0.4026255419409145,8,True
0,1.07,hot-cold,0.25,0.4799481081989538,exact_coverage,Exact global coverage,1188,0.24424342105263158,0.4799543237992687,0.3868669458801198,0.3960135770800915,8,True
0,1.07,hot-cold,0.375,0.6309267435626669,paper,Paper greedy,1824,0.375,0.6309267435626669,0.611294909597162,0.6158336644304624,13,True
0,1.07,hot-cold,0.375,0.6309267435626669,quant,"Quant q=131,072",1784,0.3667763157894737,0.6335644743317353,0.5804404574067588,0.5927514798527695,11,True
0,1.07,hot-cold,0.375,0.6309267435626669,global_supported,Two-line supported,1784,0.3667763157894737,0.6335644743317353,0.5804404574067588,0.5927514798527695,11,True
0,1.07,hot-cold,0.375,0.6309267435626669,lookup_supported,Lookup supported,1816,0.37335526315789475,0.6392334730652754,0.5907802545060772,0.5992204358482435,12,True
0,1.07,hot-cold,0.375,0.6309267435626669,exact_coverage,Exact global coverage,1773,0.3645148026315789,0.6309383947546578,0.5767915149996007,0.5886562723242216,11,True
0,1.07,hot-cold,0.5,0.7432760672690228,paper,Paper greedy,2430,0.4995888157894737,0.7432760672690228,0.8109035085205183,0.8212858116775872,17,True
0,1.07,hot-cold,0.5,0.7432760672690228,quant,"Quant q=131,072",2473,0.5084292763157895,0.760315229624836,0.8045151813841017,0.8219311639425955,16,True
0,1.07,hot-cold,0.5,0.7432760672690228,global_supported,Two-line supported,2473,0.5084292763157895,0.760315229624836,0.8045151813841017,0.8219311639425955,16,True
0,1.07,hot-cold,0.5,0.7432760672690228,lookup_supported,Lookup supported,2480,0.5098684210526315,0.7606101902103213,0.8067924180479468,0.8183372250160471,17,True
0,1.07,hot-cold,0.5,0.7432760672690228,exact_coverage,Exact global coverage,2371,0.48745888157894735,0.7432777910343092,0.7713325899966459,0.7887291062021303,15,True
0,1.07,hot-cold,0.625,0.831595098655787,paper,Paper greedy,3036,0.6241776315789473,0.831595098655787,1.0220622419926113,1.0310093838114047,21,True
0,1.07,hot-cold,0.625,0.831595098655787,quant,"Quant q=131,072",2982,0.6130756578947368,0.8377572529776902,0.9701028187979748,0.991649711933917,18,True
0,1.07,hot-cold,0.625,0.831595098655787,global_supported,Two-line supported,2982,0.6130756578947368,0.8377572529776902,0.9701028187979748,0.991649711933917,18,True
0,1.07,hot-cold,0.625,0.831595098655787,lookup_supported,Lookup supported,3066,0.6303453947368421,0.8478042916750629,0.9974296587641148,1.010217943948645,21,True
0,1.07,hot-cold,0.625,0.831595098655787,exact_coverage,Exact global coverage,2939,0.604235197368421,0.831599247851915,0.9563488381237896,0.9786269455629348,18,True
0,1.07,hot-cold,0.75,0.8944120927687398,paper,Paper greedy,3648,0.75,0.8944120927687398,1.2159930960069358,1.2312729624175978,23,True
0,1.07,hot-cold,0.75,0.8944120927687398,quant,"Quant q=131,072",3457,0.7107319078947368,0.8950136915112562,1.124629592416029,1.1500658838496345,21,True
0,1.07,hot-cold,0.75,0.8944120927687398,global_supported,Two-line supported,3457,0.7107319078947368,0.8950136915112562,1.124629592416029,1.1500658838496345,21,True
0,1.07,hot-cold,0.75,0.8944120927687398,lookup_supported,Lookup supported,3472,0.7138157894736842,0.8952920110523734,1.1295093852671254,1.1444987283216157,24,True
0,1.07,hot-cold,0.75,0.8944120927687398,exact_coverage,Exact global coverage,3452,0.709703947368421,0.8944554203540562,1.1230029947989968,1.1484758909728288,21,True
0,1.07,hot-cold,0.875,0.9494152936631396,paper,Paper greedy,4254,0.8745888157894737,0.9494152936631396,1.4178084279538312,1.4365875612116117,26,True
0,1.07,hot-cold,0.875,0.9494152936631396,quant,"Quant q=131,072",4075,0.8377878289473685,0.9514233079467344,1.325677057881203,1.356781618126146,20,True
0,1.07,hot-cold,0.875,0.9494152936631396,global_supported,Two-line supported,4075,0.8377878289473685,0.9514233079467344,1.325677057881203,1.356781618126146,20,True
0,1.07,hot-cold,0.875,0.9494152936631396,lookup_supported,Lookup supported,4107,0.8443667763157895,0.9526407188246346,1.3360872826302086,1.355136947718703,26,True
0,1.07,hot-cold,0.875,0.9494152936631396,exact_coverage,Exact global coverage,4050,0.8326480263157895,0.9494262765572464,1.317544069796042,1.347077769601423,18,True
0,1.07,local,0.125,0.3145534629638002,paper,Paper greedy,606,0.12458881578947369,0.3145534629638002,0.2581574516968302,0.2482752896166445,10,True
0,1.07,local,0.125,0.3145534629638002,quant,"Quant q=131,072",684,0.140625,0.3274774164085643,0.2380830645909177,0.2373859534762582,6,True
0,1.07,local,0.125,0.3145534629638002,global_supported,Two-line supported,684,0.140625,0.3274774164085643,0.2380830645909177,0.2373859534762582,6,True
0,1.07,local,0.125,0.3145534629638002,lookup_supported,Lookup supported,688,0.14144736842105263,0.3287739259614639,0.2395604118087619,0.2371189514172186,6,True
0,1.07,local,0.125,0.3145534629638002,exact_coverage,Exact global coverage,669,0.13754111842105263,0.3145598951055682,0.2267356659101933,0.2280754517162996,5,True
