trial,target_cv,spatial_mode,selected_rows,selected_fraction,importance,two_line_ms,released_ms,chunks,cell_rows,tile_rows,repair_rows,strategy
0,1.07,hot-cold,49,0.010074013157894737,0.026818194062220628,0.02299515955727149,0.02316668677003868,1,135,135,0,0
0,1.07,hot-cold,97,0.019942434210526317,0.05090472100216,0.03466654829828471,0.03391365464188861,1,135,135,0,0
0,1.07,hot-cold,146,0.030016447368421052,0.07672251236653096,0.047496650417338804,0.04851845232109938,1,135,135,11,1
0,1.07,hot-cold,195,0.04009046052631579,0.1001914811995512,0.06343730706425388,0.06480204248366013,1,135,135,60,1
0,1.07,hot-cold,243,0.049958881578947366,0.12718863922375878,0.08124763926968707,0.0821606399927338,2,135,135,27,2
0,1.07,hot-cold,292,0.060032894736842105,0.14717303870148005,0.09499330083467761,0.0970133015576901,2,135,135,22,1
0,1.07,hot-cold,340,0.06990131578947369,0.1717341529245891,0.11060863795818625,0.11298817663817665,1,135,135,65,2
0,1.07,hot-cold,389,0.07997532894736842,0.194293327863586,0.12654929460510134,0.1292717668007374,2,135,135,119,1
0,1.07,hot-cold,438,0.09004934210526316,0.2163911570678583,0.1424899512520164,0.14555535696329813,1,135,135,102,2
0,1.07,hot-cold,486,0.09991776315789473,0.2371802930393126,0.15810528837552504,0.16150662895927603,1,135,135,81,1
0,1.07,hot-cold,535,0.10999177631578948,0.2542816275644911,0.1740459450224401,0.17779021912183676,1,135,135,130,1
0,1.07,hot-cold,584,0.12006578947368421,0.2741947561698167,0.18998660166935522,0.19407380928439752,1,135,135,44,1
0,1.07,hot-cold,608,0.125,0.28348674412651587,0.19779427023110951,0.20204944528238647,1,135,135,68,1
0,1.07,hot-cold,632,0.1299342105263158,0.29277880875342355,0.20560193879286384,0.2100250812803754,1,135,135,43,2
0,1.07,hot-cold,681,0.14000822368421054,0.3097837735821767,0.22154259543977892,0.22630867144293618,1,135,135,6,1
0,1.07,hot-cold,730,0.15008223684210525,0.328496296165288,0.237483252086694,0.2425922616054969,1,135,135,80,2
0,1.07,hot-cold,778,0.15995065789473684,0.34403476528482535,0.2530985892102027,0.25854353360147475,1,135,135,32,2
0,1.07,hot-cold,827,0.17002467105263158,0.36006102238106164,0.26903924585711775,0.27482712376403556,1,135,135,17,1
0,1.07,hot-cold,876,0.18009868421052633,0.37385957507742734,0.2849799025040328,0.29111071392659627,1,135,135,66,1
0,1.07,hot-cold,924,0.18996710526315788,0.39230632149816635,0.3005952396275415,0.30706198592257417,1,135,135,21,2
0,1.07,hot-cold,973,0.20004111842105263,0.4073601550399209,0.31653589627445655,0.3233455760851349,1,135,135,28,1
0,1.07,hot-cold,1021,0.2099095394736842,0.4227115974527309,0.33215123339796515,0.33929684808111277,1,135,135,76,1
0,1.07,hot-cold,1070,0.21998355263157895,0.4395035451498026,0.3484088144684736,0.3564087276107417,2,135,135,10,2
0,1.07,hot-cold,1119,0.23005756578947367,0.45393949637089925,0.3640325466917953,0.3718640284062343,2,135,135,39,1
0,1.07,hot-cold,1167,0.23992598684210525,0.46889085487422866,0.37964788381530395,0.38781530040221224,1,135,135,48,2
0,1.07,hot-cold,1216,0.25,0.48327992689970645,0.39558854046221903,0.40409889056477294,1,135,135,1,1
0,1.07,hot-cold,1265,0.26007401315789475,0.49652777540207044,0.4115291971091341,0.4203824807273337,1,135,135,50,1
0,1.07,hot-cold,1313,0.2699424342105263,0.5105689719797296,0.42714453423264276,0.4363337527233116,1,135,135,98,1
0,1.07,hot-cold,1362,0.2800164473684211,0.5241645293109221,0.44308519087955783,0.45261734288587235,1,135,135,12,1
0,1.07,hot-cold,1411,0.29009046052631576,0.5356021951279845,0.4590258475264729,0.46890093304843306,1,135,135,61,1
0,1.07,hot-cold,1459,0.29995888157894735,0.5487566707220886,0.47464118464998156,0.48485220504441096,1,135,135,109,1
0,1.07,hot-cold,1508,0.3100328947368421,0.5619188721157375,0.49058184129689664,0.5011357952069717,1,135,135,23,1
0,1.07,hot-cold,1556,0.3199013157894737,0.5726976112501169,0.5061971784204053,0.5170870672029495,1,135,135,71,1
0,1.07,hot-cold,1605,0.3299753289473684,0.5856260705050416,0.5221378350673204,0.5333706573655104,1,135,135,120,1
0,1.07,hot-cold,1654,0.34004934210526316,0.5987695917925374,0.5380784917142355,0.5496542475280711,1,135,135,34,1
0,1.07,hot-cold,1702,0.34991776315789475,0.6075694169101684,0.5536938288377441,0.5656055195240489,1,135,135,82,1
0,1.07,hot-cold,1751,0.3599917763157895,0.620005301058133,0.5699514099082527,0.5827173990536778,2,135,135,4,2
0,1.07,hot-cold,1800,0.37006578947368424,0.6325329770596104,0.5855751421315742,0.5982412832489747,2,135,135,45,1
0,1.07,hot-cold,1824,0.375,0.6361395177484345,0.5933828106933285,0.6061483358471594,2,135,135,69,1
0,1.07,hot-cold,1848,0.37993421052631576,0.64145583695182,0.6011904792550828,0.6141239718451483,2,135,135,93,1
0,1.07,hot-cold,1897,0.3900082236842105,0.6526469580637013,0.617131135901998,0.6304075620077091,1,135,135,7,1
0,1.07,hot-cold,1946,0.40008223684210525,0.6614454184442851,0.6330717925489131,0.6466911521702698,1,135,135,56,1
0,1.07,hot-cold,1994,0.40995065789473684,0.6699084398594325,0.6486871296724217,0.6626424241662476,1,135,135,104,1
0,1.07,hot-cold,2043,0.4200246710526316,0.6811967785794837,0.6646277863193368,0.6789260143288084,2,135,135,18,1
0,1.07,hot-cold,2092,0.4300986842105263,0.6901400666995685,0.6805684429662519,0.6952096044913693,2,135,135,67,1
0,1.07,hot-cold,2140,0.4399671052631579,0.6982718330796435,0.6961837800897606,0.711160876487347,2,135,135,115,1
0,1.07,hot-cold,2189,0.45004111842105265,0.707014393946703,0.7121244367366756,0.7274444666499079,1,135,135,29,1
0,1.07,hot-cold,2237,0.45990953947368424,0.7156458443005398,0.7277397738601842,0.7433957386458857,1,135,135,77,1
0,1.07,hot-cold,2286,0.4699835526315789,0.7247457488457678,0.7436804305070993,0.7596793288084465,1,135,135,126,1
0,1.07,hot-cold,2335,0.4800575657894737,0.733825497223347,0.7596210871540143,0.7759629189710072,1,135,135,40,1
0,1.07,hot-cold,2383,0.48992598684210525,0.7422216514469653,0.775236424277523,0.7919141909669851,1,135,135,88,1
0,1.07,hot-cold,2432,0.5,0.7500503400240754,0.7911770809244381,0.8081977811295459,1,135,135,2,1
0,1.07,hot-cold,2481,0.5100740131578947,0.7581139697744057,0.8071177375713532,0.8244813712921066,1,135,135,51,1
0,1.07,hot-cold,2529,0.5199424342105263,0.7654643601965505,0.8228035023445492,0.8405900253879635,2,135,135,36,2
0,1.07,hot-cold,2578,0.530016447368421,0.7734610383790729,0.8386737313417769,0.8575148083558521,2,135,135,13,1
0,1.07,hot-cold,2627,0.5400904605263158,0.7801898423689477,0.8546143879886919,0.872999823613206,2,135,135,62,1
0,1.07,hot-cold,2675,0.5499588815789473,0.7882438417120593,0.8702297251122006,0.888951095609184,2,135,135,110,1
0,1.07,hot-cold,2724,0.5600328947368421,0.7961286533105312,0.8861703817591157,0.9060332606769514,2,135,135,24,1
0,1.07,hot-cold,2772,0.5699013157894737,0.8036878873008481,0.9017857188826244,0.9219845326729292,2,135,135,72,1
0,1.07,hot-cold,2821,0.5799753289473685,0.811172238411315,0.9177263755295394,0.9382681228354901,2,135,135,121,1
0,1.07,hot-cold,2870,0.5900493421052632,0.8166994561447753,0.9336670321764545,0.9537531380928439,1,135,135,35,1
0,1.07,hot-cold,2918,0.5999177631578947,0.8237015713633441,0.9492823692999631,0.9697044100888219,1,135,135,83,1
0,1.07,hot-cold,2967,0.6099917763157895,0.8320453710591883,0.9652230259468783,0.9859880002513827,1,135,135,132,1
0,1.07,hot-cold,3016,0.6200657894736842,0.8383099919560959,0.9811636825937933,1.0022715904139434,1,135,135,46,1
0,1.07,hot-cold,3040,0.625,0.8415574894675971,0.9889713511555477,1.0102472264119324,1,135,135,70,1
0,1.07,hot-cold,3064,0.6299342105263158,0.8445747870024669,0.996779019717302,1.0182228624099212,1,135,135,94,1
0,1.07,hot-cold,3113,0.6400082236842105,0.8516200261203146,1.012719676364217,1.034506452572482,1,135,135,8,1
0,1.07,hot-cold,3162,0.6500822368421053,0.8578637580474953,1.0286603330111321,1.0507900427350427,1,135,135,57,1
0,1.07,hot-cold,3210,0.6599506578947368,0.8641337557461103,1.0442756701346407,1.0667413147310207,1,135,135,105,1
0,1.07,hot-cold,3259,0.6700246710526315,0.86956063663837,1.0602163267815559,1.0830249048935814,1,135,135,19,1
0,1.07,hot-cold,3308,0.6800986842105263,0.8752865970354256,1.076156983428471,1.0993084950561423,1,135,135,68,1
0,1.07,hot-cold,3356,0.6899671052631579,0.8812570852388424,1.0917723205519796,1.11525976705212,1,135,135,116,1
0,1.07,hot-cold,3405,0.7000411184210527,0.8871323793441646,1.1077129771988947,1.1315433572146807,1,135,135,30,1
0,1.07,hot-cold,3453,0.7099095394736842,0.8923232966612364,1.1233283143224033,1.1474946292106585,1,135,135,78,1
0,1.07,hot-cold,3502,0.719983552631579,0.8971564729248706,1.1392689709693185,1.1637782193732196,1,135,135,127,1
0,1.07,hot-cold,3551,0.7300575657894737,0.9027419673295223,1.1552096276162334,1.1800618095357802,1,135,135,41,1
0,1.07,hot-cold,3599,0.7399259868421053,0.9068095307169548,1.1708249647397422,1.196013081531758,1,135,135,89,1
0,1.07,hot-cold,3648,0.75,0.9113382905172718,1.186765621386657,1.2122966716943187,1,135,135,3,1
0,1.07,hot-cold,3697,0.7600740131578947,0.9164773363454115,1.2027062780335722,1.2285802618568795,1,135,135,52,1
0,1.07,hot-cold,3745,0.7699424342105263,0.9202879896876834,1.2183216151570808,1.2445315338528573,1,135,135,100,1
0,1.07,hot-cold,3794,0.780016447368421,0.9245613240614223,1.234262271803996,1.2608151240154182,1,135,135,14,1
0,1.07,hot-cold,3843,0.7900904605263158,0.9284754363717986,1.250202928450911,1.277098714177979,1,135,135,63,1
0,1.07,hot-cold,3891,0.7999588815789473,0.9331928328962825,1.2658182655744197,1.2930499861739568,1,135,135,111,1
0,1.07,hot-cold,3940,0.8100328947368421,0.9378881382238216,1.2817589222213346,1.3093335763365175,2,135,135,25,1
0,1.07,hot-cold,3988,0.8199013157894737,0.9421009794834616,1.2973742593448434,1.3252848483324953,1,135,135,62,2
0,1.07,hot-cold,4037,0.8299753289473685,0.9468370988463144,1.3133149159917583,1.3415684384950561,2,135,135,122,1
0,1.07,hot-cold,4086,0.8400493421052632,0.9505921400101254,1.3292555726386737,1.357852028657617,1,135,135,36,1
0,1.07,hot-cold,4134,0.8499177631578947,0.9541101409615762,1.3448709097621823,1.3738033006535948,1,135,135,84,1
0,1.07,hot-cold,4183,0.8599917763157895,0.9575165209703698,1.3608115664090974,1.3900868908161554,1,135,135,133,1
0,1.07,hot-cold,4232,0.8700657894736842,0.9611316147786151,1.3767522230560123,1.4063704809787163,1,135,135,47,1
0,1.07,hot-cold,4256,0.875,0.9626394852277522,1.3845598916177666,1.414346116976705,1,135,135,71,1
0,1.07,hot-cold,4280,0.8799342105263158,0.9644795520532586,1.392367560179521,1.422321752974694,1,135,135,95,1
0,1.07,hot-cold,4329,0.8900082236842105,0.9678303608440743,1.408308216826436,1.4386053431372547,1,135,135,9,1
0,1.07,hot-cold,4378,0.9000822368421053,0.9710236023498279,1.4242488734733512,1.4548889332998158,1,135,135,58,1
0,1.07,hot-cold,4426,0.9099506578947368,0.9744215140009025,1.4398642105968598,1.4708402052957936,1,135,135,106,1
0,1.07,hot-cold,4475,0.9200246710526315,0.9773096260763225,1.455804867243775,1.4871237954583543,1,135,135,20,1
0,1.07,hot-cold,4524,0.9300986842105263,0.980248743944115,1.47174552389069,1.5034073856209151,1,135,135,69,1
0,1.07,hot-cold,4572,0.9399671052631579,0.9834379817798807,1.4873608610141986,1.519358657616893,1,135,135,117,1
0,1.07,hot-cold,4621,0.9500411184210527,0.9861267780063535,1.5033015176611138,1.5356422477794536,1,135,135,31,1
0,1.07,hot-cold,4669,0.9599095394736842,0.9891389065929063,1.5189168547846224,1.5515935197754314,1,135,135,79,1
0,1.07,hot-cold,4718,0.969983552631579,0.9919810921487933,1.5348575114315375,1.5675947843417348,2,135,135,7,2
0,1.07,hot-cold,4767,0.9800575657894737,0.9945660945598176,1.5507981680784524,1.5842292835003573,2,135,135,42,1
0,1.07,hot-cold,4815,0.9899259868421053,0.9974035551886102,1.5664135052019612,1.600111972096531,2,135,135,90,1
