trial,target_cv,spatial_mode,budget_fraction,target_importance,paper_r,cell1_fixed_r,cell1_bound_r,exact_r,cell1_fixed_importance_change_pct,cell1_fixed_two_line_saving_pct,cell1_bound_two_line_saving_pct,exact_two_line_saving_pct,exact_headroom_vs_cell1_bound_pct,cell1_bound_released_saving_pct,exact_released_saving_pct
0,1.07,hot-cold,0.125,0.2846406720071315,0.1245888157894736,0.125,0.1299342105263158,0.1235608552631579,-0.4053981015709418,6.433131845749241,2.7397028396604073,7.510381972525149,4.905063291139222,1.1982553708381416,6.274541113450338
0,1.07,hot-cold,0.25,0.4799481081989538,0.2491776315789473,0.25,0.25,0.2442434210526315,0.6942039449338688,3.286207057724966,3.286207057724966,5.418469260148817,2.204713658264368,2.069538965432516,4.02895656258857
0,1.07,hot-cold,0.375,0.6309267435626669,0.375,0.375,0.3700657894736842,0.3645148026315789,0.8262091025548424,2.9301894425454056,4.207423791985587,5.644312435105792,1.4999999999999902,2.856677411059938,4.413105953110752
0,1.07,hot-cold,0.5,0.7432760672690228,0.4995888157894737,0.5,0.5,0.4874588815789473,0.911407356346472,2.432647952414313,2.432647952414313,4.87985538452892,2.50822368421052,1.5936024173250019,3.9641139555248617
0,1.07,hot-cold,0.625,0.831595098655787,0.6241776315789473,0.625,0.6099917763157895,0.604235197368421,1.1979857538739314,3.2376590659048077,5.561228437019572,6.429491391904563,0.9193924703964962,4.366728787044427,5.080694615486825
0,1.07,hot-cold,0.75,0.8944120927687398,0.75,0.75,0.719983552631579,0.709703947368421,1.8924383833111236,2.403588862161765,6.309585579849353,7.647255688646492,1.4277555682467247,5.481704309648173,6.724509834293557
0,1.07,hot-cold,0.875,0.9494152936631396,0.8745888157894737,0.875,0.8400493421052632,0.8326480263157895,1.3928774534049948,2.3450655025410327,6.245756025230875,7.071784606506382,0.8810572687224738,5.480733279326843,6.230723001297367
0,1.07,local,0.125,0.3145534629638002,0.1245888157894736,0.125,0.1700246710526315,0.1375411184210526,-18.533209561113228,23.38231225516155,-4.215177245035195,12.171558705784468,15.723943847728117,-10.580798673800995,8.136064580383717
0,1.07,local,0.25,0.5073519103616267,0.2491776315789473,0.25,0.3100328947368421,0.2596628289473684,-12.817338380641829,16.624029109939976,-3.1134417069834663,8.600935812016242,11.360669690658131,-9.093159753627656,3.672071235721064
0,1.07,local,0.375,0.6466288026345968,0.375,0.375,0.4599095394736842,0.3838404605263157,-10.13745224143986,15.749332211467271,-3.327162194598521,10.924946680333347,13.79318716611082,-9.024351887128734,6.6174397055565155
