trial,target_cv,spatial_mode,budget_fraction,budget_rows,q,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,top_importance,top_rows,top_chunks,top_aff_ms,top_runtime_ms,quant_importance,quant_rows,quant_chunks,quant_aff_ms,quant_runtime_ms,quant_build_ms,quant_one_query_ms,quant_amortized_ms,quant_full_mask,paper_extra_vs_quant_pct,quant_strictly_beats_paper,quant_nonworse_than_paper,paper_extra_vs_top_pct,paper_extra_vs_single_pct
0,1.07,random,0.125,1120,1024,0.1702462508224989,1120,19,0.6787875957798306,5.712373,0.17028615653483176,1483,1,0.6330277116673937,3.106144,0.1705443701772374,301,286,3.272504236029949,0.051185,0.171040891486751,1284,7,0.6155648280731182,0.328633,973.135328,973.4639609999999,69.83829928571429,False,10.270692025178985,True,True,-79.25785432738493,7.228733161128997
0,1.07,random,0.25,2240,1024,0.32543506911943065,2240,38,1.3575751915596612,13.540198,0.3255125921330829,2855,1,1.2084968991728708,2.292794,0.3254963443300478,806,730,8.368713820094674,0.050154,0.32635853578032986,2586,9,1.1836751143750668,0.29451,973.135328,973.4298379999999,69.80417628571429,False,14.691537827624824,True,True,-83.7779708956005,12.335844013238573
0,1.07,random,0.375,3360,1024,0.4663067274300773,3360,55,2.014361015711151,19.16079,0.4663200539197551,4123,1,1.7403445156137927,2.522524,0.46643561618133605,1473,1219,14.02791225149378,0.05928,0.4669786652070623,3827,9,1.704197899866655,0.280234,973.135328,973.4155619999999,69.78990028571428,False,18.199947075909726,True,True,-85.64033635513617,15.744957256392244
0,1.07,random,0.5,4480,1024,0.5947352628427939,4480,70,2.6491450682343,26.692442,0.594850571966252,5262,1,2.218084606407334,2.242921,0.5948519323811143,2296,1704,19.708539496233033,0.061394,0.5949350258038746,5026,7,2.1851025100307595,0.247162,973.135328,973.38249,69.75682828571429,False,21.236649359622394,True,True,-86.5583897338479,19.4339052974702
0,1.07,random,0.625,5600,1024,0.7157956042528917,5600,85,3.283929120757449,46.080858,0.7159341648274524,6347,1,2.673175035301971,7.66977,0.7158744624008464,3330,2094,24.432584045305152,0.097021,0.7158807543665987,6092,8,2.6432244992567338,0.231142,973.135328,973.3664699999999,69.7408082857143,False,24.239508285462684,True,True,-86.55922306593489,22.84751568415291
0,1.07,random,0.75,6720,1024,0.8258071699858089,6720,89,3.7977034293247245,55.059264,0.825961988791155,7357,1,3.0968076004481317,1.804932,0.8258702485377857,4621,2282,27.042245273026303,0.101269,0.8262423421987106,7240,3,3.0697351046293626,0.209051,973.135328,973.344379,69.71871728571429,False,23.71436947759882,True,True,-85.95640491023576,22.63285031899198
0,1.07,random,0.875,7840,1024,0.9216027845835395,7840,82,4.190467993936125,56.042892,0.9216486601996089,8210,1,3.4545883708141463,1.610218,0.9216116101337559,6245,1881,23.312057671244347,0.070662,0.9219407846247076,8145,3,3.4493266605277486,0.199263,973.135328,973.3345909999999,69.70892928571429,False,21.48655103877526,True,True,-82.02446110492808,21.30151393257176
0,1.07,random,0.125,1120,2048,0.1702462508224989,1120,19,0.6787875957798306,5.712373,0.17028615653483176,1483,1,0.6330277116673937,3.106144,0.1705443701772374,301,286,3.272504236029949,0.051185,0.17045241974687253,1280,6,0.6028861895256957,0.643513,143.322417,143.96593000000001,10.8808285,False,12.589674066650659,True,True,-79.25785432738493,7.228733161128997
0,1.07,random,0.25,2240,2048,0.32543506911943065,2240,38,1.3575751915596612,13.540198,0.3255125921330829,2855,1,1.2084968991728708,2.292794,0.3254963443300478,806,730,8.368713820094674,0.050154,0.325734911443534,2575,8,1.1680604085444461,0.581376,143.322417,143.903793,10.8186915,False,16.224741599740966,True,True,-83.7779708956005,12.335844013238573
0,1.07,random,0.375,3360,2048,0.4663067274300773,3360,55,2.014361015711151,19.16079,0.4663200539197551,4123,1,1.7403445156137927,2.522524,0.46643561618133605,1473,1219,14.02791225149378,0.05928,0.4663178921570144,3729,11,1.6850947295303171,0.523738,143.322417,143.846155,10.7610535,False,19.53992736495056,True,True,-85.64033635513617,15.744957256392244
