trial,target_cv,spatial_mode,q,top_build_ms,quant_build_ms,quant_peak_states,quant_state_slots
0,1.07,random,1024,0.560768,973.135328,1957,2050
0,1.07,random,2048,0.560768,143.322417,3885,4098
0,1.07,random,4096,0.560768,342.209833,7570,8194
0,1.07,random,8192,0.560768,820.102117,13952,16386
0,1.07,random,16384,0.560768,1578.088014,18666,32770
0,1.07,random,32768,0.560768,2709.145484,20875,65538
0,1.07,random,65536,0.560768,4159.222161,22314,131074
0,1.07,local,1024,0.59899,43.733843,1532,2050
0,1.07,local,2048,0.59899,127.02713,3845,4098
0,1.07,local,4096,0.59899,314.742612,7586,8194
0,1.07,local,8192,0.59899,676.165743,12882,16386
0,1.07,local,16384,0.59899,1172.778354,16986,32770
0,1.07,local,32768,0.59899,1926.392104,20370,65538
0,1.07,local,65536,0.59899,3610.200578,23012,131074
0,1.07,hot-cold,1024,0.563453,67.599535,1930,2050
0,1.07,hot-cold,2048,0.563453,164.925441,4024,4098
0,1.07,hot-cold,4096,0.563453,461.533369,7383,8194
0,1.07,hot-cold,8192,0.563453,1148.065401,11769,16386
0,1.07,hot-cold,16384,0.563453,2005.930835,15072,32770
0,1.07,hot-cold,32768,0.563453,3004.586996,17256,65538
0,1.07,hot-cold,65536,0.563453,5437.023464,17950,131074
0,1.25,random,1024,0.590002,64.269312,1990,2050
0,1.25,random,2048,0.590002,146.208599,3910,4098
0,1.25,random,4096,0.590002,355.70129,7634,8194
0,1.25,random,8192,0.590002,838.208517,13970,16386
0,1.25,random,16384,0.590002,1783.105122,18541,32770
0,1.25,random,32768,0.590002,3081.53614,20332,65538
0,1.25,random,65536,0.590002,5059.6925,21249,131074
0,1.25,local,1024,0.56222,46.09766,1378,2050
0,1.25,local,2048,0.56222,127.663139,3661,4098
0,1.25,local,4096,0.56222,310.854077,7235,8194
0,1.25,local,8192,0.56222,663.592681,12308,16386
0,1.25,local,16384,0.56222,1224.636507,16514,32770
0,1.25,local,32768,0.56222,1997.912945,20378,65538
0,1.25,local,65536,0.56222,3685.51651,22932,131074
0,1.25,hot-cold,1024,0.594891,70.51441,1940,2050
0,1.25,hot-cold,2048,0.594891,177.469969,4039,4098
0,1.25,hot-cold,4096,0.594891,465.125731,7283,8194
0,1.25,hot-cold,8192,0.594891,1069.426229,11459,16386
0,1.25,hot-cold,16384,0.594891,1887.292239,14646,32770
0,1.25,hot-cold,32768,0.594891,2866.889789,16914,65538
0,1.25,hot-cold,65536,0.594891,3975.55278,17909,131074
0,1.44,random,1024,0.569674,65.701608,1986,2050
0,1.44,random,2048,0.569674,153.087903,3973,4098
0,1.44,random,4096,0.569674,354.397905,7820,8194
0,1.44,random,8192,0.569674,812.643561,14374,16386
0,1.44,random,16384,0.569674,1732.450989,18782,32770
0,1.44,random,32768,0.569674,3033.171274,21544,65538
0,1.44,random,65536,0.569674,4960.674402,23737,131074
0,1.44,local,1024,0.574965,39.446893,1158,2050
0,1.44,local,2048,0.574965,121.801747,3558,4098
0,1.44,local,4096,0.574965,292.031378,7066,8194
0,1.44,local,8192,0.574965,605.300757,11603,16386
0,1.44,local,16384,0.574965,1128.930097,16157,32770
0,1.44,local,32768,0.574965,1885.418628,19991,65538
0,1.44,local,65536,0.574965,3215.904427,23702,131074
0,1.44,hot-cold,1024,0.58343,75.504895,1834,2050
0,1.44,hot-cold,2048,0.58343,170.619419,3924,4098
