trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,exact_build_ms
0,1.07,random,1.07,0.0016567728321440617,0.4882644911399748,33.37223
0,1.07,local,1.07,0.6986098796381306,0.591424827065971,32.343648
0,1.07,hot-cold,1.07,0.2600176211290163,0.7660916418620034,30.751054
0,1.25,random,1.2500000000000002,0.11297153647559373,0.48349106040743045,31.844276
0,1.25,local,1.2500000000000004,0.8165019766152771,0.7608828648112973,29.89294
0,1.25,hot-cold,1.2500000000000002,0.3885035141742808,0.8101151342590766,29.944687
0,1.44,random,1.44,0.0011615445887685706,0.4532596616663068,29.68869
0,1.44,local,1.4399999999999997,0.638873386071235,0.5280183523301986,29.846194
0,1.44,hot-cold,1.4399999999999997,0.3236385093632498,0.8028545206947024,29.807361
0,2.48,random,2.4800000000000004,-0.047826771893842934,0.5819488275497187,29.984441
0,2.48,local,2.48,0.7125303423024831,0.4816502879512565,29.885787
0,2.48,hot-cold,2.4800000000000004,0.25846238286174833,0.8328408715823314,30.228909
0,3.3,random,3.300000000000001,-0.022776763375457042,0.37054007368763525,32.005487
0,3.3,local,3.300000000000002,0.7566457475136125,0.8585872658160115,30.9738
0,3.3,hot-cold,3.300000000000001,0.07558886650973927,0.9346903657635109,30.082585
0,4.55,random,4.55,-0.0011073685431743387,0.34942562948401273,29.71074
0,4.55,local,4.55,0.2482092814900326,0.5931102838048483,30.366575
0,4.55,hot-cold,4.55,0.015115446733319961,0.634067059593033,31.296091
0,9.19,random,9.19,-0.011818204723324104,0.034194212209172514,30.4546
0,9.19,local,9.190000000000003,0.3006463513178625,0.029486013310928625,30.035547
0,9.19,hot-cold,9.190000000000001,-0.001120497965353765,0.9885452883159549,29.947603
1,1.07,random,1.07,-0.061552810004485856,0.49294461799838646,30.096881
1,1.07,local,1.07,0.8998732125712477,0.3735030825323428,29.79132
1,1.07,hot-cold,1.07,0.3335723312390998,0.7544182458896089,30.306403
1,1.25,random,1.2499999999999998,0.053314611584880385,0.5305202639418963,30.063239
1,1.25,local,1.25,0.8118313351505121,0.21611006754182366,29.923137
1,1.25,hot-cold,1.2499999999999998,0.2320499438869857,0.7927277663688617,29.874406
1,1.44,random,1.4400000000000002,-0.0027735407323202167,0.44844130309266894,32.422426
1,1.44,local,1.4400000000000002,0.7291784577266436,0.43064204107665816,29.902619
1,1.44,hot-cold,1.4400000000000002,0.295062882722136,0.807170888079104,32.043388
1,2.48,random,2.48,0.012866310587299118,0.47960697412943387,30.019357
1,2.48,local,2.48,0.6909180234871007,0.4246746904337646,34.354805
1,2.48,hot-cold,2.4800000000000004,0.3290981823160433,0.9144253031000074,35.796219
1,3.3,random,3.3000000000000003,-0.007075200470653077,0.4210560690286016,35.42253
1,3.3,local,3.3000000000000007,0.3185598630761708,0.19036672317122297,33.648617
1,3.3,hot-cold,3.3000000000000003,0.0623274427533095,0.9130803665040594,32.373625
1,4.55,random,4.55,-0.029754363340801938,0.5718371558732835,42.044219
1,4.55,local,4.55,0.32794285017920927,0.5316620594489093,36.368006
1,4.55,hot-cold,4.55,0.04220609947995165,0.9800476806326974,31.025938
1,9.19,random,9.19,-0.008474013448810803,0.2485473165999289,33.536106
1,9.19,local,9.190000000000001,0.0714778510659976,0.16668043959806433,47.623922
1,9.19,hot-cold,9.190000000000005,-0.002455205374769421,0.9766206537703558,29.67872
2,1.07,random,1.07,-0.06082613220917323,0.5250909346839666,29.900936
2,1.07,local,1.07,0.7459859266389438,0.44599381799380805,31.394435
2,1.07,hot-cold,1.07,0.47612649351322456,0.7535181957790633,29.506428
2,1.25,random,1.2500000000000004,-0.0646234615719049,0.48874648721912944,29.776383
2,1.25,local,1.2500000000000007,0.8873098103759722,0.3491880398857025,29.597649
2,1.25,hot-cold,1.2500000000000004,0.35096843354418056,0.8279910477016592,29.727832
2,1.44,random,1.4399999999999997,0.05084745297170705,0.422177559720159,29.76423
2,1.44,local,1.44,0.7006578862850131,0.39831406907221123,30.061396
2,1.44,hot-cold,1.44,0.31132692689263175,0.8404535403408513,30.349503
2,2.48,random,2.480000000000001,0.03115514863219702,0.4623715527950013,29.557364
2,2.48,local,2.480000000000001,0.6739311436195087,0.29524485553302576,30.254465
2,2.48,hot-cold,2.480000000000001,0.3237671171765389,0.9062369091054795,29.393828
2,3.3,random,3.2999999999999994,-0.003573811519289203,0.6015169156335503,29.450965
2,3.3,local,3.3,0.5170360465945618,0.10058902310777004,29.697836
2,3.3,hot-cold,3.3000000000000003,0.037154217394315486,0.9241117030125746,31.606491
2,4.55,random,4.55,-0.00737700390536553,0.6343300912287536,29.891588
2,4.55,local,4.549999999999999,0.3562976289462964,0.5902409757815096,29.568574
2,4.55,hot-cold,4.549999999999999,0.29437609740556697,0.9492049249576704,29.9245
2,9.19,random,9.189999999999998,0.015216174273442547,0.1805325345106093,30.093586
2,9.19,local,9.19,0.05952446093447806,0.9769590874572227,30.257312
2,9.19,hot-cold,9.189999999999996,-0.0065079114677172555,0.9971123782853766,29.637864
3,1.07,random,1.07,0.018416414596592833,0.49694331372201656,30.154489
3,1.07,local,1.0699999999999998,0.8691471070855107,0.7200863461793423,30.024085
3,1.07,hot-cold,1.0700000000000003,0.3936046784848711,0.7662549237117449,31.30637
3,1.25,random,1.25,-0.077174487448193,0.5447700531569402,29.855951
3,1.25,local,1.2500000000000002,0.7582888083219824,0.19888365406039737,29.52322
3,1.25,hot-cold,1.2500000000000002,0.17521471107853995,0.7604073253613399,30.785618
3,1.44,random,1.44,-0.07042633603958097,0.4770699947701942,29.878975
