trial,target_cv,spatial_mode,budget_rows,budget_fraction,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,paper_gap_pct,paper_extra_vs_single_pct,target_importance,exact_importance,exact_rows,exact_chunks,exact_aff_ms,exact_build_ms,exact_solve_ms,exact_single_query_ms,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,single_gap_pct,single_exact
0,1.07,random,32,0.125,0.16597831704171,32,1,0.015474893102842693,0.897317,1.8402140852826099,1.8402140852826099,0.16597831704171,0.17481362349507418,30,1,0.015195267647300673,33.37223,0.171901,33.544131,0.1748136234950742,30,1,0.015195267647300673,0.086332,0.0,True
0,1.07,random,64,0.25,0.32202144007236444,64,1,0.019948900391515013,0.533257,2.147720089992422,2.147720089992422,0.32202144007236444,0.3251461397321874,61,1,0.01952946220820198,33.37223,0.154959,33.527189,0.3251461397321875,61,1,0.01952946220820198,0.06943,0.0,True
0,1.07,random,96,0.375,0.46008863648962106,96,1,0.02442290768018733,0.495495,0.0,0.0,0.46008863648962106,0.46270232465796296,96,1,0.02442290768018733,33.37223,0.156653,33.528883,0.4627023246579631,96,1,0.02442290768018733,0.063979,0.0,True
0,1.07,random,128,0.5,0.5896796629029425,128,1,0.028896914968859648,0.498912,0.4861850356091768,0.4861850356091768,0.5896796629029425,0.5904432709996265,127,1,0.028757102241088642,33.37223,0.168785,33.541015,0.5904432709996265,127,1,0.028757102241088642,0.059591,0.0,True
0,1.07,random,160,0.625,0.7159927994951727,160,1,0.033370922257531965,0.462193,0.0,0.0,0.7159927994951727,0.7159927994951724,160,1,0.033370922257531965,33.37223,0.170539,33.542769,0.7159927994951727,160,1,0.033370922257531965,0.055724,0.0,True
0,1.07,random,192,0.75,0.8189803478779114,192,2,0.04884581536037466,0.527385,27.188797622433647,27.188797622433647,0.8189803478779114,0.8201788157211247,196,1,0.03840418045728833,33.37223,0.163165,33.535395,0.8201788157211247,196,1,0.03840418045728833,0.050745,0.0,True
0,1.07,random,224,0.875,0.9178682144778338,224,2,0.053319822649046986,0.597897,23.94770110620552,23.94770110620552,0.9178682144778338,0.9208153479889267,229,1,0.04301800047373165,33.37223,0.183402,33.555632,0.9208153479889267,229,1,0.04301800047373165,0.045625,0.0,True
0,1.07,local,32,0.125,0.2767648428619518,32,1,0.015474893102842693,0.788192,0.9117182587336625,0.9117182587336625,0.2767648428619518,0.27699698992991867,31,1,0.015335080375071683,32.343648,0.146373,32.490021,0.27699698992991867,31,1,0.015335080375071683,0.066515,0.0,True
0,1.07,local,64,0.25,0.4600334251095477,64,1,0.019948900391515013,0.490957,0.0,0.0,0.4600334251095477,0.4612804601856352,64,1,0.019948900391515013,32.343648,0.151112,32.49476,0.46128046018563507,64,1,0.019948900391515013,0.062567,0.0,True
0,1.07,local,96,0.375,0.6698659021709594,96,2,0.0354237934943577,0.518558,33.57338535195162,33.57338535195162,0.6698659021709594,0.6701521620114124,111,1,0.02652009859675248,32.343648,0.151523,32.495171,0.6701521620114123,111,1,0.02652009859675248,0.057838,0.0,True
0,1.07,local,128,0.5,0.7619001371668144,128,2,0.03989780078303003,0.504633,36.09401065655105,36.09401065655105,0.7619001371668144,0.7619731059546564,131,1,0.02931635315217268,32.343648,0.159057,32.502705,0.7619731059546566,131,1,0.02931635315217268,0.055113,0.0,True
