trial,target_cv,spatial_mode,coverage_target,target_importance,exact_importance,exact_rows,exact_chunks,exact_aff_ms,exact_build_ms,exact_solve_ms,exact_single_query_ms,single_importance,single_rows,single_chunks,single_aff_ms,single_runtime_ms,single_gap_pct,single_exact
0,1.07,random,0.1,0.1,0.1075636962484808,14,1,0.012958264002964513,33.37223,0.201226,33.573456,0.1075636962484808,14,1,0.012958264002964513,0.088395,0.0,True
0,1.07,random,0.3,0.3,0.30010501263510825,57,1,0.018970211297117942,33.37223,0.14445,33.51668,0.3001050126351084,57,1,0.018970211297117942,0.069189,0.0,True
0,1.07,random,0.5,0.5,0.5030076973194707,106,1,0.02582103495789743,33.37223,0.147285,33.519515,0.5030076973194708,106,1,0.02582103495789743,0.070572,0.0,True
0,1.07,random,0.7,0.7,0.7017007121749923,158,1,0.033091296801989946,33.37223,0.162564,33.534794000000005,0.7017007121749927,158,1,0.033091296801989946,0.054081,0.0,True
0,1.07,random,0.9,0.9,0.9019793105195636,221,1,0.041899498651563574,33.37223,0.163766,33.535996000000004,0.9019793105195636,221,1,0.041899498651563574,0.045294,0.0,True
0,1.07,random,0.95,0.95,0.9514305271363611,240,1,0.04455594047921276,33.37223,0.167643,33.539873,0.951430527136361,240,1,0.04455594047921276,0.042309,0.0,True
0,1.07,random,0.99,0.99,0.991951884034071,253,1,0.04637350594023589,33.37223,0.136745,33.508975,0.9919518840340709,253,1,0.04637350594023589,0.039213,0.0,True
0,1.07,local,0.1,0.1,0.10120416291923272,6,1,0.011839762180796434,32.343648,0.191788,32.535436000000004,0.10120416291923272,6,1,0.011839762180796434,0.081503,0.0,True
0,1.07,local,0.3,0.3,0.3021148461977066,35,1,0.015894331286155722,32.343648,0.133049,32.476697,0.30211484619770657,35,1,0.015894331286155722,0.063699,0.0,True
0,1.07,local,0.5,0.5,0.501848053985842,73,1,0.0212072149414541,32.343648,0.132468,32.476116000000005,0.5018480539858418,73,1,0.0212072149414541,0.067687,0.0,True
0,1.07,local,0.7,0.7,0.7003047606758872,115,1,0.02707934950783652,32.343648,0.15003,32.493678,0.7003047606758873,115,1,0.02707934950783652,0.059732,0.0,True
0,1.07,local,0.9,0.9,0.9001710214198734,198,1,0.03868380591283035,32.343648,0.148668,32.492316,0.9001710214198736,198,1,0.03868380591283035,0.046236,0.0,True
0,1.07,local,0.95,0.95,0.9503746356119811,219,1,0.041619873196021555,32.343648,0.130324,32.473972,0.9503746356119814,219,1,0.041619873196021555,0.041167,0.0,True
0,1.07,local,0.99,0.99,0.9904979181763175,251,1,0.04609388048469387,32.343648,0.130664,32.474312000000005,0.9904979181763177,251,1,0.04609388048469387,0.039144,0.0,True
0,1.07,hot-cold,0.1,0.1,0.10240238363810546,8,1,0.012119387636338453,30.751054,0.192169,30.943223,0.10240238363810546,8,1,0.012119387636338453,0.081512,0.0,True
0,1.07,hot-cold,0.3,0.3,0.3011846776666405,33,1,0.015614705830613702,30.751054,0.147064,30.898118,0.30118467766664053,33,1,0.015614705830613702,0.060503,0.0,True
0,1.07,hot-cold,0.5,0.5,0.5014295075754621,68,1,0.020508151302599052,30.751054,0.132768,30.883822,0.5014295075754622,68,1,0.020508151302599052,0.052838,0.0,True
0,1.07,hot-cold,0.7,0.7,0.7013301254030496,109,1,0.02624047314121046,30.751054,0.128921,30.879974999999998,0.7013301254030497,109,1,0.02624047314121046,0.047088,0.0,True
0,1.07,hot-cold,0.9,0.9,0.9007055763471521,193,1,0.037984742273975296,30.751054,0.134421,30.885475,0.9007055763471523,193,1,0.037984742273975296,0.040837,0.0,True
0,1.07,hot-cold,0.95,0.95,0.9504067366866155,218,1,0.04148006046825055,30.751054,0.126767,30.877821,0.9504067366866158,218,1,0.04148006046825055,0.039583,0.0,True
0,1.07,hot-cold,0.99,0.99,0.9910601886322394,246,1,0.04539481684583883,30.751054,0.126837,30.877890999999998,0.9910601886322397,246,1,0.04539481684583883,0.043952,0.0,True
0,1.25,random,0.1,0.1,0.11323027113476354,10,1,0.012399013091880472,31.844276,0.214611,32.058887,0.11323027113476357,10,1,0.012399013091880472,0.089006,0.0,True
0,1.25,random,0.3,0.3,0.3048505658944294,57,1,0.018970211297117942,31.844276,0.142036,31.986312,0.3048505658944294,57,1,0.018970211297117942,0.068678,0.0,True
0,1.25,random,0.5,0.5,0.5017401450460911,114,1,0.026939536780065512,31.844276,0.141424,31.9857,0.5017401450460912,114,1,0.026939536780065512,0.062747,0.0,True
0,1.25,random,0.7,0.7,0.7002868361213079,166,1,0.03420979862415803,31.844276,0.145652,31.989928,0.7002868361213076,166,1,0.03420979862415803,0.050173,0.0,True
0,1.25,random,0.9,0.9,0.9001291881763835,211,1,0.04050137137385348,31.844276,0.146554,31.99083,0.9001291881763832,211,1,0.04050137137385348,0.049883,0.0,True
0,1.25,random,0.95,0.95,0.9509856627256094,229,1,0.04301800047373165,31.844276,0.159378,32.003654,0.950985662725609,229,1,0.04301800047373165,0.041748,0.0,True
0,1.25,random,0.99,0.99,0.9904047155343597,249,1,0.04581425502915185,31.844276,0.153396,31.997672,0.9904047155343596,249,1,0.04581425502915185,0.041037,0.0,True
0,1.25,local,0.1,0.1,0.10168982472709057,4,1,0.011560136725254414,29.89294,0.185526,30.078466,0.10168982472709057,4,1,0.011560136725254414,0.079659,0.0,True
0,1.25,local,0.3,0.3,0.30330708908796106,23,1,0.014216578552903602,29.89294,0.132478,30.025418,0.303307089087961,23,1,0.014216578552903602,0.05905,0.0,True
0,1.25,local,0.5,0.5,0.501822136057493,53,1,0.018410960386033903,29.89294,0.130523,30.023463,0.5018221360574932,53,1,0.018410960386033903,0.055935,0.0,True
0,1.25,local,0.7,0.7,0.7030137221915395,88,1,0.023304405858019253,29.89294,0.133519,30.026459,0.7030137221915393,88,1,0.023304405858019253,0.069349,0.0,True
0,1.25,local,0.9,0.9,0.9017970871020655,176,1,0.03560792590186813,29.89294,0.145642,30.038581999999998,0.9017970871020651,176,1,0.03560792590186813,0.045956,0.0,True
0,1.25,local,0.95,0.95,0.9520556099697493,228,1,0.042878187745960646,29.89294,0.142106,30.035045999999998,0.9520556099697493,228,1,0.042878187745960646,0.043441,0.0,True
0,1.25,local,0.99,0.99,0.9905215350113604,252,1,0.046233693212464885,29.89294,0.146974,30.039914,0.9905215350113605,252,1,0.046233693212464885,0.039384,0.0,True
0,1.25,hot-cold,0.1,0.1,0.11391073127405302,8,1,0.012119387636338453,29.944687,0.201336,30.146023,0.11391073127405299,8,1,0.012119387636338453,0.079709,0.0,True
0,1.25,hot-cold,0.3,0.3,0.3048278161798361,32,1,0.015474893102842693,29.944687,0.132989,30.077675999999997,0.3048278161798361,32,1,0.015474893102842693,0.057988,0.0,True
0,1.25,hot-cold,0.5,0.5,0.5014780206113625,56,1,0.018830398569346932,29.944687,0.129161,30.073847999999998,0.5014780206113626,56,1,0.018830398569346932,0.052598,0.0,True
0,1.25,hot-cold,0.7,0.7,0.7005843217469523,90,1,0.023584031313561273,29.944687,0.131064,30.075750999999997,0.7005843217469523,90,1,0.023584031313561273,0.047599,0.0,True
0,1.25,hot-cold,0.9,0.9,0.9011043792051271,168,1,0.03448942407970005,29.944687,0.131967,30.076653999999998,0.9011043792051272,168,1,0.03448942407970005,0.042469,0.0,True
0,1.25,hot-cold,0.95,0.95,0.9502075120751678,201,1,0.03910324409614338,29.944687,0.126887,30.071574,0.9502075120751682,201,1,0.03910324409614338,0.046687,0.0,True
0,1.25,hot-cold,0.99,0.99,0.9910207258395107,238,1,0.04427631502367074,29.944687,0.129892,30.074579,0.9910207258395111,238,1,0.04427631502367074,0.039164,0.0,True
0,1.44,random,0.1,0.1,0.10190059121522606,9,1,0.012259200364109463,29.68869,0.198371,29.887061000000003,0.10190059121522607,9,1,0.012259200364109463,0.101419,0.0,True
0,1.44,random,0.3,0.3,0.300341706773617,68,1,0.020508151302599052,29.68869,0.135823,29.824513,0.300341706773617,68,1,0.020508151302599052,0.069359,0.0,True
0,1.44,random,0.5,0.5,0.5036549891151987,112,1,0.026659911324523493,29.68869,0.136605,29.825295,0.5036549891151985,112,1,0.026659911324523493,0.060392,0.0,True
0,1.44,random,0.7,0.7,0.7008627320486038,173,1,0.0351884877185551,29.68869,0.153466,29.842156000000003,0.7008627320486036,173,1,0.0351884877185551,0.050734,0.0,True
0,1.44,random,0.9,0.9,0.9003940176242985,224,1,0.04231893683487661,29.68869,0.148197,29.836887,0.9003940176242986,224,1,0.04231893683487661,0.043361,0.0,True
0,1.44,random,0.95,0.95,0.9544823572885992,242,1,0.04483556593475478,29.68869,0.170568,29.859258,0.9544823572885996,242,1,0.04483556593475478,0.048971,0.0,True
0,1.44,random,0.99,0.99,0.990485510860488,253,1,0.04637350594023589,29.68869,0.152224,29.840914,0.9904855108604881,253,1,0.04637350594023589,0.044103,0.0,True
0,1.44,local,0.1,0.1,0.10813868912054618,3,1,0.011420323997483403,29.846194,0.198161,30.044355,0.10813868912054618,3,1,0.011420323997483403,0.083996,0.0,True
0,1.44,local,0.3,0.3,0.3020164339822857,32,1,0.015474893102842693,29.846194,0.134241,29.980435,0.3020164339822856,32,1,0.015474893102842693,0.068327,0.0,True
0,1.44,local,0.5,0.5,0.5005495732958217,106,1,0.02582103495789743,29.846194,0.137798,29.983992,0.5005495732958216,106,1,0.02582103495789743,0.058179,0.0,True
0,1.44,local,0.7,0.7,0.7113623201545438,162,1,0.03365054771307399,29.846194,0.154248,30.000442,0.7113623201545437,162,1,0.03365054771307399,0.047529,0.0,True
0,1.44,local,0.9,0.9,0.9064655362538988,198,1,0.03868380591283035,29.846194,0.148658,29.994852,0.9064655362538985,198,1,0.03868380591283035,0.04812,0.0,True
0,1.44,local,0.95,0.95,0.950763940480019,212,1,0.04064118410162449,29.846194,0.148688,29.994882,0.9507639404800184,212,1,0.04064118410162449,0.043582,0.0,True
0,1.44,local,0.99,0.99,0.9919409079682159,246,1,0.04539481684583883,29.846194,0.151443,29.997637,0.9919409079682151,246,1,0.04539481684583883,0.041147,0.0,True
0,1.44,hot-cold,0.1,0.1,0.11280017318351614,5,1,0.011699949453025424,29.807361,0.186278,29.993639,0.11280017318351614,5,1,0.011699949453025424,0.08061,0.0,True
0,1.44,hot-cold,0.3,0.3,0.30006223227433815,27,1,0.014775829463987642,29.807361,0.131936,29.939297,0.30006223227433804,27,1,0.014775829463987642,0.067606,0.0,True
0,1.44,hot-cold,0.5,0.5,0.5027327770300792,58,1,0.019110024024888952,29.807361,0.140753,29.948114,0.5027327770300791,58,1,0.019110024024888952,0.053319,0.0,True
0,1.44,hot-cold,0.7,0.7,0.7041888533334186,95,1,0.02428309495241632,29.807361,0.128991,29.936352,0.7041888533334184,95,1,0.02428309495241632,0.047629,0.0,True
0,1.44,hot-cold,0.9,0.9,0.9043238280041358,173,1,0.0351884877185551,29.807361,0.138909,29.946270000000002,0.9043238280041357,173,1,0.0351884877185551,0.043992,0.0,True
0,1.44,hot-cold,0.95,0.95,0.9505668541611455,204,1,0.039522682279456406,29.807361,0.129743,29.937104,0.9505668541611457,204,1,0.039522682279456406,0.040766,0.0,True
0,1.44,hot-cold,0.99,0.99,0.9908806910162132,244,1,0.04511519139029681,29.807361,0.130424,29.937785,0.9908806910162136,244,1,0.04511519139029681,0.038582,0.0,True
0,2.48,random,0.1,0.1,0.12130542556029009,1,1,0.011140698541941383,29.984441,0.195436,30.179877,0.12130542556029009,1,1,0.011140698541941383,0.110617,0.0,True
0,2.48,random,0.3,0.3,0.3015534312688775,48,1,0.01771189674717885,29.984441,0.136936,30.121377,0.30155343126887757,48,1,0.01771189674717885,0.070191,0.0,True
0,2.48,random,0.5,0.5,0.507515896306887,90,1,0.023584031313561273,29.984441,0.137416,30.121857000000002,0.507515896306887,90,1,0.023584031313561273,0.059261,0.0,True
0,2.48,random,0.7,0.7,0.7103919415162834,159,1,0.03323110952976096,29.984441,0.132367,30.116808,0.7103919415162837,159,1,0.03323110952976096,0.052558,0.0,True
0,2.48,random,0.9,0.9,0.902546466614285,214,1,0.04092080955716651,29.984441,0.141044,30.125485,0.9025464666142851,214,1,0.04092080955716651,0.045034,0.0,True
0,2.48,random,0.95,0.95,0.9530787800925906,228,1,0.042878187745960646,29.984441,0.148768,30.133209,0.9530787800925908,228,1,0.042878187745960646,0.043411,0.0,True
0,2.48,random,0.99,0.99,0.995690760042075,253,1,0.04637350594023589,29.984441,0.149679,30.13412,0.9956907600420754,253,1,0.04637350594023589,0.040706,0.0,True
0,2.48,local,0.1,0.1,0.12130542556029009,1,1,0.011140698541941383,29.885787,0.189313,30.0751,0.12130542556029009,1,1,0.011140698541941383,0.090749,0.0,True
0,2.48,local,0.3,0.3,0.30018144136573527,42,1,0.016873020380552793,29.885787,0.135944,30.021731,0.30018144136573527,42,1,0.016873020380552793,0.068277,0.0,True
0,2.48,local,0.5,0.5,0.5066289688528729,79,1,0.022046091308080162,29.885787,0.132096,30.017883,0.5066289688528731,79,1,0.022046091308080162,0.074359,0.0,True
0,2.48,local,0.7,0.7,0.7048971755260902,83,2,0.03360622803333457,29.885787,0.142967,30.028754,0.701374586461389,182,1,0.036446802268494186,0.050565,8.452523241650333,False
0,2.48,local,0.9,0.9,0.9005845842287572,195,1,0.038264367729517315,29.885787,0.144419,30.030206,0.9005845842287569,195,1,0.038264367729517315,0.040476,0.0,True
0,2.48,local,0.95,0.95,0.9507929789767696,207,1,0.03994212046276944,29.885787,0.126897,30.012684,0.9507929789767692,207,1,0.03994212046276944,0.039745,0.0,True
