method,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,order
paper,0.032414984401492805,0.3411368298299926,0.3095372953438705,0.01682030407019699,0.0407478929769991,0
cell1_x2,0.03086526975745242,0.09455512895566894,0.288893105604729,0.016705650037952505,0.04236951086054898,1
shifted8_x2,0.03086526975745242,0.12375776087016306,0.3048009180865688,0.016722559185857373,0.042192018154521733,2
adaptive8_x2,0.03086526975745242,0.13276625288198673,0.30079751912356056,0.016810795087074486,0.04185313704894126,3
