model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
smol360,test_long_structured,0,0.1,paper,Paper |x|,importance_bound,True,0.821702530341489,0.6997087377877462,21.0,10.610863003878592,0.5052791906608853,15.747518993914127,0.7498818568530536,0.6483500131538936,0.16904761904761909
smol360,test_long_structured,0,0.1,paper,Paper |x|,error_oracle,True,0.821702530341489,0.6997087377877462,21.0,10.610863003878592,0.5052791906608853,13.615350276231766,0.6483500131538936,0.6483500131538936,0.16904761904761909
smol360,test_long_structured,0,0.1,cell1_x2,Cell-1 X²,importance_bound,True,0.821702530341489,0.6997087377877462,21.0,6.048731500153302,0.2880348333406334,17.11003341525793,0.8147634959646634,0.7516223554100309,0.1404761904761905
smol360,test_long_structured,0,0.1,cell1_x2,Cell-1 X²,error_oracle,True,0.821702530341489,0.6997087377877462,21.0,6.142767997117637,0.29251276176750657,14.602166458964348,0.6953412599506832,0.6953412599506832,0.17142857142857149
smol360,test_long_structured,0,0.1,shifted8_x2,Shifted-8 X²,importance_bound,True,0.821702530341489,0.6997087377877462,21.0,6.2498320012573005,0.29761104767891905,16.643396578729153,0.7925426942251977,0.7290128536877178,0.15714285714285717
smol360,test_long_structured,0,0.1,shifted8_x2,Shifted-8 X²,error_oracle,True,0.821702530341489,0.6997087377877462,21.0,6.36328950089562,0.3030137857569343,14.229307718575,0.6775860818369048,0.6775860818369048,0.2
smol360,test_long_structured,0,0.1,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.821702530341489,0.6997087377877462,21.0,6.498460500349939,0.30945050001666374,16.76153090596199,0.7981681383791424,0.7214649138706071,0.14761904761904765
smol360,test_long_structured,0,0.1,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.821702530341489,0.6997087377877462,21.0,6.544579501466572,0.31164664292697963,14.671134002506733,0.6986254286907968,0.6986254286907968,0.16190476190476197
smol360,test_long_structured,1,0.15,paper,Paper |x|,importance_bound,True,0.7660415236439023,0.652376746847516,21.0,10.610863003878592,0.5052791906608853,15.747518993914127,0.7498818568530536,0.6483500131538936,0.16904761904761909
smol360,test_long_structured,1,0.15,paper,Paper |x|,error_oracle,True,0.7660415236439023,0.652376746847516,21.0,10.610863003878592,0.5052791906608853,13.615350276231766,0.6483500131538936,0.6483500131538936,0.16904761904761909
smol360,test_long_structured,1,0.15,cell1_x2,Cell-1 X²,importance_bound,True,0.7660415236439023,0.652376746847516,21.0,6.177103001931249,0.29414776199672615,15.480503730475903,0.7371668443083763,0.6943846685545785,0.2166666666666667
smol360,test_long_structured,1,0.15,cell1_x2,Cell-1 X²,error_oracle,True,0.7660415236439023,0.652376746847516,21.0,6.233549998402594,0.29683571420964733,13.67700307071209,0.6512858605100995,0.6512858605100995,0.20714285714285716
smol360,test_long_structured,1,0.15,shifted8_x2,Shifted-8 X²,importance_bound,True,0.7660415236439023,0.652376746847516,21.0,6.344905501095951,0.3021383571950453,15.76212952286005,0.7505775963266691,0.6874421065052351,0.19761904761904764
smol360,test_long_structured,1,0.15,shifted8_x2,Shifted-8 X²,error_oracle,True,0.7660415236439023,0.652376746847516,21.0,6.4422920007342706,0.3067758095587748,13.669112779200077,0.6509101323428608,0.6509101323428608,0.23333333333333334
smol360,test_long_structured,1,0.15,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.7660415236439023,0.652376746847516,21.0,6.581510000466227,0.31340523811743937,15.957587257027626,0.759885107477506,0.6931243003124282,0.18571428571428575
smol360,test_long_structured,1,0.15,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.7660415236439023,0.652376746847516,21.0,6.733888499969541,0.3206613571414067,13.213887728750706,0.6292327489881289,0.6292327489881289,0.2333333333333334
smol360,test_long_structured,2,0.2,paper,Paper |x|,importance_bound,True,0.7174021920987538,0.6237547383421943,21.0,10.670741003651916,0.5081305239834245,14.72871109098196,0.7013671948086648,0.6065236486139751,0.2166666666666667
