case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,method,method_label,score_kind,budget_index,budget_fraction,row_budget,selected_rows,selected_fraction,row_match,mask_sha256,importance_retention,abs_importance_retention,weighted_importance_retention,score_median_ms,score_p95_ms,selector_median_ms,selector_p95_ms,selector_total_ms,legacy_total_ms,actual_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper |x|,abs,0,0.1,96,96,0.1,True,e0274ad014385549d87084b992cc999ffdfbff7e48aa5d0578884cbb494b1e43,0.2753574848175049,0.2753574848175049,0.7805520296096802,0.04710400104522705,0.07106560245156288,0.273702,0.28129350000000003,0.32080600104522705,0.5170694999172687,0.5641735009624957,True,False,,0.5971925258636475,0.5695089101791382,0.19552534818649292,0.742681086063385,3,0.015359999611973763,0.01812480054795742,0.01740800030529499,0.019395200349390507,0.10963500000000001,0.032616,0.2105995,0.23792485,1.0,0.24336749991726875
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_x2,Cell-1 X²,x2,0,0.1,96,96,0.1,True,2cc754a95ed92993780cb0c0ea7ce03298da67af9cffbf877039b9725b4bc8fd,0.6131137609481812,0.1787436157464981,0.4801287055015564,0.03481600061058998,0.04311040006577969,0.081632,0.0921908,0.11644800061058998,0.23513349975460768,0.26994950036519766,True,False,,0.8996402025222778,0.8789243102073669,0.5376507043838501,0.6144001483917236,1,0.014527999795973301,0.01461439961567521,0.016383999958634377,0.01730560027062893,0.057087,0.026715,0.12258949999999999,0.12422165,1.0,0.15350149975460767
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,shifted8_x2,Shifted-8 X²,x2,0,0.1,96,96,0.1,True,b1935039da252b63cc46954fbbab350b270f27ea707547dd31d1ecb1218a60a8,0.6215839982032776,0.18377289175987244,0.49067965149879456,0.03481600061058998,0.04311040006577969,0.083396,0.0920072,0.11821200061058998,0.21628349892628193,0.25109949953687194,True,False,,0.8714079260826111,0.8509972095489502,0.4951635003089905,0.6240496635437012,1,0.015359999611973763,0.015359999611973763,0.016543999314308167,0.018099199421703814,0.0414475,0.025807999999999998,0.1009835,0.10271915000000001,1.0,0.13288749892628193
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,adaptive8_x2,Adaptive-8 X²,x2,0,0.1,96,96,0.1,True,b1935039da252b63cc46954fbbab350b270f27ea707547dd31d1ecb1218a60a8,0.6215839982032776,0.18377289175987244,0.49067965149879456,0.03481600061058998,0.04311040006577969,0.091071,0.1030446,0.12588700061059,0.22395849892628195,0.2587744995368719,True,False,,0.8714079260826111,0.8509972095489502,0.4951635003089905,0.6240496635437012,1,0.015359999611973763,0.015359999611973763,0.016543999314308167,0.018099199421703814,0.0414475,0.025807999999999998,0.1009835,0.10271915000000001,1.0,0.13288749892628193
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper |x|,abs,1,0.15,144,144,0.15,True,7f40890dc03a73754e46490c97253037c0948867d11b281744ab49a4a7663126,0.36119022965431213,0.36119022965431213,0.9196242094039917,0.04710400104522705,0.07106560245156288,0.236673,0.2456172,0.2837770010452271,0.41100650015527007,0.4581105012004972,True,False,,0.3856421709060669,0.3841230571269989,0.06814253330230713,0.801173210144043,4,0.014336000196635723,0.015430400148034096,0.016383999958634377,0.018227200582623483,0.070597,0.038011,0.1436135,0.14578205,1.0,0.1743335001552701
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_x2,Cell-1 X²,x2,1,0.15,144,144,0.15,True,412ee028a12492de883ef951a06e599fa3b1ecbc156436db7ff44d2f2368894b,0.6215085983276367,0.21484346687793732,0.4841453731060028,0.03481600061058998,0.04311040006577969,0.095208,0.0984723,0.13002400061059,0.25569749865561725,0.29051349926620723,True,False,,0.8856021761894226,0.8657711744308472,0.5181460976600647,0.610207200050354,1,0.015231999568641186,0.015347199607640504,0.01724799908697605,0.017392000183463097,0.056861499999999995,0.035982,0.1280095,0.12937075,1.0,0.16048949865561724
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,shifted8_x2,Shifted-8 X²,x2,1,0.15,144,144,0.15,True,3eaecf788129609de94b9297ae1a5194004852db0563538393204e99d32e20f5,0.668886125087738,0.25251537561416626,0.6157634854316711,0.03481600061058998,0.04311040006577969,0.136215,0.1550061,0.17103100061058998,0.3134429989238977,0.3482589995344877,True,False,,0.680334746837616,0.672775387763977,0.2482219934463501,0.5843695402145386,1,0.026623999699950218,0.035840001143515106,0.030719999223947525,0.03089280053973198,0.0528285,0.032796,0.119884,0.1212187,1.0,0.17722799892389773
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,adaptive8_x2,Adaptive-8 X²,x2,1,0.15,144,144,0.15,True,41b0c5294024e2e0f2ed975e6840fbcf84e70e96ec2f2721a6ca8d06c04117ec,0.695054829120636,0.2536287009716034,0.6844069361686707,0.03481600061058998,0.04311040006577969,0.135222,0.1432383,0.17003800061059,0.2941020001552701,0.3289180007658601,True,False,,0.7025236487388611,0.6900643110275269,0.2694125175476074,0.5653674602508545,3,0.014336000196635723,0.015257599670439959,0.016383999958634377,0.01744959969073534,0.057798,0.0341085,0.12816,0.1348866,1.0,0.1588800001552701
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,paper,Paper |x|,abs,2,0.2,192,192,0.2,True,6259c9f7f64aab47e09299446d9ff04c34ada09e4595aabf56f2acd91b6acc2d,0.4438382387161255,0.4438382387161255,0.9513447284698486,0.04710400104522705,0.07106560245156288,0.241552,0.2425438,0.28865600104522704,0.43919649967360497,0.486300500718832,True,False,,0.31321629881858826,0.2966183125972748,0.046658873558044434,0.8698906898498535,6,0.015359999611973763,0.015359999611973763,0.017376000061631203,0.019247999228537083,0.07162850000000001,0.04410750000000001,0.1649085,0.17070675,1.0,0.19764449967360498
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,smol360,SmolLM2-360M-Instruct,cal_short_factual,calibration,short,42,model.layers.0.self_attn.q_proj,0,q,960x960,960,960,1.875,generic-8KiB,cell1_x2,Cell-1 X²,x2,2,0.2,192,192,0.2,True,bc890edfe0c98bc62e5758bf8b3e7e4a1feefef53cfc7c74c56f574074718e47,0.7617581486701965,0.3228379487991333,0.7045796513557434,0.03481600061058998,0.04311040006577969,0.095408,0.10004299999999999,0.13022400061058997,0.26964149909460544,0.3044574997051954,True,False,,0.7147454619407654,0.6563581228256226,0.2883574962615967,0.8431578278541565,2,0.016383999958634377,0.016556799598038196,0.01945599913597107,0.02029120046645403,0.05627,0.0441475,0.1383935,0.14017415,1.0,0.17423349909460545
