method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,abs_importance_retention,selected_fraction,chunks,fallback_rate
adaptive8_x2,Adaptive-8 X²,x2,0,0.1,63,0.3098822777523824,0.030865269757452417,0.10773420634920634,0.13394946825396825,0.016069079379713677,0.021264254012041572,0.7564451131555769,0.3581847851238554,0.43055556738187395,0.15115101836503492,0.1,2.1904761904761907,0.0
adaptive8_x2,Adaptive-8 X²,x2,1,0.15,63,0.34749472216828187,0.030865269757452417,0.12476,0.15173840476190473,0.016629841282135856,0.023501206366788725,0.6895856348768113,0.29578222168816454,0.4943913919112039,0.207774372091369,0.15,3.2063492063492065,0.0
adaptive8_x2,Adaptive-8 X²,x2,2,0.2,63,0.366097610995514,0.030865269757452417,0.1238575873015873,0.16791062698412698,0.0168726349338179,0.026591492018529304,0.6280477445513483,0.24248912599351669,0.5541255805227492,0.2672307391961415,0.2,3.7142857142857144,0.0
adaptive8_x2,Adaptive-8 X²,x2,3,0.25,63,0.37785288877483775,0.030865269757452417,0.12488896825396825,0.1764793492063492,0.016772063419459297,0.02884723813760844,0.5949800045244278,0.21411320614436313,0.5863318817010001,0.31789220514751615,0.25,3.873015873015873,0.0
adaptive8_x2,Adaptive-8 X²,x2,4,0.3,63,0.3971816187001741,0.030865269757452417,0.12477469841269842,0.19343498412698412,0.017134222113305557,0.03097244428973344,0.5471174904987925,0.18268878876216826,0.6419637264713408,0.3738828419692933,0.3,4.349206349206349,0.0
adaptive8_x2,Adaptive-8 X²,x2,5,0.35,63,0.42196158760953706,0.030865269757452417,0.12695315873015872,0.2134673492063492,0.017348063547932852,0.033327746367643706,0.5131670751032376,0.1612322434546455,0.6803801717266204,0.4263898753930652,0.35,4.5396825396825395,0.0
adaptive8_x2,Adaptive-8 X²,x2,6,0.4,63,0.4224150559834346,0.030865269757452417,0.11827930158730159,0.22231683333333332,0.016849777749961277,0.03410387355538584,0.4846986402121801,0.14211864036227026,0.7083264636614967,0.473909087124325,0.4,4.746031746031746,0.0
adaptive8_x2,Adaptive-8 X²,x2,7,0.45,63,0.4554804360168595,0.030865269757452417,0.13303133333333333,0.241434246031746,0.016196571364407445,0.033953015529920146,0.4481817887179435,0.12363612273382758,0.7483723797495403,0.5226397727216993,0.45,5.015873015873016,0.0
adaptive8_x2,Adaptive-8 X²,x2,8,0.5,63,0.475882373120499,0.030865269757452417,0.13522809523809523,0.2574431031746031,0.01649777783406154,0.035848127116286516,0.4228327322810415,0.10968335753395439,0.7703979970916869,0.5677361072055878,0.5,4.888888888888889,0.0
adaptive8_x2,Adaptive-8 X²,x2,9,0.55,63,0.5094860079620528,0.030865269757452417,0.13762047619047618,0.28729410317460313,0.016434285760162315,0.037271873079358545,0.3914194405078888,0.09343094485146655,0.798651949753837,0.614774017106919,0.55,4.809523809523809,0.0
adaptive8_x2,Adaptive-8 X²,x2,10,0.6,63,0.5082864127025112,0.030865269757452417,0.138347873015873,0.2843060317460317,0.016619682518972233,0.03814755566418167,0.3617729027238157,0.0803611004163348,0.8262525380603851,0.6607996518649752,0.6,4.619047619047619,0.0
adaptive8_x2,Adaptive-8 X²,x2,11,0.65,63,0.5415713891152163,0.030865269757452417,0.13863225396825396,0.3139537380952381,0.017057523840949603,0.04106260345332202,0.3290552319515319,0.06741625449014084,0.8612940680413019,0.7068382066393656,0.65,4.666666666666667,0.0
adaptive8_x2,Adaptive-8 X²,x2,12,0.7,63,0.5467376029250991,0.030865269757452417,0.13685498412698413,0.3204141746031746,0.01666793642595168,0.041935238011536084,0.30197546033868716,0.05635027279929505,0.8816459245151944,0.7498185369703505,0.7,4.317460317460317,0.0
adaptive8_x2,Adaptive-8 X²,x2,13,0.75,63,0.5770982776300406,0.030865269757452417,0.14045363492063492,0.3449651507936508,0.017257650826303678,0.04355657133199861,0.2708237226165476,0.04612801850788173,0.9040916212021358,0.7930841152630155,0.75,4.015873015873016,0.0
adaptive8_x2,Adaptive-8 X²,x2,14,0.8,63,0.5630258333015375,0.030865269757452417,0.12653,0.3426616746031746,0.017126095215124686,0.04584279372578571,0.24174014189177087,0.036605369477044916,0.9233300903486827,0.8359668850898743,0.8,3.5555555555555554,0.0
adaptive8_x2,Adaptive-8 X²,x2,15,0.85,63,0.5914845632482606,0.030865269757452417,0.13027653968253966,0.3599544365079365,0.016887872923342893,0.053500444376988976,0.21083869790983575,0.027937365902794678,0.9412538172706725,0.8771310202659123,0.85,3.0317460317460316,0.0
adaptive8_x2,Adaptive-8 X²,x2,16,0.9,63,0.6062409446508553,0.030865269757452417,0.13270206349206348,0.3706497380952381,0.017206349114458664,0.05481752419164252,0.1769622955766935,0.019895589540875096,0.9578169764034332,0.9164767700528341,0.9,2.492063492063492,0.0
adaptive8_x2,Adaptive-8 X²,x2,17,0.95,63,0.6373364049800512,0.030865269757452417,0.1271786666666667,0.40471215079365075,0.017566476179848536,0.057013841582432584,0.11798607791581793,0.008894314841618562,0.981534481048584,0.9578027583303905,0.95,1.5396825396825398,0.0
cell1_x2,Cell-1 X²,x2,0,0.1,63,0.29701640469295915,0.030865269757452417,0.09054073015873015,0.13806729365079365,0.016115809480349172,0.021427301645633667,0.7854876669626387,0.3899365937899029,0.386976285941071,0.14138269613659565,0.1,1.3333333333333333,0.0
cell1_x2,Cell-1 X²,x2,1,0.15,63,0.3153227459500375,0.030865269757452417,0.09075641269841271,0.15290969841269839,0.01708800004174307,0.02370336503973078,0.7181950238725495,0.31933960555091734,0.4594264297731339,0.1986482621185363,0.15,1.7619047619047619,0.0
cell1_x2,Cell-1 X²,x2,2,0.2,63,0.33436272212117624,0.030865269757452417,0.09006396825396826,0.17047221428571427,0.016858920573242064,0.026102349250799087,0.6711800376337672,0.2778062877200898,0.5091861685117086,0.2556073019901911,0.2,2.111111111111111,0.0
cell1_x2,Cell-1 X²,x2,3,0.25,63,0.34029480947745505,0.030865269757452417,0.09188387301587302,0.17145347619047618,0.017143365040066635,0.028948825473586674,0.625324357123602,0.23063806598148645,0.5630288388994005,0.3105298209758032,0.25,2.3968253968253967,0.0
