objective,paper_budget_index,paper_budget_fraction,method,method_label,workloads,mean_time_ms,mean_error,mean_loss,mean_selected_fraction,target_mean_error,target_mean_importance_loss
error_oracle,0,0.1,adaptive8_x2,Adaptive-8 X²,3,0.30593699997947804,0.7063074063450571,0.7063074063450571,0.14206349206349211,0.7186366213219507,0.8298266003765757
error_oracle,0,0.1,cell1_x2,Cell-1 X²,3,0.2857854125387442,0.7147104981399718,0.7147104981399718,0.16190476190476194,0.7186366213219507,0.8298266003765757
error_oracle,0,0.1,paper,Paper |x|,3,0.5032676511793467,0.6604872478379143,0.6604872478379143,0.16587301587301592,0.7186366213219507,0.8298266003765757
error_oracle,0,0.1,shifted8_x2,Shifted-8 X²,3,0.2996837617793045,0.7072280906732121,0.7072280906732121,0.1674603174603175,0.7186366213219507,0.8298266003765757
error_oracle,1,0.15,adaptive8_x2,Adaptive-8 X²,3,0.31283009520701094,0.6445759079522557,0.6445759079522557,0.20158730158730162,0.6536222825211192,0.7701019190606617
error_oracle,1,0.15,cell1_x2,Cell-1 X²,3,0.2927826427415467,0.6416343256594642,0.6416343256594642,0.23333333333333336,0.6536222825211192,0.7701019190606617
error_oracle,1,0.15,paper,Paper |x|,3,0.5042508495671143,0.6445738455605885,0.6445738455605885,0.18174603174603177,0.6536222825211192,0.7701019190606617
error_oracle,1,0.15,shifted8_x2,Shifted-8 X²,3,0.30550437292890603,0.6528373574690213,0.6528373574690213,0.21666666666666667,0.6536222825211192,0.7701019190606617
error_oracle,2,0.2,adaptive8_x2,Adaptive-8 X²,3,0.319797182450355,0.5964643454977444,0.5964643454977444,0.25793650793650796,0.6196096723987943,0.7184029044139953
error_oracle,2,0.2,cell1_x2,Cell-1 X²,3,0.2975873887827046,0.6000393378356147,0.6000393378356147,0.273015873015873,0.6196096723987943,0.7184029044139953
error_oracle,2,0.2,paper,Paper |x|,3,0.5067586908570821,0.6080242731268444,0.6080242731268444,0.2222222222222222,0.6196096723987943,0.7184029044139953
error_oracle,2,0.2,shifted8_x2,Shifted-8 X²,3,0.3112965554532872,0.6130275699117828,0.6130275699117828,0.25873015873015875,0.6196096723987943,0.7184029044139953
error_oracle,3,0.25,adaptive8_x2,Adaptive-8 X²,3,0.327553071363238,0.5522393985163597,0.5522393985163597,0.30158730158730157,0.5675096947049337,0.6615539065429142
