method,cases,actual_total_ms_mean,relative_l2_error_mean,relative_l2_error_median,cosine_error_mean,importance_retention_mean,direct_rate,fallback_rate,method_label
paper,567,1.5621899488536155,0.4173481701191587,0.4128487706184387,0.12038649242811518,0.5720551129429278,1.0,0.0,Paper
tile8_ceil,567,1.3061427813051145,0.4433955890750693,0.4336434304714203,0.131036851036065,0.5608091411554429,1.0,0.0,Cell-8
wave_k1,567,1.421153405643739,0.4997155994983354,0.4868946671485901,0.15935260856382846,0.5356266594597674,1.0,0.0,Wave K=1
wave_k12,567,1.5526622839506172,0.39524001758003596,0.3778631389141083,0.10881865981184402,0.5889832971281859,1.0,0.0,Wave K=12
wave_k18,567,1.8813519911816576,0.37888591913908815,0.3538595139980316,0.10189968578819661,0.5983924125627338,1.0,0.0,Wave K=18
wave_k24,567,1.9715808289241623,0.3705645022721636,0.3482898771762848,0.09825762890844325,0.6037120829263273,1.0,0.0,Wave K=24
wave_k6,567,1.434403844797178,0.4240625576983408,0.4097209572792053,0.12139079064078216,0.573517120249913,1.0,0.0,Wave K=6
