model,importance_vs_relative_l2_spearman,importance_vs_cosine_error_spearman,within_case_relative_l2_spearman_mean,within_case_relative_l2_spearman_median,cases
qwen05,-0.5938535809140733,-0.5776464476273184,-0.9170102384388099,-0.9642857142857145,1323
smol360,-0.685830319506122,-0.6448325585989154,-0.9312169312169315,-0.9642857142857145,1323
tiny11,-0.8021580304726806,-0.7435301276788736,-0.9351336494193638,-0.9642857142857145,1323
all,-0.6890949120832389,-0.6492707053188725,-0.9277869396917018,-0.9642857142857145,3969
