model,budget_index,policy,cases,dense_to_sparse_kl_mean,top1_agreement_mean,nll_delta_mean,logit_relative_l2_error_mean,fallback_calls,policy_label
qwen05,0,error_guard_dispatch,3,17.697492281595867,0.014719848210612901,16.205265363057453,2.55125371615092,0,Measured-error guard dispatch
qwen05,0,min_total_dispatch,3,12.412841796875,0.010531135679533033,10.999425252278646,1.7176305055618286,0,All-method min-total dispatch
qwen05,0,paper,3,13.975594520568848,0.03988604123393693,12.772258599599203,2.2679433822631836,0,Paper
qwen05,0,tile8_ceil,3,12.412841796875,0.010531135679533033,10.999425252278646,1.7176305055618286,0,Cell-8
qwen05,0,wave_dispatch,3,11.840200106302897,0.024420024827122664,10.625852743784586,1.8871931234995525,0,Wave calibration dispatch
qwen05,0,wave_k6,3,13.795529206593832,0.014499389876921934,12.314413865407309,2.026037017504374,0,Wave K=6
qwen05,1,error_guard_dispatch,3,12.051431973775228,0.014804640319198334,10.417944431304932,1.6659009456634521,0,Measured-error guard dispatch
qwen05,1,min_total_dispatch,3,11.571325302124023,0.015873016168673832,10.293442726135254,2.1223483880360923,0,All-method min-total dispatch
qwen05,1,paper,3,11.198102315266928,0.0250305254012346,9.775863647460938,1.9335527420043945,0,Paper
qwen05,1,tile8_ceil,3,11.571325302124023,0.015873016168673832,10.293442726135254,2.1223483880360923,0,Cell-8
qwen05,1,wave_dispatch,3,14.528299331665039,0.012515262700617267,13.482477188110352,2.0038777192433677,0,Wave calibration dispatch
qwen05,1,wave_k6,3,11.206663131713867,0.04120879247784613,9.42918618520101,1.7110316753387451,0,Wave K=6
qwen05,2,error_guard_dispatch,3,9.881308714548746,0.08109483371178307,8.414685567220053,1.1889972686767578,0,Measured-error guard dispatch
qwen05,2,min_total_dispatch,3,8.815660158793131,0.0102258855476975,7.584963162740071,1.134486436843872,0,All-method min-total dispatch
qwen05,2,paper,3,6.747627894083659,0.0592016018927097,5.393749554951985,1.0330195426940918,0,Paper
qwen05,2,tile8_ceil,3,9.471611340840658,0.03578212019056077,8.303256829579672,1.228988766670227,0,Cell-8
qwen05,2,wave_dispatch,3,9.710488637288412,0.017857143034537632,8.530562241872152,1.571806271870931,0,Wave calibration dispatch
qwen05,2,wave_k6,3,7.634661515553792,0.04187016825502113,6.197910626729329,1.0677555799484253,0,Wave K=6
smol360,0,error_guard_dispatch,3,12.514278729756674,0.007533670092622433,11.159473101298014,1.3173981507619221,0,Measured-error guard dispatch
smol360,0,min_total_dispatch,3,13.507215817769369,0.0057803466916084,12.032951354980469,1.4011523723602295,0,All-method min-total dispatch
smol360,0,paper,3,12.019379297892252,0.007707128922144566,11.083785692850748,1.3996955553690593,0,Paper
smol360,0,tile8_ceil,3,13.507215817769369,0.0057803466916084,12.032951354980469,1.4011523723602295,0,Cell-8
smol360,0,wave_dispatch,3,13.703171094258627,0.0,12.296781539916992,1.324876308441162,0,Wave calibration dispatch
smol360,0,wave_k6,3,13.477684020996094,0.021974806052943035,12.075063705444336,1.2851444482803345,0,Wave K=6
smol360,1,error_guard_dispatch,3,10.510541121164957,0.042341041068235996,9.469359238942465,1.331663449605306,0,Measured-error guard dispatch
smol360,1,min_total_dispatch,3,14.876453399658203,0.03350168342391647,13.96539052327474,1.5706137418746948,0,All-method min-total dispatch
smol360,1,paper,3,9.874275207519531,0.02343448903411623,8.77437130610148,1.2767151594161987,0,Paper
smol360,1,tile8_ceil,3,14.876453399658203,0.03350168342391647,13.96539052327474,1.5706137418746948,0,Cell-8
smol360,1,wave_dispatch,3,12.28114096323649,0.014267677130798467,11.25923220316569,1.285233497619629,0,Wave calibration dispatch
smol360,1,wave_k6,3,12.28114096323649,0.014267677130798467,11.25923220316569,1.285233497619629,0,Wave K=6
smol360,2,error_guard_dispatch,3,5.212499618530273,0.11851121733585986,4.236813386281331,0.9052420258522034,0,Measured-error guard dispatch
smol360,2,min_total_dispatch,3,4.391713778177897,0.1130921468138694,3.3335925738016763,0.8412100474039713,0,All-method min-total dispatch
smol360,2,paper,3,4.934799353281657,0.13890616347392395,3.8748251597086587,0.9785160621007284,0,Paper
smol360,2,tile8_ceil,3,4.391713778177897,0.1130921468138694,3.3335925738016763,0.8412100474039713,0,Cell-8
smol360,2,wave_dispatch,3,5.425772031148274,0.11002389217416443,4.418211301167806,0.9599708716074625,0,Wave calibration dispatch
smol360,2,wave_k6,3,5.805238723754883,0.08632446949680643,4.789015452067058,1.0302332242329915,0,Wave K=6
tiny11,0,error_guard_dispatch,3,9.373730818430582,0.0111731837193171,8.460206667582193,0.995339592297872,0,Measured-error guard dispatch
