model,model_label,prompt,split,situation,num_tokens,budget_index,budget_fraction,policy,policy_label,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,fallback_calls,resolved_method_counts
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,0,0.25,paper,Paper,1.3721394538879395,0.6357942819595337,16.641599655151367,0.0555555559694767,4.304563045501709,18.87442970275879,14.569866180419922,168,0,"{""paper"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,0,0.25,tile8_ceil,Cell-8,1.3365042209625244,0.6403220891952515,15.310385704040527,0.0,4.304563045501709,17.72116470336914,13.416601181030273,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,0,0.25,wave_k6,Wave K=6,2.9317851066589355,0.5799769163131714,24.249544143676758,0.0,4.304563045501709,26.79775047302246,22.493186950683594,168,0,"{""wave_k6"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,0,0.25,wave_dispatch,Wave calibration dispatch,1.2230572700500488,0.9685646295547485,12.497568130493164,0.0,4.304563045501709,15.377104759216309,11.072542190551758,168,0,"{""wave_k1"": 48, ""wave_k6"": 120}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,0,0.25,min_total_dispatch,All-method min-total dispatch,1.3365042209625244,0.6403220891952515,15.310385704040527,0.0,4.304563045501709,17.72116470336914,13.416601181030273,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,0,0.25,error_guard_dispatch,Measured-error guard dispatch,2.6575536727905273,0.572735071182251,24.797582626342773,0.018518518656492233,4.304563045501709,27.12479019165039,22.820226669311523,168,0,"{""paper"": 24, ""tile8_ceil"": 48, ""wave_k12"": 48, ""wave_k6"": 48}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,1,0.5,paper,Paper,1.4352912902832031,0.6132923364639282,11.421250343322754,0.0,4.304563045501709,13.245039939880371,8.94047737121582,168,0,"{""paper"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,1,0.5,tile8_ceil,Cell-8,2.341042995452881,0.5832377076148987,15.974987983703613,0.0,4.304563045501709,18.706710815429688,14.40214729309082,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,1,0.5,wave_k6,Wave K=6,1.0629295110702515,0.6738899946212769,9.718650817871094,0.0,4.304563045501709,11.891768455505371,7.587205410003662,168,0,"{""wave_k6"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,1,0.5,wave_dispatch,Wave calibration dispatch,1.3353619575500488,0.63679438829422,15.6348876953125,0.0,4.304563045501709,18.46087646484375,14.156312942504883,168,0,"{""wave_k1"": 48, ""wave_k6"": 120}"
