model,model_label,prompt,split,situation,num_tokens,budget_index,budget_fraction,policy,policy_label,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,fallback_calls,resolved_method_counts
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,1,0.5,min_total_dispatch,All-method min-total dispatch,2.341042995452881,0.5832377076148987,15.974987983703613,0.0,4.304563045501709,18.706710815429688,14.40214729309082,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,1,0.5,error_guard_dispatch,Measured-error guard dispatch,1.4170122146606445,0.6088656187057495,15.455536842346191,0.0,4.304563045501709,17.871868133544922,13.567304611206055,168,0,"{""paper"": 72, ""wave_k1"": 48, ""wave_k6"": 48}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,2,0.75,paper,Paper,1.0262092351913452,0.5339404344558716,8.01628303527832,0.03703703731298447,4.304563045501709,10.465677261352539,6.16111421585083,168,0,"{""paper"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,2,0.75,tile8_ceil,Cell-8,1.1283833980560303,0.7412679195404053,11.335514068603516,0.018518518656492233,4.304563045501709,14.006672859191895,9.702110290527344,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,2,0.75,wave_k6,Wave K=6,1.0871520042419434,0.6467291116714478,9.247123718261719,0.0555555559694767,4.304563045501709,11.512001991271973,7.207438945770264,168,0,"{""wave_k6"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,2,0.75,wave_dispatch,Wave calibration dispatch,1.0798181295394897,0.6258811354637146,9.165124893188477,0.0,4.304563045501709,12.091743469238281,7.787180423736572,168,0,"{""wave_k1"": 48, ""wave_k24"": 72, ""wave_k6"": 48}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,2,0.75,min_total_dispatch,All-method min-total dispatch,1.1205869913101196,0.5607340335845947,9.763213157653809,0.0,4.304563045501709,12.188770294189453,7.884207248687744,168,0,"{""tile8_ceil"": 96, ""wave_k24"": 72}"
qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,2,0.75,error_guard_dispatch,Measured-error guard dispatch,1.1613836288452148,0.692097008228302,12.906826972961426,0.0555555559694767,4.304563045501709,15.332185745239258,11.02762222290039,168,0,"{""tile8_ceil"": 48, ""wave_k1"": 48, ""wave_k24"": 72}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,0,0.25,paper,Paper,3.498079299926758,0.6711872816085815,17.0283145904541,0.06410256773233414,4.315040588378906,21.184804916381836,16.86976432800293,168,0,"{""paper"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,0,0.25,tile8_ceil,Cell-8,2.5622923374176025,0.7109388113021851,11.699411392211914,0.025641025975346565,4.315040588378906,15.003782272338867,10.688741683959961,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,0,0.25,wave_k6,Wave K=6,1.2321527004241943,0.697433590888977,7.819857120513916,0.025641025975346565,4.315040588378906,10.867597579956055,6.552556991577148,168,0,"{""wave_k6"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,0,0.25,wave_dispatch,Wave calibration dispatch,2.284198760986328,0.6811941862106323,14.542890548706055,0.025641025975346565,4.315040588378906,17.99078941345215,13.675748825073242,168,0,"{""wave_k1"": 48, ""wave_k6"": 120}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,0,0.25,min_total_dispatch,All-method min-total dispatch,2.5622923374176025,0.7109388113021851,11.699411392211914,0.025641025975346565,4.315040588378906,15.003782272338867,10.688741683959961,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,0,0.25,error_guard_dispatch,Measured-error guard dispatch,2.3436663150787354,0.6661031246185303,12.107132911682129,0.025641025975346565,4.315040588378906,15.364485740661621,11.049445152282715,168,0,"{""paper"": 24, ""tile8_ceil"": 48, ""wave_k12"": 48, ""wave_k6"": 48}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,1,0.5,paper,Paper,1.5973432064056396,0.687191903591156,12.16174030303955,0.05128205195069313,4.315040588378906,15.543710708618164,11.228670120239258,168,0,"{""paper"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,1,0.5,tile8_ceil,Cell-8,2.1589725017547607,0.6918255686759949,9.271602630615234,0.0,4.315040588378906,12.435555458068848,8.120514869689941,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,1,0.5,wave_k6,Wave K=6,2.403210163116455,0.7391104102134705,15.091818809509277,0.06410256773233414,4.315040588378906,17.485881805419922,13.170841217041016,168,0,"{""wave_k6"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,1,0.5,wave_dispatch,Wave calibration dispatch,2.553738594055176,0.6820855736732483,13.81450366973877,0.025641025975346565,4.315040588378906,17.63616371154785,13.321123123168945,168,0,"{""wave_k1"": 48, ""wave_k6"": 120}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,1,0.5,min_total_dispatch,All-method min-total dispatch,2.1589725017547607,0.6918255686759949,9.271602630615234,0.0,4.315040588378906,12.435555458068848,8.120514869689941,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,1,0.5,error_guard_dispatch,Measured-error guard dispatch,1.6243102550506592,0.6854075193405151,11.418336868286133,0.03846153989434242,4.315040588378906,14.254730224609375,9.939689636230469,168,0,"{""paper"": 72, ""wave_k1"": 48, ""wave_k6"": 48}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,2,0.75,paper,Paper,1.0697171688079834,0.5888025760650635,6.167201042175293,0.05128205195069313,4.315040588378906,9.386228561401367,5.071187973022461,168,0,"{""paper"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,2,0.75,tile8_ceil,Cell-8,1.1818993091583252,0.6665656566619873,8.544161796569824,0.07692307978868484,4.315040588378906,12.28779411315918,7.972753524780273,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,2,0.75,wave_k6,Wave K=6,1.0041605234146118,0.5952633619308472,6.47124719619751,0.06410256773233414,4.315040588378906,9.615067481994629,5.300026893615723,168,0,"{""wave_k6"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,2,0.75,wave_dispatch,Wave calibration dispatch,1.4319995641708374,0.6986751556396484,9.175947189331055,0.0,4.315040588378906,12.731649398803711,8.416608810424805,168,0,"{""wave_k1"": 48, ""wave_k24"": 72, ""wave_k6"": 48}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,2,0.75,min_total_dispatch,All-method min-total dispatch,1.1536306142807007,0.5872079133987427,8.991869926452637,0.012820512987673283,4.315040588378906,12.668092727661133,8.353052139282227,168,0,"{""tile8_ceil"": 96, ""wave_k24"": 72}"
qwen05,Qwen2.5-0.5B-Instruct,test_medium_code,holdout,medium,78,2,0.75,error_guard_dispatch,Measured-error guard dispatch,0.986617922782898,0.5861923694610596,6.311803340911865,0.12820513546466827,4.315040588378906,9.427762985229492,5.112722396850586,168,0,"{""tile8_ceil"": 48, ""wave_k1"": 48, ""wave_k24"": 72}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,0,0.25,paper,Paper,1.9336113929748535,0.7679527997970581,8.256869316101074,0.0,4.793145656585693,11.67029094696045,6.877145290374756,168,0,"{""paper"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,0,0.25,tile8_ceil,Cell-8,1.2540949583053589,0.7378860116004944,10.228728294372559,0.0059523810632526875,4.793145656585693,13.686079025268555,8.892932891845703,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,0,0.25,wave_k6,Wave K=6,1.9141732454299927,0.7929152250289917,9.31718635559082,0.01785714365541935,4.793145656585693,12.690643310546875,7.897497653961182,168,0,"{""wave_k6"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,0,0.25,wave_dispatch,Wave calibration dispatch,2.1543233394622803,0.831355094909668,8.480141639709473,0.0476190485060215,4.793145656585693,11.922412872314453,7.12926721572876,168,0,"{""wave_k1"": 48, ""wave_k6"": 120}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,0,0.25,min_total_dispatch,All-method min-total dispatch,1.2540949583053589,0.7378860116004944,10.228728294372559,0.0059523810632526875,4.793145656585693,13.686079025268555,8.892932891845703,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,0,0.25,error_guard_dispatch,Measured-error guard dispatch,2.652541160583496,0.7361303567886353,16.187761306762695,0.0,4.793145656585693,19.539270401000977,14.746124267578125,168,0,"{""paper"": 24, ""tile8_ceil"": 48, ""wave_k12"": 48, ""wave_k6"": 48}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,1,0.5,paper,Paper,2.768023729324341,0.757213294506073,10.011316299438477,0.02380952425301075,4.793145656585693,13.951589584350586,9.158443450927734,168,0,"{""paper"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,1,0.5,tile8_ceil,Cell-8,1.8670296669006348,0.6940922737121582,9.467385292053223,0.0476190485060215,4.793145656585693,13.150811195373535,8.357666015625,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,1,0.5,wave_k6,Wave K=6,1.6669553518295288,0.6911579966545105,8.80951976776123,0.0595238097012043,4.793145656585693,12.322657585144043,7.52951192855835,168,0,"{""wave_k6"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,1,0.5,wave_dispatch,Wave calibration dispatch,2.122532606124878,0.7263451814651489,14.135506629943848,0.011904762126505375,4.793145656585693,17.763141632080078,12.969995498657227,168,0,"{""wave_k1"": 48, ""wave_k6"": 120}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,1,0.5,min_total_dispatch,All-method min-total dispatch,1.8670296669006348,0.6940922737121582,9.467385292053223,0.0476190485060215,4.793145656585693,13.150811195373535,8.357666015625,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,1,0.5,error_guard_dispatch,Measured-error guard dispatch,1.9563803672790527,0.7858043313026428,9.28042221069336,0.0059523810632526875,4.793145656585693,12.539984703063965,7.7468390464782715,168,0,"{""paper"": 72, ""wave_k1"": 48, ""wave_k6"": 48}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,2,0.75,paper,Paper,1.0031322240829468,0.5147687196731567,6.059399604797363,0.0892857164144516,4.793145656585693,9.74209213256836,4.948946475982666,168,0,"{""paper"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,2,0.75,tile8_ceil,Cell-8,1.3766835927963257,0.7214545607566833,8.535158157348633,0.011904762126505375,4.793145656585693,12.02805233001709,7.2349066734313965,168,0,"{""tile8_ceil"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,2,0.75,wave_k6,Wave K=6,1.1119542121887207,0.6609189510345459,7.185613632202148,0.0059523810632526875,4.793145656585693,10.879411697387695,6.086266040802002,168,0,"{""wave_k6"": 168}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,2,0.75,wave_dispatch,Wave calibration dispatch,2.203601121902466,0.7677489519119263,10.790393829345703,0.0535714291036129,4.793145656585693,14.181042671203613,9.387897491455078,168,0,"{""wave_k1"": 48, ""wave_k24"": 72, ""wave_k6"": 48}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,2,0.75,min_total_dispatch,All-method min-total dispatch,1.129241704940796,0.7063220739364624,7.691897392272949,0.01785714365541935,4.793145656585693,11.310775756835938,6.517630100250244,168,0,"{""tile8_ceil"": 96, ""wave_k24"": 72}"
qwen05,Qwen2.5-0.5B-Instruct,test_long_structured,holdout,long,168,2,0.75,error_guard_dispatch,Measured-error guard dispatch,1.4189902544021606,0.7343483567237854,10.42529582977295,0.0595238097012043,4.793145656585693,13.896858215332031,9.10371208190918,168,0,"{""tile8_ceil"": 48, ""wave_k1"": 48, ""wave_k24"": 72}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,0,0.25,paper,Paper,1.518850564956665,1.0472666025161743,14.233654975891113,0.0,2.2992043495178223,15.615250587463379,13.316045761108398,224,0,"{""paper"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,0,0.25,tile8_ceil,Cell-8,1.355214238166809,0.9369542002677917,13.66530704498291,0.0,2.2992043495178223,15.058609008789062,12.759405136108398,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,0,0.25,wave_k6,Wave K=6,1.3699932098388672,0.8537395596504211,14.61227035522461,0.03030303120613098,2.2992043495178223,16.083538055419922,13.784334182739258,224,0,"{""wave_k6"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,0,0.25,wave_dispatch,Wave calibration dispatch,1.4516522884368896,0.7678067684173584,14.085419654846191,0.0,2.2992043495178223,15.43322467803955,13.13401985168457,224,0,"{""wave_k1"": 64, ""wave_k6"": 160}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,0,0.25,min_total_dispatch,All-method min-total dispatch,1.355214238166809,0.9369542002677917,13.66530704498291,0.0,2.2992043495178223,15.058609008789062,12.759405136108398,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,0,0.25,error_guard_dispatch,Measured-error guard dispatch,1.3674856424331665,0.7208349108695984,14.022789001464844,0.010101010091602802,2.2992043495178223,15.045848846435547,12.746644973754883,224,0,"{""paper"": 32, ""tile8_ceil"": 64, ""wave_k6"": 128}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,1,0.5,paper,Paper,1.4669774770736694,0.7042027115821838,14.236993789672852,0.0,2.2992043495178223,15.639744758605957,13.340539932250977,224,0,"{""paper"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,1,0.5,tile8_ceil,Cell-8,2.0734667778015137,0.6780343055725098,20.054222106933594,0.05050504952669144,2.2992043495178223,21.469402313232422,19.170198440551758,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,1,0.5,wave_k6,Wave K=6,1.459123969078064,0.7436217069625854,16.398649215698242,0.03030303120613098,2.2992043495178223,17.882339477539062,15.583135604858398,224,0,"{""wave_k6"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,1,0.5,wave_dispatch,Wave calibration dispatch,1.459123969078064,0.7436217069625854,16.398649215698242,0.03030303120613098,2.2992043495178223,17.882339477539062,15.583135604858398,224,0,"{""wave_k6"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,1,0.5,min_total_dispatch,All-method min-total dispatch,2.0734667778015137,0.6780343055725098,20.054222106933594,0.05050504952669144,2.2992043495178223,21.469402313232422,19.170198440551758,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,1,0.5,error_guard_dispatch,Measured-error guard dispatch,1.5196740627288818,0.6662629842758179,17.73514175415039,0.0,2.2992043495178223,19.040546417236328,16.741342544555664,224,0,"{""paper"": 32, ""tile8_ceil"": 64, ""wave_k6"": 128}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,2,0.75,paper,Paper,1.0008243322372437,0.6179604530334473,5.745967388153076,0.08080808073282242,2.2992043495178223,7.227728366851807,4.928524017333984,224,0,"{""paper"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,2,0.75,tile8_ceil,Cell-8,0.8510605096817017,0.4538925290107727,4.3733673095703125,0.07070706784725189,2.2992043495178223,5.8162970542907715,3.517092704772949,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,2,0.75,wave_k6,Wave K=6,1.0682121515274048,0.6774280071258545,7.841597080230713,0.04040404036641121,2.2992043495178223,9.321466445922852,7.022262096405029,224,0,"{""wave_k6"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,2,0.75,wave_dispatch,Wave calibration dispatch,1.0242758989334106,0.7042090892791748,6.7201313972473145,0.04040404036641121,2.2992043495178223,8.15494441986084,5.855740070343018,224,0,"{""wave_k12"": 96, ""wave_k6"": 128}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,2,0.75,min_total_dispatch,All-method min-total dispatch,0.8510605096817017,0.4538925290107727,4.3733673095703125,0.07070706784725189,2.2992043495178223,5.8162970542907715,3.517092704772949,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_short_korean,holdout,short,99,2,0.75,error_guard_dispatch,Measured-error guard dispatch,0.9989050030708313,0.6385658979415894,6.35329008102417,0.07070706784725189,2.2992043495178223,7.8890380859375,5.589833736419678,224,0,"{""tile8_ceil"": 32, ""wave_k12"": 64, ""wave_k6"": 128}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,0,0.25,paper,Paper,1.2327501773834229,0.785429060459137,11.17435359954834,0.0,3.893587112426758,14.421553611755371,10.527966499328613,224,0,"{""paper"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,0,0.25,tile8_ceil,Cell-8,1.498448371887207,1.0664591789245605,14.531256675720215,0.0,3.893587112426758,16.31208038330078,12.418493270874023,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,0,0.25,wave_k6,Wave K=6,1.2810724973678589,1.194469928741455,14.907882690429688,0.012500000186264515,3.893587112426758,16.701190948486328,12.80760383605957,224,0,"{""wave_k6"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,0,0.25,wave_dispatch,Wave calibration dispatch,1.239843487739563,0.9386736154556274,13.889444351196289,0.0,3.893587112426758,16.20957374572754,12.315986633300781,224,0,"{""wave_k1"": 64, ""wave_k6"": 160}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,0,0.25,min_total_dispatch,All-method min-total dispatch,1.498448371887207,1.0664591789245605,14.531256675720215,0.0,3.893587112426758,16.31208038330078,12.418493270874023,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,0,0.25,error_guard_dispatch,Measured-error guard dispatch,1.3109397888183594,0.8573588728904724,10.60534381866455,0.012500000186264515,3.893587112426758,12.819687843322754,8.926100730895996,224,0,"{""paper"": 32, ""tile8_ceil"": 64, ""wave_k6"": 128}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,1,0.5,paper,Paper,1.2977832555770874,0.9840437769889832,8.061030387878418,0.012500000186264515,3.893587112426758,10.475419044494629,6.581831932067871,224,0,"{""paper"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,1,0.5,tile8_ceil,Cell-8,1.323121428489685,0.7220081090927124,11.057568550109863,0.05000000074505806,3.893587112426758,14.60561752319336,10.712030410766602,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,1,0.5,wave_k6,Wave K=6,1.1229158639907837,0.7562969923019409,9.399246215820312,0.012500000186264515,3.893587112426758,12.399284362792969,8.505697250366211,224,0,"{""wave_k6"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,1,0.5,wave_dispatch,Wave calibration dispatch,1.1229158639907837,0.7562969923019409,9.399246215820312,0.012500000186264515,3.893587112426758,12.399284362792969,8.505697250366211,224,0,"{""wave_k6"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,1,0.5,min_total_dispatch,All-method min-total dispatch,1.323121428489685,0.7220081090927124,11.057568550109863,0.05000000074505806,3.893587112426758,14.60561752319336,10.712030410766602,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,1,0.5,error_guard_dispatch,Measured-error guard dispatch,1.2856007814407349,0.9401270151138306,7.681927680969238,0.07500000298023224,3.893587112426758,10.495728492736816,6.602141380310059,224,0,"{""paper"": 32, ""tile8_ceil"": 64, ""wave_k6"": 128}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,2,0.75,paper,Paper,1.044083595275879,0.6439232230186462,4.870817184448242,0.16250000894069672,3.893587112426758,7.4845404624938965,3.5909533500671387,224,0,"{""paper"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,2,0.75,tile8_ceil,Cell-8,0.8881320953369141,0.5021050572395325,4.764265537261963,0.11250000447034836,3.893587112426758,7.539165019989014,3.645577907562256,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,2,0.75,wave_k6,Wave K=6,1.1407175064086914,0.762040913105011,5.407529354095459,0.0625,3.893587112426758,8.216291427612305,4.322704315185547,224,0,"{""wave_k6"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,2,0.75,wave_dispatch,Wave calibration dispatch,0.9769336581230164,0.6098144054412842,5.377227306365967,0.16250000894069672,3.893587112426758,8.178658485412598,4.28507137298584,224,0,"{""wave_k12"": 96, ""wave_k6"": 128}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,2,0.75,min_total_dispatch,All-method min-total dispatch,0.8881320953369141,0.5021050572395325,4.764265537261963,0.11250000447034836,3.893587112426758,7.539165019989014,3.645577907562256,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_medium_code,holdout,medium,80,2,0.75,error_guard_dispatch,Measured-error guard dispatch,0.8472217917442322,0.4444483518600464,4.594661712646484,0.17499999701976776,3.893587112426758,7.493077754974365,3.5994906425476074,224,0,"{""tile8_ceil"": 32, ""wave_k12"": 64, ""wave_k6"": 128}"
smol360,SmolLM2-360M-Instruct,test_long_structured,holdout,long,173,0,0.25,paper,Paper,1.4474859237670898,0.9507280588150024,10.650129318237305,0.023121386766433716,4.5072455406188965,13.914590835571289,9.407344818115234,224,0,"{""paper"": 224}"
smol360,SmolLM2-360M-Instruct,test_long_structured,holdout,long,173,0,0.25,tile8_ceil,Cell-8,1.3497945070266724,0.9396827816963196,12.32508373260498,0.017341040074825287,4.5072455406188965,15.428201675415039,10.920955657958984,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_long_structured,holdout,long,173,0,0.25,wave_k6,Wave K=6,1.2043676376342773,0.7689805030822754,10.912899017333984,0.023121386766433716,4.5072455406188965,14.140499114990234,9.63325309753418,224,0,"{""wave_k6"": 224}"
smol360,SmolLM2-360M-Instruct,test_long_structured,holdout,long,173,0,0.25,wave_dispatch,Wave calibration dispatch,1.2831331491470337,0.884790301322937,13.134649276733398,0.0,4.5072455406188965,15.947583198547363,11.440338134765625,224,0,"{""wave_k1"": 64, ""wave_k6"": 160}"
smol360,SmolLM2-360M-Instruct,test_long_structured,holdout,long,173,0,0.25,min_total_dispatch,All-method min-total dispatch,1.3497945070266724,0.9396827816963196,12.32508373260498,0.017341040074825287,4.5072455406188965,15.428201675415039,10.920955657958984,224,0,"{""tile8_ceil"": 224}"
smol360,SmolLM2-360M-Instruct,test_long_structured,holdout,long,173,0,0.25,error_guard_dispatch,Measured-error guard dispatch,1.2737690210342407,0.904605507850647,12.914703369140625,0.0,4.5072455406188965,16.31291961669922,11.805673599243164,224,0,"{""paper"": 32, ""tile8_ceil"": 64, ""wave_k6"": 128}"
smol360,SmolLM2-360M-Instruct,test_long_structured,holdout,long,173,1,0.5,paper,Paper,1.0653847455978394,0.7357277274131775,7.324801445007324,0.05780346691608429,4.5072455406188965,10.907987594604492,6.400742053985596,224,0,"{""paper"": 224}"
