trial,target_cv,spatial_mode,budget_fraction,method,affine_matched_ratio,method_lookup_over_affine,cover_lookup_over_affine,relative_rescale_correction,lookup_matched_ratio,factorization_error
0,1.07,random,0.125,paper,1.1320098933540654,1.0028405113480583,1.191802896672879,0.8414482916157181,0.9525277908548696,0.0
0,1.07,random,0.125,dpr,1.0,1.1832189663708097,1.1832189663708097,1.0,1.0,0.0
0,1.07,random,0.125,top,13.60895492740679,0.8951028116394609,1.290699128182511,0.6935022981691277,9.437841517836684,1.7763568394002505e-15
0,1.07,random,0.25,paper,1.2198008430614546,0.9933317450996014,1.2731603400116427,0.780209462926341,0.9517001606420754,0.0
0,1.07,random,0.25,dpr,1.0,1.264693203281843,1.264693203281843,1.0,1.0,0.0
0,1.07,random,0.25,top,15.50330067836308,0.921705350163857,1.3358889382827386,0.6899565703034362,10.696604164426324,-1.7763568394002505e-15
0,1.07,random,0.375,paper,1.2456192944039592,0.9888252431218056,1.3288291967676558,0.7441326887812961,0.9269060347426792,1.1102230246251565e-16
0,1.07,random,0.375,dpr,1.0,1.2944032629009505,1.2944032629009505,1.0,1.0,0.0
0,1.07,random,0.375,top,15.403693192453206,0.9622461183933809,1.322410320797688,0.7276456507182633,11.208430356487094,-1.7763568394002505e-15
0,1.07,random,0.5,paper,1.2506413876326026,0.9962146589762207,1.3135434052915813,0.7584177690383062,0.94850865107529,1.1102230246251565e-16
0,1.07,random,0.5,dpr,1.0,1.3335631970935717,1.3335631970935717,1.0,1.0,0.0
0,1.07,random,0.5,top,14.4408532966488,1.0008113884755434,1.3426149590584715,0.7454195126630923,10.764493826827156,-1.7763568394002505e-15
0,1.07,random,0.625,paper,1.245177578576703,1.0193599719427051,1.3216600781185555,0.7712724238397299,0.9603711291397392,-2.220446049250313e-16
0,1.07,random,0.625,dpr,1.0,1.3191956029958063,1.3191956029958063,1.0,1.0,0.0
0,1.07,random,0.625,top,12.418852714215411,1.042927755465469,1.3298595460625215,0.7842390262591213,9.73934895985174,0.0
0,1.07,random,0.75,paper,1.275370180996164,1.0255689593370287,1.3426308883130904,0.763850264629004,0.9741918502538603,-1.1102230246251565e-16
0,1.07,random,0.75,dpr,1.0,1.3416812466741148,1.3416812466741148,1.0,1.0,0.0
0,1.07,random,0.75,top,9.64799594293666,1.0819110282791484,1.3448750811461392,0.8044695328558801,7.761518789209682,8.881784197001252e-16
0,1.07,random,0.875,paper,1.270610102386341,1.0488091647369444,1.3444788570795767,0.7800860230819292,0.9911851816582836,0.0
0,1.07,random,0.875,dpr,1.0004515965646137,1.330114028376475,1.344159424223756,0.9895507961375994,0.989997673877646,1.1102230246251565e-16
