error_ceiling,method,method_label,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selector_total_ms,io_median_ms,upload_median_ms,selected_fraction,chunks,row_match_rate
0.5,paper,Paper |x|,0.7535148743982137,0.722828398095846,0.030686476302367618,0.29980974577552916,0.3573280084225539,0.01593176492780071,0.049758878969962145,0.3304962220778968,0.10700545528356101,0.20946810799395937,0.3611491956970311,11.743365838112462,0.5238095238095238
0.5,cell1_abs,Cell-1 |x|,0.60583610281626,0.5751496265138923,0.030686476302367618,0.09970119787456216,0.4035140809388274,0.01526109242723881,0.056673255273263876,0.13038767417692984,0.11451823953115677,0.24789649929597227,0.439632305109663,6.597931297715039,1.0
0.5,cell1_x2,Cell-1 X²,0.5941006140231524,0.5606485928482706,0.03345202117488179,0.10051590445276538,0.38849703397370267,0.015505797065873713,0.056129857355928764,0.13396792562764717,0.1094377939671484,0.23846305755649813,0.4237825552137945,6.659694718049439,1.0
0.5,wcell1,WCell-1 X²·W²,0.5997625941211095,0.5631073559962079,0.03665523812490161,0.09888315619581452,0.3922085686410064,0.01565814035654118,0.05635749080284574,0.13553839432071615,0.1115362990147533,0.23945586680230982,0.42536039738240794,6.65478569152392,1.0
0.45,paper,Paper |x|,0.8176720123162496,0.7869855360138819,0.030686476302367618,0.3044377111553096,0.41278770082137206,0.01554254905880664,0.054217574978393496,0.33512418745767725,0.12139037723362214,0.2493020142431128,0.438470126416776,13.678719694285164,0.6410568930025767
0.45,cell1_abs,Cell-1 |x|,0.6533826532407138,0.6226961769383461,0.030686476302367618,0.10124911490795245,0.4508177161152875,0.015928652613480313,0.05470069330162574,0.13193559121032009,0.12738876136595578,0.28098629285725674,0.5047307279129676,6.888388376816295,1.0
0.45,cell1_x2,Cell-1 X²,0.6390482696747475,0.6055962484998656,0.03345202117488179,0.10093219258339094,0.43455288992579855,0.015704968828691032,0.05440619716198504,0.13438421375827275,0.12157067977603662,0.2715217969737924,0.49012060232127735,6.7748364288882446,1.0
0.45,wcell1,WCell-1 X²·W²,0.6492270475106102,0.6125718093857085,0.03665523812490161,0.09992373912103528,0.4427179560073348,0.015659783064500436,0.05427033119283786,0.1365789772459369,0.12663024872314635,0.27285855254226904,0.4910864033353611,6.886684741798423,1.0
0.42,paper,Paper |x|,0.8581069270643079,0.8274204507619403,0.030686476302367618,0.30736740043824134,0.44838788247822847,0.01664122258253079,0.055023945262939515,0.338053876740609,0.13000764113247334,0.2756986700307661,0.48950465794213377,14.931392772549938,0.8957392334820956
0.42,cell1_abs,Cell-1 |x|,0.6935540001434393,0.6628675238410715,0.030686476302367618,0.10049277436958713,0.4829535903437959,0.015700573302825798,0.06372058582486251,0.1311792506719548,0.13552493644330021,0.3053950708203323,0.5485611344640917,6.883751109987773,1.0
