method,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,order
paper,0.030686476302367618,0.327703878310499,0.5624587769190552,0.01642930738895869,0.06852938118860308,0
cell1_abs,0.030686476302367618,0.10204585447566875,0.5835598888996691,0.01625755355548528,0.07605263300255223,1
cell1_x2,0.03345202117488179,0.10187233011189206,0.5743187182767859,0.016312482820239633,0.07544270190251261,2
wcell1,0.03665523812490161,0.10063508472234735,0.5777720344850387,0.01622351770860381,0.07518486403554477,3
