trace_id,input_index,prompt_sha256,num_tokens,module,projection,module_call_index,activation_cv,shape,shape_index,n,d,row_size_kib,budget_index,row_budget_fraction,nominal_row_budget,effective_row_budget,paper_underfill_rows,track,method,method_label,importance,rows,chunks,two_line_ms,lookup_ms,actual_io_median_ms,actual_io_p95_ms,actual_upload_median_ms,actual_upload_p95_ms,actual_read_wall_median_ms,actual_read_wall_p95_ms,actual_direct_rate,lookup_efficiency,two_line_efficiency,row_match,valid,runtime_median_ms,runtime_p95_ms,deadline_met,valid_and_deadline_met,deterministic,scalarized_calls,outer_iterations,mu_exact_hits,frontier_candidates,eligible_candidates,trim_work_deletions,minimum_overfill,repair_deletions,repair_additions,returned_top_r,fallback_used,error,paper_importance,paper_lookup_ms,paper_two_line_ms,paper_lookup_efficiency,paper_two_line_efficiency,paper_runtime_median_ms,importance_gain_pct,lookup_saving_pct,two_line_saving_pct,lookup_efficiency_gain_pct,two_line_efficiency_gain_pct,lookup_saving_abs_ms,selector_overhead_median_ms,mixed_net_saving_ms,mixed_net_win,actual_io_efficiency,paper_actual_read_wall_median_ms,paper_actual_selector_median_ms,paper_actual_io_efficiency,actual_total_median_ms,paper_actual_total_median_ms,actual_io_efficiency_gain_pct,actual_read_saving_ms,actual_read_saving_pct,actual_total_saving_ms,actual_total_win
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,cuda,paper,Paper,0.3190396104764659,224,3,0.0857852371454528,0.0826178676596459,0.247277,0.3689969999999996,0.0488365,0.0703419999999999,0.344635,0.4827123499999996,1.0,3.861629687548789,3.719050282923617,True,True,0.219015,0.2842105,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.3190396104764659,0.0826178676596459,0.0857852371454528,3.861629687548789,3.719050282923617,0.219015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.9257318916432338,0.344635,0.219015,0.9257318916432338,0.56365,0.56365,0.0,0.0,0.0,0.0,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,cuda,top_r,Top-R,0.5794227252481505,224,170,2.2288685693126644,1.6983610404102842,1.815881,1.9784685,0.0677069999999999,0.1084734999999999,1.948975,2.1939129,1.0,0.341165813075985,0.2599627152653654,True,True,0.0351505,0.0442037499999999,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.3190396104764659,0.0826178676596459,0.0857852371454528,3.861629687548789,3.719050282923617,0.219015,81.6146667126438,-1955.6824915971977,-2498.1959641068725,-91.16523745982118,-93.00997040940776,-1.6157431727506384,-0.1838645,-1.4318786727506385,False,0.2972961301443839,0.344635,0.219015,0.9257318916432338,1.9841255,0.56365,-67.88528808090817,-1.6043399999999999,-465.5185921337066,-1.4204755,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,cuda,tile8_floor,"8-cell tile, floor(s/8)",0.3018878379371017,224,2,0.0729524028210982,0.0705521088948974,0.280409,0.3475421999999999,0.050775,0.0733360999999999,0.3818034999999999,0.4706171999999999,1.0,4.278934289360912,4.138147974062262,True,True,0.0612895,0.1027885999999999,True,True,True,1,1,0,45,2,48,136,48,0,False,False,,0.3190396104764659,0.0826178676596459,0.0857852371454528,3.861629687548789,3.719050282923617,0.219015,-5.376063653584917,14.604296995965615,14.959257270101078,10.80643758146087,11.268943930738784,0.01206575876474851,-0.1577255,0.1697912587647485,True,0.7906890270442827,0.344635,0.219015,0.9257318916432338,0.4430929999999999,0.56365,-14.587686328839911,-0.03716849999999988,-10.784888360149104,0.12055700000000008,True
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,cuda,tile8_round,"8-cell tile, round(s/8)",0.3018878379371017,224,2,0.0729524028210982,0.0705521088948974,0.272109,0.34247225,0.0493425,0.0790750999999999,0.3678979999999999,0.439884,1.0,4.278934289360912,4.138147974062262,True,True,0.06678,0.1014062999999999,True,True,True,1,1,0,45,2,48,136,48,0,False,False,,0.3190396104764659,0.0826178676596459,0.0857852371454528,3.861629687548789,3.719050282923617,0.219015,-5.376063653584917,14.604296995965615,14.959257270101078,10.80643758146087,11.268943930738784,0.01206575876474851,-0.15223499999999998,0.16430075876474848,True,0.8205748276345667,0.344635,0.219015,0.9257318916432338,0.4346779999999999,0.56365,-11.359343343136485,-0.023262999999999867,-6.7500398972826,0.1289720000000001,True
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,cuda,tile8_ceil,"8-cell tile, ceil(s/8)",0.3018878379371017,224,2,0.0729524028210982,0.0705521088948974,0.2818724999999999,0.3368051999999999,0.047333,0.0697067,0.380677,0.4359967499999999,1.0,4.278934289360912,4.138147974062262,True,True,0.0479245,0.0614477499999999,True,True,True,1,1,0,42,2,64,144,64,0,False,False,,0.3190396104764659,0.0826178676596459,0.0857852371454528,3.861629687548789,3.719050282923617,0.219015,-5.376063653584917,14.604296995965615,14.959257270101078,10.80643758146087,11.268943930738784,0.01206575876474851,-0.17109049999999998,0.1831562587647485,True,0.7930288353042125,0.344635,0.219015,0.9257318916432338,0.42860149999999997,0.56365,-14.334934070756145,-0.03604199999999996,-10.458020804619373,0.13504850000000002,True
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,1,0.5,448,448,0,cuda,paper,Paper,0.5752275267441291,448,4,0.1459048056421965,0.1415852886282285,0.2900125,0.3203946,0.0810615,0.0935806499999999,0.427624,0.46619075,1.0,4.062763386770701,3.9424851307143656,True,True,0.218469,0.29565245,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.5752275267441291,0.1415852886282285,0.1459048056421965,4.062763386770701,3.9424851307143656,0.218469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.345171287729709,0.427624,0.218469,1.345171287729709,0.646093,0.646093,0.0,0.0,0.0,0.0,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,1,0.5,448,448,0,cuda,top_r,Top-R,0.7699841074645519,448,210,2.789468676459236,2.2286524107185923,2.319002,2.50346725,0.0980685,0.12610805,2.496494,2.7019087,1.0,0.3454931346679957,0.2760325340673543,True,True,0.0421934999999999,0.05241255,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.5752275267441291,0.1415852886282285,0.1459048056421965,4.062763386770701,3.9424851307143656,0.218469,33.857312396500426,-1474.0706060009795,-1811.8415354322683,-91.49610494686938,-92.99851426408962,-2.087067122090364,-0.17627550000000008,-1.9107916220903638,False,0.30842617986045706,0.427624,0.218469,1.345171287729709,2.5386875,0.646093,-77.07160547702455,-2.0688700000000004,-483.8058668362861,-1.8925945,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,1,0.5,448,448,0,cuda,tile8_floor,"8-cell tile, floor(s/8)",0.5555528567929287,448,3,0.1364940604710031,0.1287863367190512,0.3421905,0.3957867499999999,0.078447,0.0963309999999999,0.4562385,0.5649314999999999,1.0,4.313756186767491,4.07016140391655,True,True,0.056195,0.0654401499999999,True,True,True,1,1,0,45,3,0,136,0,40,False,False,,0.5752275267441291,0.1415852886282285,0.1459048056421965,4.062763386770701,3.9424851307143656,0.218469,-3.4203283112270277,9.03974701975182,6.449921323545327,6.177883772756254,3.238471902088058,0.012798951909177292,-0.162274,0.1750729519091773,True,1.2176807893085058,0.427624,0.218469,1.345171287729709,0.5124335,0.646093,-9.477640474795834,-0.028614499999999987,-6.691509363365955,0.13365950000000004,True
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,1,0.5,448,448,0,cuda,tile8_round,"8-cell tile, round(s/8)",0.5555528567929287,448,3,0.1364940604710031,0.1287863367190512,0.3595575,0.3893821999999999,0.083346,0.1015533499999999,0.4862195,0.5391338999999999,1.0,4.313756186767491,4.07016140391655,True,True,0.0539555,0.0801795999999999,True,True,True,1,1,0,45,3,0,136,0,40,False,False,,0.5752275267441291,0.1415852886282285,0.1459048056421965,4.062763386770701,3.9424851307143656,0.218469,-3.4203283112270277,9.03974701975182,6.449921323545327,6.177883772756254,3.238471902088058,0.012798951909177292,-0.16451349999999998,0.17731245190917727,True,1.1425968246706038,0.427624,0.218469,1.345171287729709,0.5401750000000001,0.646093,-15.059380534429712,-0.05859550000000002,-13.702575159485919,0.10591799999999996,True
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,1,0.5,448,448,0,cuda,tile8_ceil,"8-cell tile, ceil(s/8)",0.5531305056356359,448,3,0.1364940604710031,0.1287863367190512,0.346283,0.38132665,0.0811465,0.1070715,0.474202,0.5446054499999999,1.0,4.294947117272975,4.052414469369113,True,True,0.0490365,0.0626467999999999,True,True,True,1,1,0,42,3,0,144,0,16,False,False,,0.5752275267441291,0.1415852886282285,0.1459048056421965,4.062763386770701,3.9424851307143656,0.218469,-3.8414401399678333,9.03974701975182,6.449921323545327,5.714921308445331,2.7883260179811575,0.012798951909177292,-0.16943249999999999,0.18223145190917728,True,1.1664449024585217,0.427624,0.218469,1.345171287729709,0.5232385,0.646093,-13.286515026114621,-0.04657800000000001,-10.892279198548248,0.12285449999999998,True
