track,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean,frontier_candidates_mean,eligible_candidates_mean,trim_work_deletions_mean,minimum_overfill_median,actual_cases,actual_direct_rate,actual_io_median_ms,actual_upload_median_ms,actual_read_wall_ms_mean,actual_read_wall_ms_median,actual_read_wall_case_p95_ms,actual_io_efficiency_gain_pct_mean,actual_read_saving_pct_mean,actual_total_ms_mean,actual_total_ms_median,actual_total_ms_p95,actual_total_saving_ms_mean,actual_total_win_rate
cuda,paper,Paper,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2542905,0.43043772249999973,0.6954675999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,384,1.0,0.5456052499999999,0.16698975,0.91065738671875,0.76826675,2.237755967499999,0.0,0.0,1.1518014440104165,1.0171495,2.3174304499999994,0.0,0.0
cuda,tile8_ceil,Experiment 29 ceil(s/8),384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.052298,0.1746707824999998,0.2360102499999999,4.440613919668245,4.83546916575045,0.7526041666666666,2.2005750356027414,0.6901041666666666,-1.6379431470375787,0.19270833333333334,5.631842181857052,6.241565867208198,0.9947916666666666,0.19270833333333334,0.025859028297471904,-0.16742800000000002,1.0,1.0,16.197916666666668,13.822916666666666,0.0,0.5,130.5,7.270833333333333,16.197916666666668,144.0,384,1.0,0.58904875,0.16955975,0.9356309934895833,0.7975415,2.312087745,-2.982887324535317,-2.231086482826784,1.0015490963541664,0.86427925,2.2273756499999995,0.15025234765624998,0.9453125
cuda,wave_k1,Wave K=1,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08341625,0.17626352749999985,0.3402203499999998,1.4694128914112257,1.002522830203667,0.7317708333333334,-0.7807766744533927,0.4557291666666667,-4.6755172902006885,0.2630208333333333,5.922117893887196,6.30820766111877,1.0,0.2630208333333333,0.02613512760831657,-0.15306850000000002,1.0,1.0,0.0,0.0,0.0,0.5,1056.0,1.0,0.0,0.0,384,1.0,0.6318137500000001,0.16370600000000002,1.0538294518229165,0.8389865,2.6269606049999994,-14.176286076742072,-13.146053957372372,1.1435396028645834,0.9327945,2.50884025,0.008261841145833317,0.6015625
cuda,wave_k6,Wave K=6,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1092515,0.25372912999999986,0.3942328999999999,-18.635505843739924,0.33385593795579593,0.5078125,-20.3428084946263,0.3880208333333333,2.525922834980641,0.4479166666666667,-62.01889154981484,0.28125208787236344,0.5130208333333334,0.0026041666666666665,0.0011652373544953091,-0.12480824999999997,0.9166666666666666,1.0,0.0,0.0,0.0,0.5,1056.0,6.0,0.0,0.0,384,1.0,0.5185169999999999,0.16725525,0.9890778033854167,0.738699,2.4681534375,-8.7716904857775,-14.995131411974178,1.1080170950520833,0.85839025,2.41173115,0.04378434895833332,0.6171875
cuda,wave_k12,Wave K=12,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.15632200000000002,0.5365732475,0.7052941499999998,-30.070828116165245,-20.339101730241545,0.3333333333333333,-30.376641185598853,0.3359375,6.331443313898063,0.6432291666666666,-141.24930222519336,-11.283776629757813,0.3359375,0.005208333333333333,-0.04674908594720559,-0.06962799999999998,0.4427083333333333,1.0,0.0,0.0,0.0,0.5,1056.0,12.0,0.0,0.0,384,1.0,0.6144745,0.17155049999999994,0.9910528020833332,0.84391325,2.2331390425,-12.480988126469882,-26.637164617336072,1.18141964453125,1.020546,2.1732210999999997,-0.029618200520833346,0.3671875
cuda,wave_k18,Wave K=18,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.28165175,1.2205599424999998,1.8175974,-36.57861310364745,-30.015384310412692,0.328125,-36.979078905424785,0.3333333333333333,8.603474197371265,0.8463541666666666,-233.34485978110047,-23.51875387819873,0.3333333333333333,0.19270833333333334,-0.09743902972374636,0.04980574999999994,0.08072916666666667,1.0,0.0,0.0,0.0,0.5,1056.0,18.0,0.0,0.0,384,1.0,0.647794,0.16178275,1.006651890625,0.8953647499999999,2.2311583175,-14.209272736116157,-36.26971029782636,1.4242013059895833,1.19104475,2.676994975,-0.2723998619791667,0.07291666666666667
cuda,wave_k24,Wave K=24,384,384,1.0,1.0,0.9401041666666666,0.9401041666666666,1.0,0.0,0.0,0.33800975,2.064616752499999,2.69951815,-43.66600696705941,-43.36668251501575,0.16666666666666666,-42.90184399354391,0.16927083333333334,10.076162212108494,0.96875,-299.3730440040389,-39.83233276926861,0.16666666666666666,0.15885416666666666,-0.16502676446088052,0.11130250000000001,0.16666666666666666,1.0,0.0,0.0,0.0,0.5,1056.0,24.0,0.0,0.0,384,1.0,0.7254390000000001,0.16483325,1.04611996875,0.97012675,2.1377953225,-17.96200244378251,-48.321925109358155,1.5183055820312499,1.3818872500000001,3.19446305,-0.36650413802083337,0.15625
