track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean,frontier_candidates_mean,eligible_candidates_mean,trim_work_deletions_mean,minimum_overfill_median,actual_cases,actual_direct_rate,actual_io_median_ms,actual_upload_median_ms,actual_read_wall_ms_mean,actual_read_wall_ms_median,actual_read_wall_case_p95_ms,actual_io_efficiency_gain_pct_mean,actual_read_saving_pct_mean,actual_total_ms_mean,actual_total_ms_median,actual_total_ms_p95,actual_total_saving_ms_mean,actual_total_win_rate
cuda,896x896,896,896,1.75,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.221534,0.34947339999999977,0.3806262499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,1.0,0.3298095,0.08217125,0.47994800520833336,0.45858,0.7462670124999999,0.0,0.0,0.7074320104166666,0.687969,0.879949375,0.0,0.0
cuda,896x896,896,896,1.75,tile8_ceil,Experiment 29 ceil(s/8),96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.052751,0.1108055249999999,0.1353302499999999,7.317027708765424,6.318973738128742,0.96875,5.0927212614996415,0.8333333333333334,-2.8585961421601453,0.2708333333333333,9.222143288380078,8.191118650239426,0.9791666666666666,0.2708333333333333,0.011575165697023784,-0.170431,1.0,1.0,21.666666666666668,34.666666666666664,0.0,0.0,42.0,2.3020833333333335,21.666666666666668,144.0,96,1.0,0.36069975,0.08248425000000001,0.50429984375,0.473646,0.8021014125,-7.254595127635042,-5.781784810595544,0.5586977291666666,0.5283605,0.7253265,0.14873428125,1.0
cuda,896x896,896,896,1.75,wave_k1,Wave K=1,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08143500000000001,0.16343148749999992,0.1995362499999999,5.315964642511477,4.197292542258991,0.78125,2.7048121108540673,0.59375,-5.951484860991404,0.052083333333333336,10.345349185558971,8.864875699647845,1.0,0.052083333333333336,0.01252727612533657,-0.14022924999999997,1.0,1.0,0.0,0.0,0.0,0.0,448.0,1.0,0.0,0.0,96,1.0,0.44458375,0.08249200000000001,0.584424984375,0.5939785,0.9846080999999999,-21.704589811660526,-22.107997284539852,0.6690308749999999,0.6809482499999999,0.8961663750000001,0.038401135416666676,0.6770833333333334
cuda,896x896,896,896,1.75,wave_k6,Wave K=6,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.10122175,0.1994578749999999,0.2449181499999998,-17.099836707215452,-16.921751335930992,0.052083333333333336,-15.60180125699811,0.052083333333333336,3.148812835285069,0.7916666666666666,-27.705948390001584,-19.484609332001245,0.052083333333333336,0.010416666666666666,-0.02753440539566569,-0.12406674999999995,1.0,1.0,0.0,0.0,0.0,0.0,448.0,6.0,0.0,0.0,96,1.0,0.3297315,0.087168,0.48676526562499994,0.47048524999999997,0.69108145,1.278914123267149,-2.5817796337859793,0.5874472291666666,0.5735805,0.725261125,0.11998478125,0.9895833333333334
cuda,896x896,896,896,1.75,wave_k12,Wave K=12,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.13405549999999994,0.2751798624999999,0.3947187999999988,-43.48122089402299,-38.47619793321269,0.0,-39.866910434107105,0.0,7.1616409002002515,0.9166666666666666,-97.8408275108394,-81.39431025345012,0.0,0.0,-0.11502124046892033,-0.087166,0.34375,1.0,0.0,0.0,0.0,0.0,448.0,12.0,0.0,0.0,96,1.0,0.4434245,0.08845025000000001,0.595050734375,0.59097775,0.8988202249999999,-13.851416925170062,-25.345559167620237,0.7279505416666666,0.7468087499999999,0.857121875,-0.02051853124999999,0.3229166666666667
cuda,896x896,896,896,1.75,wave_k18,Wave K=18,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21572825,0.4332934249999999,0.4788159999999999,-53.8633982958834,-52.70635342564613,0.0,-53.143781095112026,0.0,9.469790800217169,0.9479166666666666,-153.1073437995261,-126.20321634018853,0.0,0.0,-0.17834232453613916,-0.013637999999999997,0.0,1.0,0.0,0.0,0.0,0.0,448.0,18.0,0.0,0.0,96,1.0,0.500724,0.088806,0.6621354375,0.6520144999999999,0.9846913624999999,-20.84706584822884,-39.597842561644114,0.8723714166666666,0.86748775,1.0963918750000001,-0.16493940624999998,0.0
cuda,896x896,896,896,1.75,wave_k24,Wave K=24,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25228425,0.5654921124999995,0.7508465,-62.57209667439205,-62.13755973157946,0.0,-61.64898894335868,0.0,10.884336944744641,0.9166666666666666,-213.30210600649147,-181.32624073414453,0.0,0.0,-0.2562386618163316,0.026344749999999945,0.0,1.0,0.0,0.0,0.0,0.0,448.0,24.0,0.0,0.0,96,1.0,0.54350375,0.08932725,0.7086214322916667,0.70834225,1.0556372625000001,-25.08469780167769,-49.54785341487112,0.9603953697916667,0.9514845,1.054123375,-0.25296335937500003,0.020833333333333332
cuda,896x128,896,128,0.25,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1668444999999999,0.2899753249999999,0.3784956499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,1.0,0.1340027499999999,0.02298799999999995,0.20822665104166668,0.20190475,0.3395733999999999,0.0,0.0,0.3780283229166666,0.3729055,0.43780975,0.0,0.0
cuda,896x128,896,128,0.25,tile8_ceil,Experiment 29 ceil(s/8),96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.04501175,0.0923112874999999,0.1427223499999999,-1.195170172348625,-0.8750784888902796,0.041666666666666664,-1.1951701723486288,0.041666666666666664,-1.1951701723486263,0.16666666666666666,0.0,0.0,1.0,0.16666666666666666,0.0,-0.1199194999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,960.0,96,1.0,0.13357224999999995,0.0227375,0.20444869791666664,0.19665549999999998,0.29504051249999996,1.0885452481126208,1.121305415302025,0.25170061979166664,0.243701,0.303212125,0.126327703125,1.0
cuda,896x128,896,128,0.25,wave_k1,Wave K=1,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0814525,0.15957216249999992,0.1690993999999999,0.7567164505605936,0.6094206155410786,0.96875,0.7567164505605941,0.96875,0.7567164505605923,1.0,0.0,0.0,1.0,1.0,0.0,-0.08390449999999999,1.0,1.0,0.0,0.0,0.0,0.0,448.0,1.0,0.0,0.0,96,1.0,0.1333245,0.02187349999999995,0.20698527604166664,0.19756200000000002,0.31074719999999995,1.8385897270549585,0.06221557608557512,0.2906949114583333,0.28062974999999996,0.3390356249999999,0.08733341145833333,0.9895833333333334
