method,method_label,budget_index,budget_fraction,cases,actual_total_ms,selector_median_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,row_match_rate,chunks,fallback_rate
c1_l1,Cell-1,14,0.8,189,0.9058325265817248,0.10369755026455024,0.7031857275132276,0.20178076719576718,0.44516671693121695,0.015684402133855514,0.08326484667009143,0.25184029790636875,0.039542024097745335,0.8334334539988685,0.8000093959533574,1.0,4.73015873015873,0.0
c1_l1,Cell-1,15,0.85,189,0.9642163251570668,0.10555473280423279,0.743418925925926,0.21428739947089948,0.47225712169312173,0.01585980951687484,0.09938285691003317,0.21334322132465855,0.028911764974947282,0.8765047328181998,0.8501498457487062,1.0,3.994708994708995,0.0
c1_l1,Cell-1,16,0.9,189,1.004125852118531,0.1035382222222222,0.7804611534391535,0.2230091005291005,0.5014901216931217,0.015888761862048035,0.10423771459510711,0.17147787486291707,0.018999021520059528,0.9185182064298599,0.8998501542512938,1.0,3.248677248677249,0.0
c1_l1,Cell-1,17,0.95,189,1.0335012038393616,0.1020347566137566,0.8203148703703704,0.23664558730158727,0.5251999417989418,0.01604419049348619,0.09510738636174841,0.12290570942349925,0.01025216573129881,0.9587106537566614,0.9499906040466426,1.0,2.0793650793650795,0.0
paper,Paper,0,0.1,189,0.55255331749938,0.31248223809523806,0.20099366137566135,0.08860238095238093,0.06908126719576718,0.014198857147699903,0.024878560880780484,0.7183071054005749,0.3366793113410788,0.16132307099917575,0.09651415851926895,0.5714285714285714,4.529100529100529,0.0
paper,Paper,1,0.15,189,0.5925423649963175,0.31036698677248675,0.23763273280423278,0.09804106349206347,0.0958819947089947,0.014414222201421105,0.030128423218176745,0.6665883669876075,0.2801467274862622,0.22064042414622329,0.14876618672289488,0.5238095238095238,5.867724867724868,0.0
paper,Paper,2,0.2,189,0.6301087302093228,0.30929142328042325,0.27176791005291007,0.10428859788359786,0.12276453968253966,0.014537989413217855,0.03451140746277156,0.6280965101190661,0.24810947911449208,0.2748080776639716,0.19717734881033752,0.6666666666666666,7.306878306878307,0.0
paper,Paper,3,0.25,189,0.670802862324784,0.3096002248677248,0.3107945105820106,0.11042303174603173,0.15254757142857142,0.014835132271169628,0.035572994603878874,0.5815292873947078,0.21054106099264958,0.3322546425319853,0.2499608395989975,0.9523809523809523,8.613756613756614,0.0
paper,Paper,4,0.3,189,0.7123280581969795,0.3149799259259259,0.339475708994709,0.11544537037037036,0.17703215079365076,0.014806010607610262,0.04306641266873427,0.548415205781422,0.18644053311575023,0.38300107175080234,0.2982324927578687,0.6666666666666666,10.037037037037036,0.0
paper,Paper,5,0.35,189,0.7530320950701164,0.3208160211640212,0.36952587301587303,0.11955860052910051,0.20249629100529098,0.01488728047146522,0.04780292041875693,0.510802703411885,0.1624531853135931,0.43368031833537674,0.34647499811826643,0.5238095238095238,11.354497354497354,0.0
paper,Paper,6,0.4,189,0.8026574868542655,0.3183510925925926,0.4182875158730159,0.13522591534391534,0.23278217460317457,0.015052190454548586,0.050966687934108454,0.47238317254201445,0.1394320899847323,0.4870171923801382,0.3987857669233961,0.5238095238095238,12.74074074074074,0.0
paper,Paper,7,0.45,189,0.8371050661396943,0.319806873015873,0.44820680687830683,0.13847952116402115,0.2584711693121693,0.01501629630685164,0.05407508993866261,0.4451630905112892,0.12305137057783738,0.5327523390136698,0.44713818840933506,0.6666666666666666,13.873015873015873,0.0
paper,Paper,8,0.5,189,0.8736515976754584,0.3273879312169312,0.4779971693121693,0.14078966137566137,0.2861447328042328,0.015043724890029577,0.05322277225632826,0.4138078459947513,0.10745297064856874,0.581167476833182,0.49998041979949875,0.9523809523809523,15.19047619047619,0.0
paper,Paper,9,0.55,189,0.9263342063695097,0.3322130634920635,0.51843691005291,0.15223498677248676,0.3134106772486772,0.01486696295006561,0.06081726987447052,0.3798140349191806,0.09171561557779863,0.6269513302379184,0.5481933323568662,0.6666666666666666,16.523809523809526,0.0
paper,Paper,10,0.6,189,0.9671344470753496,0.3332939656084656,0.5519567142857142,0.15864094179894178,0.34055681746031746,0.015229460339815799,0.06665430684135384,0.3540717818128763,0.08016890791988873,0.6691939341958868,0.5964945783187677,0.5238095238095238,17.33862433862434,0.0
paper,Paper,11,0.65,189,1.0254174524006903,0.340214544973545,0.5983924947089947,0.17686583333333333,0.3657859973544974,0.015566560843831293,0.07124385187431928,0.32310674008888696,0.06666940955257916,0.7155648223937504,0.6488053471238974,0.5714285714285714,18.232804232804234,0.0
paper,Paper,12,0.7,189,1.0655951407363695,0.34159523809523806,0.6357887698412698,0.18925817460317457,0.39016979894179893,0.015860825446902403,0.07235030735295912,0.2939420915873987,0.05547855045429609,0.757969564546353,0.6971577686098364,0.6666666666666666,19.21693121693122,0.0
paper,Paper,13,0.75,189,1.121819779851683,0.3529166904761905,0.6846618201058201,0.20672947883597884,0.42008480423280425,0.01581782009452577,0.06842344917514648,0.25661335332151597,0.043054050869411845,0.8027556585887122,0.75,1.0,19.645502645502646,0.0
paper,Paper,14,0.8,189,1.182607436364798,0.3646355476190476,0.7223196560846561,0.21719750793650794,0.44625060846560843,0.016011513232514613,0.0796407194285796,0.2238820696473811,0.03314786865597675,0.8438678071612403,0.7982129125573674,0.6666666666666666,19.582010582010582,0.0
paper,Paper,15,0.85,189,1.2349053385871094,0.3659645026455026,0.7620371322751323,0.2307411931216931,0.4729480846560846,0.015865904757033533,0.09103779890944083,0.1927976546754873,0.025194071903430554,0.881920819560056,0.8465141585192689,0.5714285714285714,18.52910052910053,0.0
paper,Paper,16,0.9,189,1.298270484364058,0.3806190291005291,0.8060329153439154,0.24508775396825397,0.5000585396825397,0.015920423276761807,0.09569811664285165,0.1504729148838176,0.015254045605028702,0.9246951023106853,0.898766186722895,0.5238095238095238,17.158730158730158,0.0
paper,Paper,17,0.95,189,1.3326797617533535,0.3861402222222222,0.8402241957671958,0.25343201058201054,0.5268598597883598,0.01599390478558322,0.09032143897835221,0.10231865124645141,0.007264797334317764,0.9621348081442415,0.9471773488103374,0.6666666666666666,14.592592592592593,0.0
paper_s,Paper-s,0,0.1,189,0.34858673289181474,0.18159078835978837,0.1330698492063492,0.04627342592592592,0.05452727248677247,0.010536804268008463,0.023389291057668612,0.8346281050945874,0.5833465721872118,0.07189076129721585,0.04877350386925104,0.14285714285714285,2.2857142857142856,0.0
paper_s,Paper-s,1,0.15,189,0.4024694603274171,0.17917170370370367,0.183243746031746,0.06458065079365079,0.08278892857142855,0.011441269874690975,0.028612740717276333,0.7751694489664659,0.47963905429083203,0.1253849290035389,0.08905319728569258,0.14285714285714285,3.6084656084656084,0.0
paper_s,Paper-s,2,0.2,189,0.4473092462837692,0.1797058015873016,0.22337013227513228,0.07680596825396824,0.10799872486772485,0.012215872989996992,0.032017439431338356,0.7357491441760902,0.4248678643236715,0.17128166106958234,0.12626482161844002,0.14285714285714285,4.7936507936507935,0.0
paper_s,Paper-s,3,0.25,189,0.5009330925764006,0.18108360317460317,0.27227463227513227,0.09055332275132275,0.13994909259259258,0.012864338633205167,0.034710518493459915,0.6822577609764363,0.3356590122772903,0.22862800041203774,0.17583956254950145,0.14285714285714285,6.121693121693122,0.0
paper_s,Paper-s,4,0.3,189,0.5429534261030939,0.18202514550264548,0.30751672486772486,0.09729870370370369,0.16735912698412697,0.013096973566072286,0.04031458216665121,0.6407884704786792,0.3041072888349099,0.2740487401920651,0.216119255965943,0.14285714285714285,7.412698412698413,0.0
paper_s,Paper-s,5,0.35,189,0.5748208251959993,0.181304417989418,0.3391326613756614,0.10244091798941797,0.19320980423280423,0.013187047621363327,0.041196698209556584,0.6125503404647428,0.2851229060894597,0.3179972611722492,0.2560944857408673,0.14285714285714285,8.65079365079365,0.0
paper_s,Paper-s,6,0.4,189,0.6282621829491917,0.1837369153439153,0.3822361666666666,0.1152341349206349,0.22118076455026456,0.014043936486203158,0.04824516445240642,0.5502224327927386,0.1960852265988708,0.3994393280889622,0.3327288772865606,0.3333333333333333,9.952380952380953,0.0
paper_s,Paper-s,7,0.45,189,0.6555885713299876,0.18285830158730157,0.40685479894179893,0.11584388359788358,0.2460523518518518,0.014068317441910306,0.05180715335897663,0.5322168903553455,0.18618736002180308,0.42525261877075077,0.358959124170003,0.14285714285714285,11.042328042328043,0.0
paper_s,Paper-s,8,0.5,189,0.6972212166920746,0.1822784312169312,0.4450320978835978,0.12485936243386242,0.2728298465608465,0.01444368255102914,0.05546700504051624,0.48461025268351904,0.15914669459459008,0.49297892542743177,0.4240459610877844,0.14285714285714285,12.380952380952381,0.0
paper_s,Paper-s,9,0.55,189,0.7426625714474417,0.18409455820105816,0.48505317724867725,0.13557333597883597,0.30096607407407405,0.014367661335402022,0.05914717466230426,0.46193251347849296,0.1489240312702441,0.5262022557712737,0.459794935966811,0.14285714285714285,13.486772486772487,0.0
paper_s,Paper-s,10,0.6,189,0.7800515847247353,0.18212754497354497,0.5180141137566138,0.1409736746031746,0.3278575026455026,0.014411174578877944,0.06549875141569857,0.44423397571321516,0.14116700742610544,0.5514842306495343,0.48737621668483977,0.14285714285714285,14.582010582010582,0.0
paper_s,Paper-s,11,0.65,189,0.8169775238080554,0.18465763756613754,0.5542182142857143,0.15078352645502643,0.3537383015873016,0.014653290991508727,0.06344838096469478,0.42113820698959803,0.13211849789140082,0.5889283317737478,0.5292978963914114,0.14285714285714285,15.603174603174603,0.0
paper_s,Paper-s,12,0.7,189,0.8645553972010344,0.1874137724867725,0.594239783068783,0.16450474338624338,0.37910799206349205,0.014776380964254217,0.06812546068122458,0.39993116320677535,0.1240838734561173,0.6203166454557388,0.5656308359169027,0.12169312169312169,16.50793650793651,0.0
paper_s,Paper-s,13,0.75,189,0.9005843123663746,0.18642450793650792,0.6274587671957672,0.17536337566137564,0.4009506322751323,0.015009862424992963,0.07169117480910639,0.37518495607076496,0.11475043732022479,0.6526243349231741,0.6041343522722752,0.08465608465608465,17.084656084656086,0.0
paper_s,Paper-s,14,0.8,189,0.9204648309688006,0.18531920634920634,0.6468066613756613,0.18384899206349206,0.41141416402116404,0.014857989435315718,0.07348097380861714,0.3401131884111141,0.09972815570377165,0.6997899293268799,0.6590929330375602,0.164021164021164,17.343915343915345,0.0
paper_s,Paper-s,15,0.85,189,0.9264245610466174,0.18709778835978833,0.6505790899470899,0.18478964814814816,0.41382467460317457,0.014870010592319302,0.07387767214741967,0.3380561986908553,0.0993371971700557,0.7013566427760654,0.6618376420322692,0.005291005291005291,17.396825396825395,0.0
paper_s,Paper-s,16,0.9,189,0.9255513997483247,0.18613852645502643,0.650287455026455,0.18448868253968254,0.413846171957672,0.014875089956654397,0.07425032831018874,0.3373699697848192,0.09919841579659272,0.7019419547111269,0.6630777213973486,0.0,17.41269841269841,0.0
paper_s,Paper-s,17,0.95,189,0.9279395213978755,0.18721723015873015,0.6515618253968254,0.18435494444444442,0.4155029708994709,0.014846814830821928,0.07431365101149784,0.3335688099481914,0.09827284333567136,0.7045849895981885,0.6676901277024633,0.0,17.402116402116402,0.0
