method,method_label,budget_index,budget_fraction,cases,actual_total_ms,selector_median_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,row_match_rate,chunks,fallback_rate
c1_l1,Cell-1,0,0.1,189,0.31166346013539586,0.0954262857142857,0.17679404232804233,0.06984411904761903,0.06758117460317459,0.013994328041989617,0.025448804051078133,0.7822972870377637,0.3932216214755225,0.1389282820401368,0.10014984574870615,1.0,2.64021164021164,0.0
c1_l1,Cell-1,1,0.15,189,0.35593029098831125,0.0958605476190476,0.2145386534391534,0.07985412962962961,0.09392965873015871,0.014192592594082669,0.031338497336027435,0.7294601580453297,0.33071201440518494,0.19505181435554741,0.1498501542512938,1.0,3.6507936507936507,0.0
c1_l1,Cell-1,2,0.2,189,0.4059568122031373,0.10024121428571427,0.2555294391534391,0.08989477248677247,0.12269071164021161,0.014622306865122541,0.035563851898861264,0.6860420031167528,0.2893002686046418,0.24994290994588655,0.19999060404664257,1.0,4.396825396825397,0.0
c1_l1,Cell-1,3,0.25,189,0.4470443887037978,0.10004410846560845,0.2968894656084656,0.09984033068783067,0.15154147883597882,0.014774010600472844,0.03533680402925085,0.6392434468128221,0.24334770787960633,0.3064271489148417,0.25,1.0,5.216931216931217,0.0
c1_l1,Cell-1,4,0.3,189,0.4854664204213553,0.1006980529100529,0.3257353095238095,0.10435634391534392,0.17718915608465605,0.014632804215782176,0.0444002537717106,0.5996124459203904,0.21242456082944514,0.35837113983416685,0.3000093959533574,1.0,5.804232804232805,0.0
c1_l1,Cell-1,5,0.35,189,0.5335373833143469,0.10187591798941799,0.36622315873015876,0.11367020899470898,0.20415443386243384,0.014657523788551131,0.05078078280621889,0.5595351460650957,0.18358497455637288,0.4112371712449997,0.3501498457487061,1.0,6.1534391534391535,0.0
c1_l1,Cell-1,6,0.4,189,0.5762638309444366,0.1018505767195767,0.40493769841269844,0.12289033597883597,0.23297345767195765,0.014878814793610654,0.05459674101855069,0.5298076647989176,0.16393335849519755,0.45940666397412616,0.3998501542512938,1.0,6.476190476190476,0.0
c1_l1,Cell-1,7,0.45,189,0.6057590502841453,0.10203398677248676,0.4327844497354497,0.1285977275132275,0.25545362433862434,0.014486857113384023,0.05645375666282475,0.4922486434212674,0.14137471573693408,0.5087864539295277,0.4499906040466426,1.0,6.62962962962963,0.0
c1_l1,Cell-1,8,0.5,189,0.6379843938508885,0.10340966137566136,0.46723657407407404,0.1337561402116402,0.2836067619047619,0.01488304759065306,0.052455110810499916,0.45322658658697806,0.12136162841130813,0.5595130570351131,0.5,1.0,6.888888888888889,0.0
c1_l1,Cell-1,9,0.55,189,0.6953052566968128,0.10533376190476189,0.511787537037037,0.147846455026455,0.3118606455026455,0.014951957670587353,0.06323200008442631,0.41900873296061364,0.10420198257638029,0.6076105019402882,0.5500093959533574,1.0,6.883597883597884,0.0
c1_l1,Cell-1,10,0.6,189,0.7447967035127377,0.10439224603174602,0.5513489656084656,0.15614316402116402,0.34118795767195764,0.015757544986194045,0.0732979468863319,0.383287300897772,0.08799605047892006,0.6557422873204347,0.6001498457487062,1.0,6.64021164021164,0.0
c1_l1,Cell-1,11,0.65,189,0.7868925953902517,0.1047745529100529,0.5892724973544974,0.16905030687830686,0.36682358730158726,0.01531665612544328,0.07752888900025807,0.3516446131641272,0.0745456940913326,0.7012052674772878,0.6498501542512938,1.0,6.285714285714286,0.0
c1_l1,Cell-1,12,0.7,189,0.8286764845917763,0.10617965079365077,0.6319082195767196,0.18256441269841267,0.39346252645502644,0.015402328070233378,0.07518628615117258,0.31832677062117937,0.06133856912138596,0.7459776013616531,0.6999906040466426,1.0,5.925925925925926,0.0
c1_l1,Cell-1,13,0.75,189,0.8527928066362249,0.10596309788359787,0.6621536455026454,0.1891651931216931,0.4163794735449735,0.015846095220358243,0.06882996802962327,0.28270939870850825,0.049611070168712114,0.7901361685581308,0.75,1.0,5.523809523809524,0.0
