error_ceiling,method,method_label,actual_total_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,io_median_ms,upload_median_ms,selected_fraction,row_match_rate,chunks
0.5,paper,Paper,0.7669856332056685,0.32012293898197125,0.38323654448258454,0.014933649430080112,0.04869250031103254,0.12396389521576225,0.21101199670672066,0.3611836035555251,0.5238095238095238,11.74427765163311
0.5,paper_s,Paper-s,0.6837626755395588,0.1824658852971339,0.43269056290710556,0.014322338669938775,0.05428388866538049,0.12194493814329956,0.26417351421953283,0.4030054082829715,0.14285714285714285,11.948216709403123
0.5,c1_l1,Cell-1,0.5996718852280808,0.10199613496836399,0.4270374922497474,0.01456774856453928,0.05607050944543003,0.12741984733172113,0.2508142119846496,0.4396427171442149,1.0,6.597963160487985
0.45,paper,Paper,0.8309838566987847,0.3195481861340739,0.4428902577806355,0.015022674566233392,0.053522738217841766,0.1379013672537563,0.2539063284669756,0.43854613912662205,0.641281472417955,13.671814703785344
0.45,paper_s,Paper-s,0.7678705807641286,0.18276838017658187,0.5072757373471911,0.014396998355847183,0.06342946488450842,0.13921429289165893,0.3190965172858308,0.47839048370565607,0.14285714285714285,14.225191869600094
0.45,c1_l1,Cell-1,0.6433894881981904,0.10359109522674341,0.4714375254576084,0.01488954549499421,0.05347132201884429,0.1350847922447049,0.2862709734839689,0.5047156565682908,1.0,6.888389971367936
0.42,paper,Paper,0.8664342483893519,0.3258907947529197,0.47211405422546165,0.015038308188173083,0.0533910912227974,0.1403334460220656,0.2806796512952526,0.48954493317536163,0.8959569988790318,14.930299071550667
0.42,paper_s,Paper-s,0.8195310842477224,0.18480556256988007,0.5563662189670865,0.014659897375159513,0.06369940533559618,0.15151996031053402,0.35509992272222507,0.5312479280009116,0.14172124494211136,15.651734239042199
0.42,c1_l1,Cell-1,0.6936447118061604,0.10527802207210642,0.5104969271220984,0.014949961394267212,0.06291980121768825,0.1474382685632415,0.3110421504605233,0.5485606590919083,1.0,6.883751160282256
0.4,paper,Paper,0.895050591328511,0.32934783748372837,0.4944232684916489,0.014971926478273683,0.056307558874859914,0.14543860438731301,0.2972198064684766,0.5195638807439219,0.8363275082151017,15.732058929916827
0.4,paper_s,Paper-s,0.8644009622752445,0.1874048262379896,0.5941098754549232,0.014775981421579213,0.06811027916075246,0.16446020513836887,0.37902564356855956,0.565512901372561,0.12176181883750398,16.504999705014168
0.4,c1_l1,Cell-1,0.7216415383638891,0.10483274549039046,0.532839678225882,0.015380641328394968,0.06858847331922151,0.1522614495164547,0.32746682401470206,0.5766910367959788,1.0,6.754082804284236
0.35,paper,Paper,0.9747984341998895,0.3342039947130434,0.5580628376967397,0.01527378773693661,0.06725781405316968,0.16103744371722883,0.3438743558884127,0.6033732397117311,0.5300712422263769,17.456205495563026
0.35,paper_s,Paper-s,0.9148604672646677,0.18563079339690225,0.6413524457155141,0.014900802778770521,0.07297642537348088,0.18145687737462213,0.4084644704690378,0.6435999833096778,0.1416479664671025,17.270829565238746
0.35,c1_l1,Cell-1,0.7889551039137457,0.10484391041641826,0.5913770534924991,0.015320885006950736,0.07741325499787746,0.16971738117354385,0.36813852088270543,0.6523251537559104,1.0,6.267954652207256
0.3,paper,Paper,1.05724966878065,0.3413084486804197,0.6280210365969551,0.01579970254276782,0.07212048096050735,0.1866841107180375,0.385104939793595,0.6871142893999167,0.6468843724170534,19.012514176351882
0.3,paper_s,Paper-s,,,,,,,,,,
0.3,c1_l1,Cell-1,0.8410854378244506,0.10606822439420673,0.6474708777268882,0.01563066661215313,0.07191566909120253,0.18596081681926796,0.4052543462918446,0.7257227307961421,1.0,5.719018603210757
0.25,paper,Paper,1.134101921123944,0.3552844846507688,0.6922705829374637,0.015856955777996857,0.07068989775771478,0.20884454330185606,0.4253716029436625,0.7597414152336832,0.9326500259165208,19.632674079010556
0.25,paper_s,Paper-s,,,,,,,,,,
0.25,c1_l1,Cell-1,0.9086234809040876,0.10378633023027746,0.7051090182505971,0.0156927872339305,0.08403534518928255,0.20237862893580863,0.4464617351402022,0.8024062887300574,1.0,4.695001603213911
0.2,paper,Paper,1.2227877693198974,0.36565658007305174,0.7528344826772365,0.01589964264541068,0.08839706392419817,0.22760308362989823,0.46676220523739115,0.8353226256132646,0.593495502737197,18.773062714123668
0.2,paper_s,Paper-s,,,,,,,,,,
0.2,c1_l1,Cell-1,0.9769361924510324,0.104912035459691,0.7552249345187135,0.015869037137858866,0.10093018533476887,0.21706715880367924,0.4815741923004365,0.8659902071048426,1.0,3.756935572443879
0.15,paper,Paper,1.2986084120612054,0.38067325180494715,0.806368702129707,0.015921144926239594,0.09564531320031165,0.245169701502054,0.5003217509171554,0.8992416245629681,0.5252124996628266,17.133528555439348
0.15,paper_s,Paper-s,,,,,,,,,,
0.15,c1_l1,Cell-1,1.0171151871133048,0.10287341253323275,0.7980838626045174,0.015957490045482782,0.10020042193007193,0.22903894815519812,0.511974244536898,0.922021500670223,1.0,2.731625142373752
