method,method_label,budget_index,budget_fraction,dense_to_sparse_kl_mean,top1_agreement_mean,nll_delta_mean,selected_fraction_mean,fallback_calls,actual_total_ms
c1_l1,Cell-1,0,0.1,14.49552387661404,0.0,12.924932797749838,0.10014984574870617,0,0.31166346013539586
c1_l1,Cell-1,1,0.15,14.097130881415474,0.0014245014430747998,12.573583390977648,0.14985015425129372,0,0.35593029098831125
c1_l1,Cell-1,2,0.2,15.045779758029514,0.005952381011512544,13.76084762149387,0.19999060404664257,0,0.4059568122031373
c1_l1,Cell-1,3,0.25,12.880446328057182,0.005214545668827155,11.54836474524604,0.25,0,0.4470443887037978
c1_l1,Cell-1,4,0.3,13.133052931891548,0.005494505580928578,11.938399420844185,0.30000939595335735,0,0.4854664204213553
c1_l1,Cell-1,5,0.35,11.34723949432373,0.006224280016289811,10.158026960160997,0.3501498457487061,0,0.5335373833143469
c1_l1,Cell-1,6,0.4,12.266626199086508,0.009908453664845877,11.153278032938639,0.3998501542512938,0,0.5762638309444366
c1_l1,Cell-1,7,0.45,13.041288905673557,0.007059450778696255,11.89489057328966,0.4499906040466426,0,0.6057590502841453
c1_l1,Cell-1,8,0.5,10.001515176561144,0.0188514310866594,8.74906783633762,0.5,0,0.6379843938508885
c1_l1,Cell-1,9,0.55,11.626702361636692,0.021337213977757386,10.665076149834526,0.5500093959533574,0,0.6953052566968128
c1_l1,Cell-1,10,0.6,10.045233408610025,0.027442505583167045,9.017148070865208,0.6001498457487062,0,0.7447967035127377
c1_l1,Cell-1,11,0.65,7.788967609405518,0.04818085260275336,6.8228477107154,0.6498501542512938,0,0.7868925953902517
c1_l1,Cell-1,12,0.7,7.09538655810886,0.08672209197862275,6.111533959706624,0.6999906040466426,0,0.8286764845917763
c1_l1,Cell-1,13,0.75,6.999083836873372,0.08179832684497035,6.133824004067315,0.75,0,0.8527928066362249
c1_l1,Cell-1,14,0.8,5.184104998906453,0.1432841490540239,4.1924962467617455,0.8000093959533573,0,0.9058325265817248
c1_l1,Cell-1,15,0.85,4.255050341288249,0.2336867820057604,3.335059576564365,0.8501498457487061,0,0.9642163251570668
c1_l1,Cell-1,16,0.9,2.6712274187140994,0.3874833662476804,1.9655385149849787,0.8998501542512939,0,1.004125852118531
c1_l1,Cell-1,17,0.95,0.6121034158600701,0.6528096000353495,0.26309900813632536,0.9499906040466427,0,1.0335012038393616
paper,Paper,0,0.1,14.25604894426134,0.0013888889095849443,12.845267825656467,0.09651415851926894,0,0.55255331749938
paper,Paper,1,0.15,11.60441255569458,0.0033421346710787777,10.359810140397814,0.14876618672289485,0,0.5925423649963175
paper,Paper,2,0.2,12.369837178124321,0.008801383897662156,11.071887069278294,0.19717734881033755,0,0.6301087302093228
