method,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,order
paper,0.32582275041314734,0.4701453925354141,0.015048069279939374,0.055834340535940254,0
paper_s,0.18461508953569755,0.546358968078364,0.014611203720259041,0.06449989268394368,1
c1_l1,0.10410838163480451,0.5066377353095671,0.01502175635782928,0.06369267219981231,2
