trace_id,input_index,prompt_sha256,num_tokens,module,module_call_index,activation_cv,shape,shape_index,n,d,row_size_kib,paper_start_kib,paper_jump_kib,budget_index,row_budget_fraction,row_budget,target_importance,track,method,method_label,importance,rows,chunks,two_line_ms,lookup_ms,importance_delta_vs_target,rows_delta_vs_paper,coverage_met,valid,runtime_median_ms,runtime_p95_ms,deadline_met,valid_and_deadline_met,deterministic,scalarized_calls,bracket_converged,trim_deletions,trim_two_line_saving_ms,fallback_used,fallback_added_rows,error,paper_lookup_ms,paper_two_line_ms,untrimmed_lookup_ms,untrimmed_two_line_ms,lookup_saving_vs_paper_pct,two_line_saving_vs_paper_pct,lookup_trim_gain_pct,two_line_trim_gain_pct
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,1,0.5,448,0.6008725541178137,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,0.6109306271828245,481,4,0.1628523930552042,0.1644729373626978,0.0100580730650108,33,True,True,0.2597255,0.29660375,True,True,True,6,True,64,0.0158905140198922,False,0,,0.161595006468927,0.1643360460035591,0.1829496615262124,0.1787429070750965,-1.780952862750862,0.9028165058339033,10.099348645620376,8.890150820483257
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,1,0.5,448,0.6008725541178137,host,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,0.6018398757150862,473,4,0.1609071615983687,0.1620212488949863,0.0009673215972725,25,True,True,0.29972,0.3311066,True,True,True,6,True,72,0.0178357454767277,False,0,,0.161595006468927,0.1643360460035591,0.1829496615262124,0.1787429070750965,-0.2637720282162581,2.086507792159087,11.439437742948522,9.978435378828387
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,1,0.5,448,0.6008725541178137,cuda,paper,Paper,0.6008725541178137,448,5,0.1643360460035591,0.161595006468927,0.0,0,True,True,0.2461895,0.2794398499999999,True,True,True,0,False,0,0.0,False,0,,0.161595006468927,0.1643360460035591,0.1829496615262124,0.1787429070750965,0.0,0.0,,
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,1,0.5,448,0.6008725541178137,cuda,predict_correct_c8,Predicted-lambda TD-2L(8),0.6855959069216624,545,4,0.1787429070750965,0.1829496615262124,0.0847233528038486,97,True,True,0.164327,0.2181142999999999,True,True,True,6,True,0,0.0,False,0,,0.161595006468927,0.1643360460035591,0.1829496615262124,0.1787429070750965,-13.21492261667856,-8.766707865920885,,
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,1,0.5,448,0.6008725541178137,cuda,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,0.6109306271828245,481,4,0.1628523930552042,0.1644729373626978,0.0100580730650108,33,True,True,0.3378065,0.36321605,True,True,True,6,True,64,0.0158905140198922,False,0,,0.161595006468927,0.1643360460035591,0.1829496615262124,0.1787429070750965,-1.780952862750862,0.9028165058339033,10.099348645620376,8.890150820483257
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,1,0.5,448,0.6008725541178137,cuda,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,0.6018398757150862,473,4,0.1609071615983687,0.1620212488949863,0.0009673215972725,25,True,True,0.373553,0.40162895,True,True,True,6,True,72,0.0178357454767277,False,0,,0.161595006468927,0.1643360460035591,0.1829496615262124,0.1787429070750965,-0.2637720282162581,2.086507792159087,11.439437742948522,9.978435378828387
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,2,0.75,672,0.8226725598942721,host,paper,Paper,0.8226725598942721,672,6,0.2303057095772325,0.2302219234991185,0.0,0,True,True,0.2332455,0.3437871499999999,True,True,True,0,False,0,0.0,False,0,,0.2302219234991185,0.2303057095772325,0.227328518101197,0.2226711472509876,0.0,0.0,,
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,2,0.75,672,0.8226725598942721,host,predict_correct_c8,Predicted-lambda TD-2L(8),0.8292912638571579,684,4,0.2226711472509876,0.227328518101197,0.0066187039628857,12,True,True,0.121612,0.1894830499999999,True,True,True,8,True,0,0.0,False,0,,0.2302219234991185,0.2303057095772325,0.227328518101197,0.2226711472509876,1.256789689680693,3.3149687605485423,,
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,2,0.75,672,0.8226725598942721,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,0.8238964472257067,680,4,0.2215342003399658,0.2268046426434214,0.0012238873314345,8,True,True,0.1599594999999999,0.1756326,True,True,True,8,True,4,0.0011369469110217,False,0,,0.2302219234991185,0.2303057095772325,0.227328518101197,0.2226711472509876,1.4843420660196949,3.8086373339889845,0.2304486309730791,0.510594625778027
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,2,0.75,672,0.8226725598942721,host,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,0.8238964472257067,680,4,0.2215342003399658,0.2268046426434214,0.0012238873314345,8,True,True,0.164092,0.1788457999999999,True,True,True,8,True,4,0.0011369469110217,False,0,,0.2302219234991185,0.2303057095772325,0.227328518101197,0.2226711472509876,1.4843420660196949,3.8086373339889845,0.2304486309730791,0.510594625778027
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,2,0.75,672,0.8226725598942721,cuda,paper,Paper,0.8226725598942721,672,6,0.2303057095772325,0.2302219234991185,0.0,0,True,True,0.2482735,0.3409612499999999,True,True,True,0,False,0,0.0,False,0,,0.2302219234991185,0.2303057095772325,0.227328518101197,0.2226711472509876,0.0,0.0,,
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,2,0.75,672,0.8226725598942721,cuda,predict_correct_c8,Predicted-lambda TD-2L(8),0.8292912638571579,684,4,0.2226711472509876,0.227328518101197,0.0066187039628857,12,True,True,0.1830115,0.23812865,True,True,True,8,True,0,0.0,False,0,,0.2302219234991185,0.2303057095772325,0.227328518101197,0.2226711472509876,1.256789689680693,3.3149687605485423,,
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,8.0,8.0,2,0.75,672,0.8226725598942721,cuda,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,0.8238964472257067,680,4,0.2215342003399658,0.2268046426434214,0.0012238873314345,8,True,True,0.22998,0.25817355,True,True,True,8,True,4,0.0011369469110217,False,0,,0.2302219234991185,0.2303057095772325,0.227328518101197,0.2226711472509876,1.4843420660196949,3.8086373339889845,0.2304486309730791,0.510594625778027
