shape,shape_index,n,d,row_size_kib,paper_start_kib,paper_jump_kib,trial,spatial_mode,budget_index,row_budget_fraction,row_budget,target_importance,track,method,method_label,repetition,runtime_ms
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),10,0.637221
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),11,0.657068
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),12,0.639265
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),13,0.628425
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),14,0.63678
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),15,0.631821
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),16,0.610802
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),17,0.615441
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),18,0.62066
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),19,0.605341
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),20,0.63103
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),21,0.605331
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),22,0.613997
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),23,0.622554
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),24,0.607846
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),25,0.616052
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),26,0.623626
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),27,0.61545
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),28,0.613186
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8,Predicted-lambda TD-2L(8),29,0.606644
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,0,0.886517
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,1,0.898329
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,2,0.883992
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,3,0.867441
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,4,0.867932
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,5,0.89892
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,6,0.892568
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,7,0.88324
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,8,0.890324
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,9,0.89318
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,10,0.863534
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,11,0.869736
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,12,0.864676
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,13,0.868343
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,14,0.874926
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,15,0.870998
3584x3584,0,3584,3584,7.0,20.0,20.0,0,random,0,0.25,896,0.601171340397741,host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,16,0.874906
