track,method,method_label,cases,valid_cases,valid_rate,coverage_success_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_saving_vs_paper_pct_mean_valid,lookup_saving_vs_paper_pct_median_valid,lookup_saving_vs_paper_pct_weighted_valid,lookup_win_rate_valid,lookup_nonregression_rate_valid,lookup_regression_cases_valid,lookup_saving_vs_paper_pct_min_valid,two_line_saving_vs_paper_pct_mean_valid,lookup_trim_gain_pct_mean_valid,two_line_trim_gain_pct_mean_valid,trim_lookup_regression_rate_valid,rows_delta_vs_paper_mean_valid,trim_deletions_mean,scalarized_calls_median
host,paper,Paper,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.22851725,0.45847662749999957,0.824834699999999,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,,,,0.0,0.0,0.0
host,predict_correct_c8,Predicted-lambda TD-2L(8),384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.10778874999999999,1.01521063,1.2442613499999997,-12.854826531447321,0.2648773577257957,0.18050540883995936,0.5208333333333334,0.5208333333333334,184,-127.47757690069702,-9.33910112915765,,,,136.89322916666666,0.0,7.0
host,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21376174999999997,1.2132083974999999,1.6922193,-7.445336043157965,2.5438567461506247,2.3649836864623297,0.7526041666666666,0.7526041666666666,95,-112.64685083711652,-4.629390557902741,4.4117571402797795,4.041379844594091,0.0026041666666666665,99.86197916666667,37.03125,7.0
host,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,384,384,1.0,1.0,0.9973958333333334,0.9973958333333334,1.0,0.0,0.0,0.42011,1.2730336649999998,2.108393199999999,-0.10026219636754335,3.1404353860030043,3.075642949918589,0.8880208333333334,0.8880208333333334,43,-66.69151931751446,1.132188493808487,9.25173083111163,8.01711154678697,0.0026041666666666665,52.390625,84.50260416666667,7.0
cuda,paper,Paper,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2605495,0.4513828549999989,0.8269045499999993,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,,,,0.0,0.0,0.0
cuda,predict_correct_c8,Predicted-lambda TD-2L(8),384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1642265,1.1207297274999997,1.4719444999999995,-12.854826531447321,0.2648773577257957,0.18050540883995936,0.5208333333333334,0.5208333333333334,184,-127.47757690069702,-9.33910112915765,,,,136.89322916666666,0.0,7.0
cuda,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2855935,1.3578490374999999,1.7823429999999991,-7.445336043157965,2.5438567461506247,2.3649836864623297,0.7526041666666666,0.7526041666666666,95,-112.64685083711652,-4.629390557902741,4.4117571402797795,4.041379844594091,0.0026041666666666665,99.86197916666667,37.03125,7.0
cuda,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.49170624999999996,1.3887213674999996,1.90111305,-0.10026219636754335,3.1404353860030043,3.075642949918589,0.8880208333333334,0.8880208333333334,43,-66.69151931751446,1.132188493808487,9.25173083111163,8.01711154678697,0.0026041666666666665,52.390625,84.50260416666667,7.0
