trial,budget_rows,budget_fraction,greedy_rows,greedy_chunks,greedy_importance,greedy_aff_ms,greedy_aff_ratio,greedy_table_ms,greedy_table_ratio,top_r_rows,top_r_chunks,top_r_importance,top_r_aff_ms,top_r_aff_ratio,top_r_table_ms,top_r_table_ratio,top_r_aff_gain_pct,top_r_coverage_gap_pct,fixed_opt_rows,fixed_opt_chunks,fixed_opt_importance,fixed_opt_aff_ms,fixed_opt_aff_ratio,fixed_opt_table_ms,fixed_opt_table_ratio,fixed_aff_gain_pct,fixed_lookup_gain_pct,fixed_opt_coverage_gap_pct,upper_opt_rows,upper_opt_chunks,upper_opt_importance,upper_opt_table_ms,upper_opt_table_ratio,upper_table_gain_pct,greedy_fill_fraction,greedy_coverage_gap_pct,top_r_fill_fraction,upper_opt_fill_fraction,dinkelbach_iterations,dinkelbach_residual
0,32,0.125,32,1,0.18528785515228102,0.015474893102842693,11.973449762844835,0.01623402714932127,11.413548434285312,32,31,0.3280695585771518,0.3455014675279539,0.9495460639414166,0.30955359490979917,1.0598150497097216,-92.06956990049784,1596.2673035833056,32,1,0.18528785515228102,0.015474893102842693,11.973449762844835,0.01623402714932127,11.413548434285312,0.0,0.0,0.0,32,1,0.18528785515228102,0.01623402714932127,11.413548434285312,0.0,1.0,0.0,1.0,1.0,4,6.938893903907228e-18
0,64,0.25,64,1,0.3156334542861381,0.019948900391515013,15.82209786462157,0.019484455239417074,16.199244495561327,64,50,0.5307627137734692,0.5589923052858633,0.9494991411412045,0.5028284194969445,1.055554326671654,-93.99890489070796,1862.9277884955477,64,1,0.3201467707062771,0.019948900391515013,16.048341734286623,0.019484455239417074,16.430881272914412,1.429923336341754,1.4299233363417319,0.0,64,1,0.3201467707062771,0.019484455239417074,16.430881272914412,1.4299233363417319,1.0,0.0,1.0,1.0,4,-2.7755575615628914e-17
0,96,0.375,96,1,0.4199558750643303,0.02442290768018733,17.195162859539955,0.022693451824134705,18.50559704706109,96,60,0.6878159460612572,0.6734751707162393,1.0212936956974472,0.620553423693863,1.1083911872841052,-94.06057561629414,1868.6616051596673,96,1,0.4242798503102644,0.02442290768018733,17.37220874214147,0.022693451824134705,18.696135501917723,1.029626087567359,1.0296260875673369,0.0,92,1,0.41439490219366854,0.02210280542986425,18.74852056715651,1.3127029594216744,1.0,1.1581915538251941,1.0,0.9583333333333334,4,-1.1102230246251565e-16
0,128,0.5,128,1,0.5367143723276291,0.028896914968859648,18.573414252213833,0.026979764705882352,19.893219165495914,128,61,0.8045676264682877,0.6889500638190821,1.1678170432386616,0.6493813561068607,1.238975555583844,-93.7124266579072,1655.5973453098632,128,1,0.5419772666026299,0.028896914968859648,18.755540762281512,0.026979764705882352,20.088287370588652,0.9805763635836184,0.9805763635836184,0.0,128,1,0.5419772666026299,0.026979764705882352,20.088287370588652,0.9805763635836184,1.0,0.4861850356091768,1.0,1.0,4,-1.6653345369377348e-16
0,160,0.625,160,1,0.6684377371790678,0.033370922257531965,20.03054431701235,0.031587092198581565,21.161736983472142,160,61,0.8936208316292303,0.6934240711077544,1.288707544002127,0.6692062666507826,1.3353443865694639,-93.566287947015,1527.8109725400782,160,1,0.6684377371790678,0.033370922257531965,20.03054431701235,0.031587092198581565,21.161736983472142,0.0,0.0,0.0,160,1,0.6684377371790678,0.031587092198581565,21.161736983472142,0.0,1.0,0.0,1.0,1.0,4,-5.551115123125783e-17
0,192,0.75,192,2,0.7950260461922211,0.04884581536037466,16.276236568612436,0.047821119347902834,16.624998683287544,192,51,0.9524415044331102,0.5878892202547229,1.6201037059676526,0.5962265949033019,1.5974488769451494,-90.04620202503133,1215.3133755957476,192,1,0.7728005495002275,0.03784492954620429,20.42018729501735,0.03774518272425249,20.47415044049259,25.46012838370897,23.152794358260298,0.0,160,1,0.6684377371790678,0.031587092198581565,21.161736983472142,27.288653590963598,1.0,25.36322814736507,1.0,0.8333333333333334,4,-1.1102230246251565e-16
0,224,0.875,224,2,0.9022090297075813,0.053319822649046986,16.920705750391445,0.05107154743799864,17.66559023501044,224,26,0.9860392878484155,0.3173410821891359,3.107190789942331,0.32647940920215235,3.020218917505671,-81.63675418875215,590.5614620836895,224,1,0.8878857676288908,0.04231893683487661,20.980814595917522,0.043105703422053235,20.597872140850882,23.99491431042793,16.59883347701068,0.0,160,1,0.6684377371790678,0.031587092198581565,21.161736983472142,19.79071574711886,1.0,24.35185685773298,1.0,0.7142857142857143,4,1.1102230246251565e-16
1,32,0.125,32,1,0.17184040480032775,0.015474893102842693,11.104464739001084,0.01623402714932127,10.585198806170055,32,28,0.3114840476054709,0.3124988100854428,0.996752747699441,0.279098369140509,1.1160367886229305,-91.02385597931031,1500.1403763909052,32,1,0.1733230797408222,0.015474893102842693,11.200276382457417,0.01623402714932127,10.676530114591356,0.8628209077005122,0.8628209077005122,0.0,32,1,0.1733230797408222,0.01623402714932127,10.676530114591356,0.8628209077005122,1.0,0.0,1.0,1.0,4,6.938893903907228e-18
1,64,0.25,64,1,0.3202767163320971,0.019948900391515013,16.054855658526538,0.019484455239417074,16.437550467624927,64,47,0.521781079166574,0.5259896478433522,0.9919987613938144,0.47061367310841457,1.1087248607126043,-93.82119165383479,1784.0367944887455,64,1,0.32439861281081595,0.019948900391515013,16.261478399520925,0.019484455239417074,16.649098413311407,1.2869797486136259,1.286979748613648,0.0,64,1,0.32439861281081595,0.019484455239417074,16.649098413311407,1.286979748613648,1.0,0.0,1.0,1.0,4,0.0
1,96,0.375,96,1,0.450058252610131,0.02442290768018733,18.427709693847515,0.022693451824134705,19.832075618019896,96,61,0.6841453430904831,0.6844760565304098,0.9995168370949263,0.6234243892343228,1.0973990669995068,-94.57601159503486,1925.6547950374365,96,1,0.450058252610131,0.02442290768018733,18.427709693847515,0.022693451824134705,19.832075618019896,0.0,0.0,0.0,96,1,0.450058252610131,0.022693451824134705,19.832075618019896,0.0,1.0,0.0,1.0,1.0,4,-2.7755575615628914e-17
1,128,0.5,128,1,0.5471161515333807,0.028896914968859648,18.933375833474702,0.026979764705882352,20.27875919222134,128,63,0.8093583971064504,0.7109518354474228,1.1384152297702381,0.6545321715871684,1.2365448670671841,-93.98725700169386,1744.5204471523373,128,1,0.5499810854900051,0.028896914968859648,19.032519079724754,0.026979764705882352,20.384947440631077,0.5236427308159319,0.5236427308159319,0.0,128,1,0.5499810854900051,0.026979764705882352,20.384947440631077,0.5236427308159319,1.0,0.4861850356091768,1.0,1.0,4,0.0
1,160,0.625,160,1,0.6768976878114145,0.033370922257531965,20.28405695795943,0.031587092198581565,21.429566341716345,160,56,0.8982561032452332,0.6384196420369025,1.4069994782417916,0.6202191729326136,1.4482881897990407,-93.06352037386837,1408.5909282833334,160,1,0.6768976878114145,0.033370922257531965,20.28405695795943,0.031587092198581565,21.429566341716345,0.0,0.0,0.0,160,1,0.6768976878114145,0.031587092198581565,21.429566341716345,0.0,1.0,0.0,1.0,1.0,4,-1.6653345369377348e-16
1,192,0.75,192,2,0.8008677288250153,0.04884581536037466,16.39583090007554,0.04812515809937551,16.641352682338674,192,48,0.9560881957220257,0.5548865628122118,1.7230336068627978,0.5720264901959089,1.6714054543078636,-89.49102599701209,1145.3705540590934,192,1,0.7891343279788909,0.03784492954620429,20.851784834622272,0.03774518272425249,20.90688853578782,27.177359669684087,25.632146225565688,0.0,188,1,0.7783517402844491,0.03610913539967374,21.555535231438462,29.529946530819995,1.0,28.121666884078422,1.0,0.9791666666666666,4,2.220446049250313e-16
