method,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,order,component_total_ms
paper,0.030063238290567205,0.28939486648177065,1.5120697212248169,0.017658683633199453,0.060679220596247786,0,1.9098657302266022
cell1_fixed,0.03285993641567604,0.10396590589845911,1.4603120981313935,0.017627835304283176,0.06717017939014555,1,1.6819359551399573
cell1_tau,0.03285993641567604,0.0929799679868752,1.4286961976302668,0.01726136417849823,0.06723503829750194,2,1.6390325045088183
