model,error_ceiling,paper_ms,cell1_fixed_ms,cell1_tau_ms,tau_gain_vs_paper_pct,tau_gain_vs_fixed_pct
qwen05,0.5,1.4079296208770833,1.249337658567326,1.1801606237023925,16.17758400684829,5.537096748069051
qwen05,0.45,1.4949053008210633,1.3814162766017288,1.3158575415719502,11.977197428544317,4.745762456994678
qwen05,0.42,1.583479005596058,1.4861182359847005,1.3987711533251335,11.664685898465459,5.87753252362797
qwen05,0.4,1.6575664808354236,1.5289352931061684,1.4702939868801992,11.29803818552351,3.835434141024644
qwen05,0.35,1.8469554838951392,1.6675325040904105,1.6270301183446747,11.907453507577378,2.428881334929581
qwen05,0.3,2.0676742823490475,1.837980695935658,1.758068104871703,14.973643582083268,4.347847136842419
qwen05,0.25,2.256492769679083,1.9504689365504433,1.8955370221862697,15.996317486279738,2.816343974250876
qwen05,0.2,2.379714661156016,1.9812037665146587,2.0148214053164217,15.333487741019198,-1.6968289365259652
qwen05,0.15,2.494073966830505,2.054430228908523,2.090752584380621,16.1711876958657,-1.7680014128002537
