trial,target_cv,spatial_mode,coverage_paper_build_ms,accepted_greedy_windows,max_prefix_importance,quant_build_ms
0,1.07,random,13.762572,68,0.9883425255003845,798.106112
0,1.07,local,13.557619,86,0.9846773507200667,855.632802
0,1.07,hot-cold,13.484312,61,0.9919856861017301,744.997931
0,1.25,random,13.617651,71,0.9863437661583889,725.394772
0,1.25,local,13.615717,88,0.9849424815967324,734.983393
0,1.25,hot-cold,13.50452,62,0.9908706532501648,736.270288
0,1.44,random,16.135281,77,0.9860808014826048,747.22857
0,1.44,local,14.418697,109,0.9815871390404434,730.172131
0,1.44,hot-cold,13.095476,62,0.9925028476256015,788.612909
0,2.48,random,12.804193,90,0.9871288014107019,785.361853
0,2.48,local,12.863163,121,0.9851201719360974,807.385526
0,2.48,hot-cold,12.569064,74,0.9897354646286651,728.440935
0,3.3,random,12.614839,99,0.9906418300893995,749.126687
0,3.3,local,12.683838,136,0.9880690023068974,741.528196
0,3.3,hot-cold,12.533428,83,0.990236449979083,737.295885
0,4.55,random,12.498402,127,0.9921880264902818,738.562323
0,4.55,local,12.386062,140,0.9869260506640558,735.164321
0,4.55,hot-cold,14.083511,93,0.9861742343202445,738.305252
1,1.07,random,13.182459,69,0.9888949222460941,731.694917
1,1.07,local,13.009897,88,0.9814063848107475,732.166829
1,1.07,hot-cold,12.901073,57,0.9902596072436882,728.462195
1,1.25,random,13.120974,80,0.9845951751970063,762.436454
1,1.25,local,13.061423,97,0.9834712813461596,732.591483
1,1.25,hot-cold,12.669611,57,0.9887909275958168,749.464559
1,1.44,random,12.787813,76,0.9859963880239373,741.782441
1,1.44,local,12.575706,114,0.992332386719364,734.927629
1,1.44,hot-cold,12.316663,58,0.9877805698358151,729.930128
1,2.48,random,12.366536,84,0.9842726396006531,749.171451
1,2.48,local,12.484265,113,0.9870907571365128,739.410288
1,2.48,hot-cold,14.24417,65,0.9915389578695912,763.010918
1,3.3,random,13.126174,108,0.9882610720581273,740.505213
1,3.3,local,12.988377,135,0.9864341835851858,725.338777
1,3.3,hot-cold,13.062435,97,0.9818651551130229,784.845007
1,4.55,random,12.867411,114,0.9920986372624232,773.438557
1,4.55,local,12.811206,142,0.9932206776363086,734.400745
1,4.55,hot-cold,12.564015,84,0.9882958389430418,738.551963
2,1.07,random,12.468657,64,0.988380259473507,786.729799
2,1.07,local,12.512248,92,0.9885572158214433,791.412602
2,1.07,hot-cold,12.302757,59,0.9907326406590912,736.377639
2,1.25,random,12.318065,69,0.9862651653399591,757.31943
2,1.25,local,12.407181,92,0.9868029289905319,741.164987
2,1.25,hot-cold,14.079693,61,0.9929985670214844,741.177531
2,1.44,random,13.208498,80,0.986957075873617,753.002452
2,1.44,local,12.963249,100,0.9828999740646898,756.66132
2,1.44,hot-cold,12.847944,64,0.9887721558240327,737.1485
2,2.48,random,13.011409,95,0.9861809210358635,741.893208
2,2.48,local,12.910561,119,0.9875050869558406,728.290683
2,2.48,hot-cold,16.011921,68,0.9842725597630965,744.003121
2,3.3,random,13.311599,95,0.9897065257481791,739.539899
2,3.3,local,13.417798,119,0.9953144060739971,731.698313
2,3.3,hot-cold,13.657887,85,0.9864828512526704,725.555131
2,4.55,random,13.479483,116,0.9927892086461683,767.478788
2,4.55,local,13.858862,128,0.9947544233440306,790.560408
2,4.55,hot-cold,14.364435,86,0.9827530253402577,735.89144
3,1.07,random,13.504901,68,0.9899310388360131,737.277731
3,1.07,local,13.98645,95,0.9846425738007147,735.36163
3,1.07,hot-cold,13.020276,56,0.9917260411328304,728.634898
3,1.25,random,13.064528,77,0.9865755725801758,729.980803
3,1.25,local,12.979069,93,0.9846577437067128,730.664551
3,1.25,hot-cold,12.864605,57,0.9946306529781769,733.445439
3,1.44,random,13.01727,75,0.9885542111092909,756.632055
3,1.44,local,13.098362,84,0.9838272096360826,755.004053
3,1.44,hot-cold,12.923956,61,0.9867374731546348,745.339349
3,2.48,random,13.387382,82,0.9865637477067006,727.520013
3,2.48,local,13.035194,108,0.9770412471457562,751.648161
3,2.48,hot-cold,12.900432,67,0.9883274283778565,735.548179
3,3.3,random,13.014144,109,0.9891806040382868,758.957021
3,3.3,local,14.208434,125,0.9874020358587803,730.72842
3,3.3,hot-cold,13.828175,73,0.9812917077995671,735.369544
3,4.55,random,13.143757,95,0.9860040918303813,739.120325
3,4.55,local,13.066112,125,0.9923330284604965,744.629812
3,4.55,hot-cold,12.89859,82,0.9828650455230256,721.881756
4,1.07,random,14.682278,76,0.9905537725305733,744.857458
4,1.07,local,13.240588,92,0.9784742786834462,764.461359
4,1.07,hot-cold,14.021475,56,0.9925452912111965,740.695699
4,1.25,random,13.028351,82,0.9911259446145863,742.586504
4,1.25,local,13.033231,103,0.9862416353034646,729.17657
4,1.25,hot-cold,12.841493,61,0.9925682050605941,733.280511
4,1.44,random,13.288487,77,0.9891022644820558,733.217492
4,1.44,local,14.08255,96,0.9862301047713116,733.632318
4,1.44,hot-cold,12.501358,56,0.9904102440055835,736.679192
4,2.48,random,12.516896,94,0.9840339661119712,735.389823
4,2.48,local,12.46,110,0.9847729753872636,738.851653
4,2.48,hot-cold,12.345026,66,0.9809398820819083,730.515151
4,3.3,random,12.485648,108,0.9906676896532263,731.593217
4,3.3,local,12.463857,115,0.9857943456065412,737.971217
4,3.3,hot-cold,13.079617,71,0.9873207112312297,740.078496
4,4.55,random,13.18783,123,0.9917170230457752,737.24476
4,4.55,local,14.80637,156,0.9929098326194072,730.866138
4,4.55,hot-cold,12.924217,97,0.989013930815742,737.812772
5,1.07,random,12.953381,69,0.9854953794849827,745.3294
5,1.07,local,14.793927,96,0.984836205821467,738.997345
5,1.07,hot-cold,12.66326,54,0.9881449025235257,735.150246
5,1.25,random,12.80294,76,0.988097686949428,743.313483
5,1.25,local,12.758357,94,0.9864571990374655,757.436168
5,1.25,hot-cold,12.398606,58,0.9892930235119165,730.490596
5,1.44,random,12.388406,78,0.9871229246156034,740.425173
5,1.44,local,12.507629,112,0.9861141002990195,797.365918
5,1.44,hot-cold,12.270647,55,0.988406428547246,739.526815
5,2.48,random,14.685114,90,0.9891541163857114,764.094513
5,2.48,local,13.14577,118,0.9883689020368203,741.794172
5,2.48,hot-cold,13.069087,78,0.9883829511604082,728.239198
5,3.3,random,14.523892,101,0.9842086310134444,730.857382
5,3.3,local,13.448746,128,0.990060177440329,761.713252
5,3.3,hot-cold,15.12265,81,0.9863429327332701,734.256605
5,4.55,random,13.711346,106,0.9927545220742654,736.203063
5,4.55,local,13.725773,126,0.9855287260538849,742.342628
5,4.55,hot-cold,14.327998,88,0.984012235108526,731.104955
6,1.07,random,14.08301,68,0.9887873751308378,729.816816
6,1.07,local,14.606177,93,0.9803599843098647,733.300417
6,1.07,hot-cold,12.756253,56,0.9885326179723289,753.983625
6,1.25,random,12.880425,73,0.9903910766649215,740.029233
6,1.25,local,13.332579,91,0.9871317263373508,789.980815
6,1.25,hot-cold,12.730545,57,0.9912229566727213,731.158855
6,1.44,random,12.653551,77,0.984077753096578,740.241631
6,1.44,local,12.573442,108,0.9842901776657406,732.175616
6,1.44,hot-cold,12.478475,60,0.9870412319948525,726.427111
6,2.48,random,12.471932,99,0.9884032812524071,725.727243
6,2.48,local,12.503952,118,0.9871438603696928,733.126833
6,2.48,hot-cold,12.289352,77,0.987428909036966,740.992765
6,3.3,random,14.292451,98,0.9910710655729409,734.657314
6,3.3,local,13.096418,127,0.9936813169603548,740.011621
6,3.3,hot-cold,12.900021,77,0.9860599700769936,737.698298
6,4.55,random,12.941459,108,0.988750777827679,737.310622
6,4.55,local,12.912825,145,0.9906432551040562,734.871914
6,4.55,hot-cold,12.581527,92,0.9888299739175934,746.239351
7,1.07,random,12.572149,68,0.9867398622130679,733.671231
7,1.07,local,12.540571,109,0.9854823999394429,736.907469
7,1.07,hot-cold,12.314538,58,0.992659314094553,733.414711
7,1.25,random,12.425416,78,0.9841835829616261,728.002406
7,1.25,local,12.342971,105,0.987453121674841,756.073972
7,1.25,hot-cold,12.255749,64,0.9891387808582397,793.390739
7,1.44,random,14.603462,81,0.9880579343884808,745.592672
7,1.44,local,12.993436,100,0.9851885495656956,728.711942
7,1.44,hot-cold,12.945557,59,0.9895042201829188,737.598701
7,2.48,random,12.889492,98,0.9863186950283328,736.542597
7,2.48,local,12.772133,113,0.9867424524881417,728.5452
7,2.48,hot-cold,12.515434,77,0.9868523186797205,731.068075
7,3.3,random,14.405923,105,0.9891958459968877,742.965492
7,3.3,local,13.009095,125,0.9937127271264868,743.945563
7,3.3,hot-cold,12.885104,83,0.9850935127314879,743.391829
7,4.55,random,12.883891,106,0.9910971212436963,741.284891
7,4.55,local,12.823989,129,0.9926790750379908,728.851412
7,4.55,hot-cold,12.584502,87,0.9867175613957393,732.179563
8,1.07,random,12.605502,69,0.9916141636870704,732.828636
8,1.07,local,12.578852,87,0.9848116413596468,729.558564
8,1.07,hot-cold,12.26171,56,0.987792313635137,729.403474
8,1.25,random,12.277139,70,0.9850202108532643,746.551985
8,1.25,local,12.366145,85,0.9847964182662008,730.197688
8,1.25,hot-cold,12.311813,65,0.9907952239598264,734.085806
8,1.44,random,14.160024,89,0.985628807131978,730.870626
8,1.44,local,12.994097,107,0.9857125747231028,730.857361
8,1.44,hot-cold,12.903508,63,0.9907522863786407,730.748909
8,2.48,random,13.037148,96,0.9894294817442812,730.71739
8,2.48,local,12.845299,122,0.9897526103850443,760.213319
8,2.48,hot-cold,12.467184,73,0.989749984664602,747.884787
8,3.3,random,12.354784,98,0.989273279581185,740.126896
8,3.3,local,12.388958,127,0.9885839166231487,781.067647
8,3.3,hot-cold,12.281487,82,0.9867824324163336,725.462458
8,4.55,random,12.526054,107,0.9860441769180023,743.230056
8,4.55,local,12.47577,137,0.9921164055276208,750.777182
8,4.55,hot-cold,12.254236,88,0.9867805400744202,740.220451
9,1.07,random,13.164055,68,0.9879466946694138,735.502073
9,1.07,local,12.959042,102,0.987115893956521,1017.772647
9,1.07,hot-cold,12.795808,54,0.9948618755558687,735.999011
9,1.25,random,12.900323,73,0.9911279848902831,748.694921
9,1.25,local,12.718323,104,0.985125711495813,747.687979
9,1.25,hot-cold,14.069425,59,0.9893187254736681,748.520133
9,1.44,random,13.199651,75,0.9879467258937527,734.472528
9,1.44,local,12.993416,98,0.9863468448563005,731.474846
9,1.44,hot-cold,12.87218,62,0.9838443099970602,734.773951
9,2.48,random,13.012862,90,0.9857456619520235,737.657822
9,2.48,local,12.971085,114,0.9890022344686709,775.920085
9,2.48,hot-cold,12.916533,68,0.9828223525616983,729.974662
9,3.3,random,12.969321,105,0.9921686474667138,737.915282
9,3.3,local,13.068857,132,0.9921764423601287,746.254209
9,3.3,hot-cold,12.979611,79,0.9889341136942522,740.720696
9,4.55,random,13.109633,92,0.9887415448149162,742.581925
9,4.55,local,13.101047,129,0.9918851815094393,743.401737
9,4.55,hot-cold,12.938073,79,0.9790829234057634,728.890465
10,1.07,random,13.133267,68,0.9847599249619505,730.092511
10,1.07,local,13.037598,86,0.9797855639809636,745.790843
10,1.07,hot-cold,12.991553,59,0.9920182965679073,738.580005
10,1.25,random,13.032489,73,0.990242521767714,741.77693
10,1.25,local,12.96319,100,0.9832056742926926,733.63354
10,1.25,hot-cold,12.903899,58,0.9939465693253496,738.305863
10,1.44,random,12.966916,69,0.9877438742525991,734.15768
10,1.44,local,13.059239,107,0.9827260125005168,738.409827
10,1.44,hot-cold,13.005699,54,0.9870233185216014,731.024593
10,2.48,random,13.012191,107,0.9904607054527377,737.142639
10,2.48,local,13.039352,118,0.9891111191585686,777.646492
10,2.48,hot-cold,13.008143,78,0.9856848826441936,735.189529
10,3.3,random,13.222042,102,0.9894409310135756,731.440592
10,3.3,local,13.082311,137,0.9935101391251875,734.875461
10,3.3,hot-cold,12.902786,82,0.9952111809756492,731.273298
10,4.55,random,12.970113,109,0.9889884320646711,736.148
10,4.55,local,13.17271,121,0.990887484298564,769.868725
10,4.55,hot-cold,12.946949,74,0.9891306655210257,741.365642
11,1.07,random,12.79198,72,0.988599782378193,823.691021
11,1.07,local,12.63676,84,0.9782385481559117,755.012338
11,1.07,hot-cold,12.485097,55,0.9911806265914281,731.466059
11,1.25,random,12.558704,75,0.9883136763217446,835.789895
11,1.25,local,12.453007,106,0.9879797535208145,772.658329
11,1.25,hot-cold,14.167518,55,0.9889947448933809,760.843577
11,1.44,random,13.213277,77,0.9862734845362142,742.660733
11,1.44,local,13.123158,99,0.9830440635836755,740.628965
11,1.44,hot-cold,12.876667,58,0.9872366405536034,737.612537
11,2.48,random,12.971224,88,0.989051927848416,734.610988
11,2.48,local,12.802379,127,0.9859625047896952,752.53934
11,2.48,hot-cold,12.741666,73,0.9882829046265708,768.876096
11,3.3,random,12.617524,101,0.9893939338227855,785.862628
11,3.3,local,12.581778,136,0.9914990309062083,756.029173
11,3.3,hot-cold,12.400479,81,0.983917065437224,749.342565
11,4.55,random,12.57782,102,0.9901887192410925,775.927257
11,4.55,local,12.45419,115,0.9875250307101155,814.567574
11,4.55,hot-cold,14.342144,76,0.9802243818766136,832.758346
12,1.07,random,13.005919,72,0.9889215422958123,770.04979
12,1.07,local,12.957568,96,0.9873752548916069,773.907141
12,1.07,hot-cold,14.407976,58,0.9915173147669651,764.363482
12,1.25,random,12.983207,71,0.9844486762739282,770.514389
12,1.25,local,13.115263,98,0.9892317614455908,763.75766
12,1.25,hot-cold,12.89922,61,0.9851260501015748,762.002088
12,1.44,random,12.768466,81,0.9822888038453008,775.002908
12,1.44,local,12.726908,103,0.9790735728742334,775.983652
12,1.44,hot-cold,12.595253,52,0.9923058637029302,755.945467
12,2.48,random,12.933304,91,0.9893580194017166,784.883367
12,2.48,local,13.146251,121,0.98779079173458,767.200795
12,2.48,hot-cold,14.552586,79,0.9870945729344036,801.476995
12,3.3,random,13.077714,90,0.9877746549307603,800.323678
12,3.3,local,13.25812,118,0.9825539892709413,831.572849
12,3.3,hot-cold,13.310368,79,0.9839473742731538,788.140405
12,4.55,random,12.931731,118,0.9877164132692623,809.78349
12,4.55,local,12.895143,141,0.9954716569327814,808.898106
12,4.55,hot-cold,12.674761,94,0.987430189869916,816.127439
13,1.07,random,12.690521,60,0.9874314813475046,841.092564
13,1.07,local,12.645486,83,0.9829278641964765,806.137476
13,1.07,hot-cold,12.539368,58,0.9887155058388525,830.475649
13,1.25,random,12.47623,71,0.9865705893733661,785.7998
13,1.25,local,14.378842,100,0.984270847814261,830.485868
13,1.25,hot-cold,13.035564,55,0.9941297721469478,845.329333
13,1.44,random,13.004056,73,0.9838956136293414,840.893141
13,1.44,local,12.993497,86,0.9870768222307584,830.941239
13,1.44,hot-cold,12.766953,60,0.9888068974774581,801.648465
13,2.48,random,12.815734,88,0.9895801209991157,741.579955
