trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_runtime_ms,paper_importance,paper_rows,paper_chunks,paper_run_length_median,paper_rows_beyond_profile_fraction,paper_two_line_ms,paper_released_ms,quant_importance,quant_rows,quant_chunks,quant_run_length_median,quant_rows_beyond_profile_fraction,quant_two_line_ms,quant_released_ms,quant_lambda_index,quant_lambda,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_run_length_median,top_fixed_rows_beyond_profile_fraction,top_fixed_two_line_ms,top_fixed_released_ms,top_matched_importance,top_matched_rows,top_matched_chunks,top_matched_run_length_median,top_matched_rows_beyond_profile_fraction,top_matched_two_line_ms,top_matched_released_ms,quant_saving_vs_paper_lookup_pct,paper_extra_vs_quant_lookup_pct,quant_win,quant_lookup_reference_ratio,paper_vs_quant_lookup_ratio,top_matched_vs_quant_lookup_ratio,coverage_paper_importance,coverage_paper_rows,coverage_paper_chunks,coverage_paper_run_length_median,coverage_paper_rows_beyond_profile_fraction,coverage_paper_two_line_ms,coverage_paper_released_ms,quant_win_vs_paper,coverage_paper_query_ms,coverage_paper_saving_vs_paper_lookup_pct,coverage_paper_win_vs_paper,coverage_paper_vs_paper_lookup_ratio,quant_vs_paper_lookup_ratio,coverage_paper_saving_vs_quant_lookup_pct,coverage_paper_win_vs_quant
0,1.07,random,0.05,243,6.934952,0.0681536241946254,240,3,78.0,0.0,0.0915987943575275,0.0870712373789838,0.100293224592294,381,3,130.0,0.0,0.1258952367258684,0.1291522391512986,43044,1.2852378460109832,0.2157777390623768,243,230,1.0,0.0,2.607628288856761,2.2871093910816747,0.0687351496303512,43,43,1.0,0.0,0.4869221450991059,0.4244134041262375,-48.329394457958784,-32.582479443517755,0.0,1.0,0.6741752055648225,3.286148245784944,0.08583097821151263,318,3,96.0,0.0,0.11131602932500652,0.10912342443986531,0.0,0.017913,-25.326603508455705,0.0,1.253266035084557,1.4832939445795885,15.507911316945911,1.0
0,1.07,random,0.1,486,1.525141,0.129906827289107,486,5,96.0,0.0,0.1743271236868604,0.1715375857286226,0.1409540913371287,542,4,132.5,0.2970479704797047,0.1782716799943037,0.1826554639711411,43060,1.288226020713196,0.3363155098077107,486,435,1.0,0.0,4.938241155609677,4.369771020522371,0.1300627571199327,113,109,1.0,0.0,1.23526363470057,1.0810666853609805,-6.481307402861125,-6.086802990068263,0.0,1.0,0.9391319700993174,5.918611257814795,0.14033408343947373,534,5,96.0,0.0,0.18599851242787366,0.18312340053751439,0.0,0.01047,-6.754096928483588,0.0,1.0675409692848359,1.0648130740286115,-0.2561853646202428,0.0
0,1.07,random,0.15,730,2.393444,0.1913634978238834,726,8,96.0,0.0,0.265925918044388,0.2628721014572846,0.2056173997261701,804,6,132.5,0.3868159203980099,0.2653834657851195,0.2705276822018152,43378,1.349078522107218,0.4319636103923884,730,620,1.0,0.0,7.04748483861162,6.305316961662205,0.1918083914877058,203,194,1.0,0.0,2.1989999237430458,1.9265584848187252,-2.912283464882859,-2.829869639299798,0.0,1.0,0.971701303607002,7.121483720773172,0.2037793408267416,798,7,120.0,0.0,0.27310361253508647,0.2711335477699321,0.0,0.008716,-3.1427626845330847,0.0,1.0314276268453308,1.0291228346488286,-0.22395695818844263,0.0
0,1.07,random,0.2,973,10.379119,0.2505531898911018,972,10,96.0,0.0,0.3486542473737208,0.3437771461699153,0.2581289911936103,1035,7,142.0,0.4763285024154589,0.3371047967405505,0.3452243849122464,43542,1.3815766486489194,0.510700550482649,973,789,1.0,0.0,8.979195497534997,8.111528974122718,0.2508014012972158,306,288,1.0,0.0,3.265622765860264,2.866109053064805,-0.4209816616534967,-0.4192168356528247,0.0,1.0,0.9958078316434718,8.302162820257758,0.2700155186014112,1068,10,108.0,0.0,0.3719970248557473,0.3673409105915032,0.0,0.008797,-6.854371991889563,0.0,1.0685437199188956,1.004209816616535,-6.406420474868457,0.0
0,1.07,random,0.25,1216,3.229486,0.3047969394997584,1212,12,96.0,0.0,0.4291724248470946,0.4219130954419595,0.3069375713896345,1242,8,148.0,0.5797101449275363,0.4055023528309929,0.4147899031442636,43660,1.4054426405189586,0.5771047810212023,1216,932,1.0,0.0,10.622810117470376,9.687111001851994,0.3051335168834531,416,380,1.0,0.0,4.311786451733905,3.800089806059026,1.6883079417656432,1.7173012755854034,1.0,1.0,1.017173012755854,9.161480974471448,0.31457239209122,1260,12,102.0,0.0,0.4408438135881078,0.4344037899477354,1.0,0.008927,-2.960489883039008,0.0,1.02960489883039,0.9831169205823436,-4.72863168914941,0.0
0,1.07,random,0.3,1459,3.609146,0.3590662633957894,1458,14,102.0,0.0,0.511149525913095,0.5034528181670491,0.3805095361167324,1571,10,150.0,0.5798854232972629,0.5126029036813958,0.5247842617327779,43930,1.4616136897568337,0.635112426687668,1459,1033,1.0,0.0,11.801038828271292,10.965174050747036,0.3591370252067428,540,481,1.0,0.0,5.461079844614393,4.839065207562984,-4.237029329459596,-4.064802457164928,0.0,1.0,0.9593519754283508,9.221056270980654,0.3722767951493952,1524,14,114.0,0.0,0.5279489136953206,0.522413937180153,0.0,0.012914,-3.7662156867324326,0.0,1.0376621568673243,1.042370293294596,0.45167599820892246,1.0
0,1.07,random,0.35,1702,9.310893,0.411199424351277,1698,16,114.0,0.0,0.5931701599131337,0.5887059367915425,0.4116244650491748,1711,11,140.0,0.532437171244886,0.5581476369582961,0.571645086475046,43941,1.4639491374476856,0.6860742210639417,1702,1127,1.0,0.0,12.901703220883132,12.17309832788986,0.4112542580204359,673,580,1.0,0.0,6.590400389115514,5.876258473712756,2.898025864912868,2.984517967555611,1.0,1.0,1.029845179675556,10.27955739101638,0.43367706187481686,1812,16,120.0,0.0,0.6216409364363725,0.6171437469053117,1.0,0.010059,-4.830562822035689,0.0,1.0483056282203569,0.9710197413508713,-7.95924980494902,0.0
0,1.07,random,0.4,1946,3.967275,0.4644741405537919,1944,18,114.0,0.0,0.6758984892424665,0.6705057558561834,0.4876211426506693,2054,14,138.0,0.3476144109055501,0.6706830067574817,0.6869487085949688,44039,1.4849212684971775,0.7316841964545244,1946,1183,1.0,0.0,13.58154732582923,13.033248383984084,0.4645028666337897,825,689,1.0,0.0,7.835147027168157,7.032957697960152,-2.452320892874216,-2.3936216100349794,0.0,1.0,0.9760637838996502,10.237966255653662,0.4813479567908579,2028,18,120.0,0.0,0.6963234195392396,0.6911437230029608,0.0,0.010199,-3.0779701690143213,0.0,1.0307797016901432,1.0245232089287422,-0.6106735998633983,0.0
0,1.07,random,0.45,2189,4.485473,0.5157686774068952,2184,20,120.0,0.0,0.7571678949791727,0.7541009042883042,0.5354320459092271,2280,15,140.0,0.4052631578947368,0.7433953010759297,0.7620718859011768,44218,1.5240061169520966,0.7722178841767106,2189,1224,1.0,0.0,14.094939023580917,13.759307685825648,0.5159834258195245,991,804,1.0,0.0,9.149781521575186,8.263501203831213,-1.0570179093466692,-1.0459619046891633,0.0,1.0,0.9895403809531084,10.843466812923207,0.5411937252018485,2316,20,120.0,0.0,0.7900154422802915,0.7858735327281193,0.0,0.01037,-4.21331260301312,0.0,1.0421331260301312,1.0105701790934667,-3.123281053570981,0.0
0,1.07,random,0.5,2432,4.974858,0.5674521216477179,2430,22,120.0,0.0,0.8398962243085056,0.8357299707293,0.5883603614881003,2525,16,143.5,0.5857425742574257,0.8246479926036282,0.8440918740409568,44284,1.5386754572209165,0.808407738667048,2432,1226,1.0,0.0,14.176186662850604,14.0718695676894,0.567587550579842,1179,915,1.0,0.0,10.425442934951896,9.478149250205218,-1.0005508483032832,-0.9906390013714296,0.0,1.0,0.9900936099862856,11.2288123386736,0.5917113862740977,2556,22,120.0,0.0,0.8712848480169978,0.8665931713185092,0.0,0.011612,-3.69296323814694,0.0,1.0369296323814694,1.0100055084830328,-2.6657403026321136,0.0
