trace_id,shape,n,d,budget_index,row_budget_fraction,row_budget,paper_underfill_rows,paper_importance,paper_two_line_ms,paper_lookup_ms,paper_two_line_efficiency,paper_lookup_efficiency,exact_importance,exact_two_line_ms,exact_lookup_ms,exact_two_line_efficiency,exact_lookup_efficiency,exact_two_line_gain_vs_paper_pct,exact_lookup_gain_vs_paper_pct,exact_runtime_ms,exact_iterations,exact_states,exact_converged,exact_actual_io_median_ms,exact_actual_io_p95_ms,exact_actual_upload_median_ms,exact_actual_upload_p95_ms,exact_actual_read_wall_median_ms,exact_actual_read_wall_p95_ms,exact_actual_direct_rate,corridor_w4_optimum_recovery,corridor_w4_two_line_gain_vs_paper_pct,corridor_w4_states,corridor_w8_optimum_recovery,corridor_w8_two_line_gain_vs_paper_pct,corridor_w8_states,corridor_w16_optimum_recovery,corridor_w16_two_line_gain_vs_paper_pct,corridor_w16_states,corridor_w32_optimum_recovery,corridor_w32_two_line_gain_vs_paper_pct,corridor_w32_states
0,896x896,896,896,0,0.25,224,0,0.3190396104764659,0.08578523714545282,0.08261786765964597,3.719050282923617,3.861629687548789,0.31273525644792244,0.07295240282109824,0.0724569765216245,4.286839697588105,4.316151065930661,15.267053991486712,11.770195879926115,6.775543,3,454275,True,0.274337,0.30546695,0.046216499999999994,0.06185095,0.366239,0.40955525,1.0,0.5851890005414668,-32.54698787936259,44410,0.6694242871139967,-22.837434554018433,41495,0.7865342110167753,-9.338518632577951,78202,0.9316763619396251,7.391589514286667,199268
0,896x896,896,896,1,0.5,448,0,0.5752275267441291,0.1459048056421965,0.14158528862822856,3.9424851307143656,4.062763386770701,0.5707064204616472,0.13678814625760294,0.13146300138034675,4.172192080056983,4.341194210304754,5.826450620017831,6.85323748955422,6.591519,2,403202,True,0.32265750000000004,0.34641815,0.0766285,0.09709129999999998,0.43756249999999997,0.4980496,1.0,0.8445403345160892,-10.625293992719753,23295,0.8596004232356653,-9.031538257504446,73197,0.9567146468595896,1.245715333334152,138489,1.0,5.826450620017831,365285
0,896x896,896,896,2,0.75,672,0,0.8146808800811414,0.21885720846329476,0.21197387034329512,3.7224311038298477,3.843308039626547,0.8152171258116141,0.20474109070650473,0.1931795050785769,3.981697679730658,4.219998003825611,6.9649798389569195,9.801191065488135,4.865255,2,302850,True,0.38956749999999996,0.47069615,0.117169,0.13230104999999998,0.5631115,0.6653713999999998,1.0,0.9590580295521085,2.585622795431042,23247,0.9733515289341405,4.114526668658236,102215,0.9987042576418222,6.826380783737962,112228,1.0,6.9649798389569195,203646
1,896x128,896,128,0,0.25,224,0,0.2721758981642779,0.01958808206326732,0.020325459120758234,13.894974366820605,13.390885615287615,0.27842477880767547,0.01958808206326732,0.020325459120758234,14.213988787079535,13.698326672646838,2.2958978680859943,2.2958978680859943,6.562165,3,454275,True,0.117014,0.13982550000000002,0.0160845,0.02433669999999998,0.167287,0.20518884999999995,1.0,0.24186538800008964,-75.25816297131784,44410,0.33483155178624585,-65.74810577546145,68537,0.4027351664337935,-58.80184454660204,78202,0.5326529396811479,-45.51178928324152,249134
1,896x128,896,128,1,0.5,448,0,0.5158221361343749,0.02634332980218005,0.02632769637144123,19.580749282943263,19.592376365062805,0.5187518418824766,0.02634332980218005,0.02632769637144123,19.69196171394958,19.703654834199195,0.5679682089755111,0.5679682089755111,6.578946,2,403202,True,0.1276985,0.14955335,0.0205435,0.02854905,0.1824355,0.2169267,1.0,0.9944972059079688,0.01456338766758769,24964,0.9944972059079688,0.01456338766758769,23042,0.9944972059079688,0.01456338766758769,43778,0.9944972059079688,0.01456338766758769,83714
1,896x128,896,128,2,0.75,672,0,0.7536390151944943,0.033098577541092786,0.03197862460287874,22.76952881914127,23.566961511116748,0.7636843764339574,0.033098577541092786,0.03197862460287874,23.07302709567571,23.881088881014914,1.3329141720284543,1.3329141720284543,4.525972,2,302850,True,0.1628845,0.22371354999999982,0.024666,0.03129005,0.2226865,0.30828084999999994,1.0,0.9973486563157119,1.064245790027929,14274,1.0,1.3329141720284543,53252,1.0,1.3329141720284543,50946,1.0,1.3329141720284543,98050
4,896x4864,896,4864,0,0.25,224,0,0.30213623703457415,0.4106934259709388,0.39931998238651184,0.7356734194619267,0.7566268916192852,0.29932830238249153,0.37075122913638514,0.3520957302000373,0.8073561969834498,0.8501332924782505,9.743831382946011,12.35832375173036,4.190435,2,302850,True,0.6525084999999999,0.7102505499999999,0.201431,0.2636291999999999,0.9111965,1.0599960499999999,1.0,0.9324671283504197,2.3325153038283197,32518,0.9324671283504197,2.3325153038283197,39532,0.9826967524342431,7.844906699712206,144327,0.9998033729668063,9.722252778969874,202600
4,896x4864,896,4864,1,0.5,448,0,0.5507549532339908,0.7957211832931684,0.773043167691495,0.6921456469898647,0.712450450702108,0.5520596011192538,0.7411014322001342,0.7003922360275845,0.7449177361327379,0.7882149069075507,7.6244197117151025,10.634347431569191,5.129889,2,403202,True,1.0338254999999998,1.15857175,0.37085750000000006,0.40275305,1.4927730000000001,1.6815926499999998,1.0,0.9925291120477726,6.820369731125386,62016,0.9967817605875742,7.2780585624594,58292,0.99961170561986,7.582629754375203,140345,1.0,7.6244197117151025,159675
4,896x4864,896,4864,2,0.75,672,0,0.782648678519763,1.1467686647273674,1.1062411979523985,0.682481744219816,0.7074846606403826,0.7906016333727166,1.1115853106214286,1.049955149979295,0.7112379282258894,0.7529860998236994,4.213472997573908,6.431438264983846,4.493751,2,302850,True,1.3039399999999999,1.3847793,0.5412904999999999,0.5853181,1.9655505,2.1336922,1.0,0.9972538344535735,3.9272855485545266,55609,0.9992493467649178,4.135244816929129,59260,1.0,4.213472997573908,84602,1.0,4.213472997573908,104751
6,4864x896,4864,896,0,0.25,1212,4,0.27317503187805414,0.38418335135486537,0.3759982242632113,0.7110538000011505,0.7265327713005967,0.27403870096895844,0.36929191652431226,0.34907975773724104,0.7420652570685694,0.7850317725246978,4.361337646654695,8.051804892349136,146.851996,2,8862178,True,0.6667505,0.72634635,0.2009355,0.220538,0.9338585,1.06590735,1.0,0.9310222370666712,-2.8372739609413333,145997,0.9334015901416838,-2.5889614912993464,321350,0.9334015901416838,-2.5889614912993464,305859,0.9541190143374548,-0.4268633896355123,1208102
