trace_id,input_index,prompt_sha256,num_tokens,module,projection,module_call_index,activation_cv,shape,shape_index,n,d,row_size_kib,budget_index,row_budget_fraction,nominal_row_budget,effective_row_budget,paper_underfill_rows,track,method,method_label,importance,rows,chunks,two_line_ms,lookup_ms,lookup_efficiency,two_line_efficiency,row_match,valid,runtime_median_ms,runtime_p95_ms,deadline_met,valid_and_deadline_met,deterministic,scalarized_calls,outer_iterations,mu_exact_hits,frontier_candidates,eligible_candidates,trim_work_deletions,minimum_overfill,repair_deletions,repair_additions,returned_top_r,fallback_used,error,paper_importance,paper_lookup_ms,paper_two_line_ms,paper_lookup_efficiency,paper_two_line_efficiency,paper_runtime_median_ms,importance_gain_pct,lookup_saving_pct,two_line_saving_pct,lookup_efficiency_gain_pct,two_line_efficiency_gain_pct,lookup_saving_abs_ms,selector_overhead_median_ms,mixed_net_saving_ms,mixed_net_win
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,host,paper,Paper,0.3416058463335503,224,4,0.0987889483280103,0.0993381240390939,3.438819180832461,3.457935853303262,True,True,0.2099329999999999,0.2509066,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.2099329999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,host,top_r,Top-R,0.5794227252481505,224,170,1.938171351097547,1.764488801898285,0.3283799390649529,0.2989533019978008,True,True,0.0114115,0.0137425999999999,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.2099329999999999,69.61733280243436,-1676.2453428291856,-1861.9313535581025,-90.4507936650086,-91.35457351783378,-1.6651506778591911,-0.1985214999999999,-1.4666291778591911,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,host,legacy_rho2_mu4,Exp24 rho2/mu4,0.3034734610992018,224,4,0.0987889483280103,0.0956851062389088,3.1715851403402544,3.071937359749742,True,True,0.265216,0.32324485,True,True,True,8,2,0,0,0,0,0,478,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.2099329999999999,-11.162685195122602,3.6773573444445873,0.0,-7.771098927845211,-11.162685195122602,0.0036530178001850933,0.05528300000000011,-0.05162998219981502,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,host,frontier16_trim64,Frontier16 + adaptive trim64,0.3376545017817989,224,3,0.0877083314438565,0.0866783350628464,3.8954890116080496,3.849742621063734,True,True,0.7445815,0.78529765,True,True,True,32,2,0,4,4,92,6,61,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.2099329999999999,-1.1566969927947923,12.744139371169638,11.21645393709697,13.279844236097315,11.330654598065815,0.01265978897624749,0.5346485000000001,-0.5219887110237525,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,host,frontier16_trim256,Frontier16 + adaptive trim256,0.3376545017817989,224,3,0.0877083314438565,0.0866783350628464,3.8954890116080496,3.849742621063734,True,True,0.7204615,0.7609364,True,True,True,32,2,0,4,4,92,6,61,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.2099329999999999,-1.1566969927947923,12.744139371169638,11.21645393709697,13.279844236097315,11.330654598065815,0.01265978897624749,0.5105285,-0.4978687110237526,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,host,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,0.3380474404548295,224,3,0.0877083314438565,0.0876135035080887,3.858394276215879,3.854222682040406,True,True,1.3637785,1.41045685,True,True,True,72,3,0,7,7,374,5,230,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.2099329999999999,-1.0416700758822284,11.802740029991943,11.21645393709697,12.201138626947184,11.460213420633103,0.01172462053100519,1.1538455,-1.142120879468995,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,cuda,paper,Paper,0.3416058463335503,224,4,0.0987889483280103,0.0993381240390939,3.438819180832461,3.457935853303262,True,True,0.233366,0.2761209499999998,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.233366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,cuda,top_r,Top-R,0.5794227252481505,224,170,1.938171351097547,1.764488801898285,0.3283799390649529,0.2989533019978008,True,True,0.0399744999999999,0.0491527999999999,True,True,True,0,0,0,0,0,0,0,0,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.233366,69.61733280243436,-1676.2453428291856,-1861.9313535581025,-90.4507936650086,-91.35457351783378,-1.6651506778591911,-0.1933915000000001,-1.471759177859191,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,cuda,legacy_rho2_mu4,Exp24 rho2/mu4,0.3034734610992018,224,4,0.0987889483280103,0.0956851062389088,3.1715851403402544,3.071937359749742,True,True,0.3345705,0.3753146499999999,True,True,True,8,2,0,0,0,0,0,478,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.233366,-11.162685195122602,3.6773573444445873,0.0,-7.771098927845211,-11.162685195122602,0.0036530178001850933,0.1012045,-0.09755148219981491,False
0,0,bdf33cf528fe573c3eaeabbb0701e56e4903474747408b891ca6a4fda87bd4d8,42,model.layers.0.self_attn.q_proj,q_proj,0,1.3532536250432672,896x896,0,896,896,1.75,0,0.25,224,224,0,cuda,frontier16_trim64,Frontier16 + adaptive trim64,0.3376545017817989,224,3,0.0877083314438565,0.0866783350628464,3.8954890116080496,3.849742621063734,True,True,0.800621,0.82989265,True,True,True,32,2,0,4,4,92,6,61,0,False,False,,0.3416058463335503,0.0993381240390939,0.0987889483280103,3.438819180832461,3.457935853303262,0.233366,-1.1566969927947923,12.744139371169638,11.21645393709697,13.279844236097315,11.330654598065815,0.01265978897624749,0.5672550000000001,-0.5545952110237525,False
