track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean,frontier_candidates_mean,eligible_candidates_mean,trim_work_deletions_mean,minimum_overfill_median
cuda,896x896,896,896,1.75,frontier16_trim256,Frontier16 + adaptive trim256,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.89613275,1.15513125,1.2356543499999983,5.689698007776048,5.313038934466608,0.90625,7.937963398414698,0.9479166666666666,-2.0476314546243404,0.28125,7.131470317968067,6.571543370827326,0.9479166666666666,0.25,0.010708081856787151,0.6764895,0.0,32.0,142.0625,0.0,0.0,0.0,5.927083333333333,5.927083333333333,449.1354166666667,6.0
cuda,896x896,896,896,1.75,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,96,96,1.0,1.0,0.96875,0.96875,1.0,0.0,0.0,1.48949875,1.8790445749999996,2.7275345499999992,6.012333647393981,5.844798846993815,0.9375,8.251271902203877,0.96875,-2.4097041882777526,0.25,7.773859748714003,6.919992762366601,0.96875,0.22916666666666666,0.011275866986854774,1.2599645,0.0,72.0,208.60416666666666,0.0,0.0,0.0,8.572916666666666,8.572916666666666,697.1458333333334,5.5
host,896x128,896,128,0.25,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14172975,0.1961476999999999,0.3772151999999988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x128,896,128,0.25,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01035424999999995,0.014696124999999925,0.0174255999999999,-97.61830881181261,-97.82333231382279,0.0,-97.81140254262918,0.0,43.0843872276596,1.0,-6219.856772699585,-5581.998868974086,0.0,0.0,-1.8247115123152138,-0.13140074999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x128,896,128,0.25,legacy_rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24827375,0.355604025,0.3829572,16.537319797855773,28.11074272779829,0.65625,16.690790606343036,0.65625,-5.361848646484133,0.07291666666666667,16.759248126698395,20.384193898840962,1.0,0.07291666666666667,0.00666343260712928,0.108961,0.0,8.0,741.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x128,896,128,0.25,frontier16_trim64,Frontier16 + adaptive trim64,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5806177499999999,0.8112746374999996,1.13914115,-53.488932823087,-66.72757456654384,0.052083333333333336,-50.39553978477735,0.052083333333333336,15.166222409663852,0.9583333333333334,-319.26088944941193,-276.6510377546599,0.08333333333333333,0.041666666666666664,-0.09043504761183467,0.44097149999999996,0.0,32.0,31.375,0.0,0.010416666666666666,0.0,2.125,2.125,45.927083333333336,7.5
host,896x128,896,128,0.25,frontier16_trim256,Frontier16 + adaptive trim256,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6832445,0.8987858,1.3003834,-18.151274308149688,-3.424631732360639,0.4375,-16.435387719903506,0.4479166666666667,6.101690783725714,0.5729166666666666,-125.17748856457008,-91.34552235331421,0.5416666666666666,0.11458333333333333,-0.029860132570606036,0.54546875,0.0,32.0,250.33333333333334,0.0,0.0,0.0,4.875,4.875,529.0208333333334,7.5
host,896x128,896,128,0.25,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,96,96,1.0,1.0,0.9895833333333334,0.9895833333333334,1.0,0.0,0.0,1.1328719999999999,1.497377775,2.0214386499999994,-18.151274308149688,-3.424631732360639,0.4375,-16.435387719903506,0.4479166666666667,6.101690783725714,0.5729166666666666,-125.17748856457008,-91.34552235331421,0.5416666666666666,0.11458333333333333,-0.029860132570606036,0.99380475,0.0,72.0,324.8229166666667,0.0,0.0,0.0,5.927083333333333,5.927083333333333,742.3125,7.0
cuda,896x128,896,128,0.25,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1612134999999999,0.2128315125,0.2676484999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x128,896,128,0.25,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0362705,0.0542650999999999,0.0703720499999999,-97.61830881181261,-97.82333231382279,0.0,-97.81140254262918,0.0,43.0843872276596,1.0,-6219.856772699585,-5581.998868974086,0.0,0.0,-1.8247115123152138,-0.124751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x128,896,128,0.25,legacy_rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.32625499999999996,0.44752511249999993,0.540521549999999,16.537319797855773,28.11074272779829,0.65625,16.690790606343036,0.65625,-5.361848646484133,0.07291666666666667,16.759248126698395,20.384193898840962,1.0,0.07291666666666667,0.00666343260712928,0.167538,0.0,8.0,741.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
