n,trial,spatial_mode,budget_index,row_budget_fraction,row_budget,method,method_label,two_line_efficiency,exact_efficiency,optimality_ratio,optimality_gap_pct,row_match,fallback_used,error
18,0,local,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,29.86314018343483,31.534608498459797,0.946995748651625,5.300425134837505,True,False,
18,0,local,0,0.25,4,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,29.86314018343483,31.534608498459797,0.946995748651625,5.300425134837505,True,False,
18,0,local,1,0.5,9,top_r,Top-R,17.490039109778653,20.3959293742131,0.8575259694658283,14.247403053417173,True,False,
18,0,local,1,0.5,9,legacy_rho2_mu4,Exp24 rho2/mu4,20.3959293742131,20.3959293742131,1.0,0.0,True,False,
18,0,local,1,0.5,9,frontier16_trim64,Frontier16 + adaptive trim64,20.3959293742131,20.3959293742131,1.0,0.0,True,False,
18,0,local,1,0.5,9,frontier16_trim256,Frontier16 + adaptive trim256,20.3959293742131,20.3959293742131,1.0,0.0,True,False,
18,0,local,1,0.5,9,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,20.3959293742131,20.3959293742131,1.0,0.0,True,False,
18,0,local,2,0.75,14,top_r,Top-R,13.722771959797207,13.722771959797207,1.0,0.0,True,False,
18,0,local,2,0.75,14,legacy_rho2_mu4,Exp24 rho2/mu4,13.722771959797207,13.722771959797207,1.0,0.0,True,False,
18,0,local,2,0.75,14,frontier16_trim64,Frontier16 + adaptive trim64,13.722771959797207,13.722771959797207,1.0,0.0,True,False,
18,0,local,2,0.75,14,frontier16_trim256,Frontier16 + adaptive trim256,13.722771959797207,13.722771959797207,1.0,0.0,True,False,
18,0,local,2,0.75,14,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,13.722771959797207,13.722771959797207,1.0,0.0,True,False,
18,0,hot-cold,0,0.25,4,top_r,Top-R,26.508965816364782,35.86259050973431,0.7391815660714571,26.08184339285429,True,False,
18,0,hot-cold,0,0.25,4,legacy_rho2_mu4,Exp24 rho2/mu4,35.86259050973431,35.86259050973431,1.0,0.0,True,False,
18,0,hot-cold,0,0.25,4,frontier16_trim64,Frontier16 + adaptive trim64,35.86259050973431,35.86259050973431,1.0,0.0,True,False,
18,0,hot-cold,0,0.25,4,frontier16_trim256,Frontier16 + adaptive trim256,35.86259050973431,35.86259050973431,1.0,0.0,True,False,
