score_kind,cases,same_mask_rate,error_delta_mean,error_delta_abs_mean,actual_total_delta_ms,selector_delta_ms,read_wall_delta_ms,chunk_delta
abs,1134,0.9365079365079365,-0.0008699553222042331,0.0014987347328894144,-8.921340940238153e-05,-0.00010846957671957769,9.986772486775132e-07,0.008818342151675485
x2,1134,0.9197530864197531,-0.0011786184219456225,0.0012986822024224297,0.0004395339543562938,0.000517528218694885,-4.0519841269841444e-05,0.010582010582010581
