error_ceiling,score_kind,lookup_total_ms,twoline_total_ms,twoline_gain_pct,selector_delta_ms,read_wall_delta_ms,chunk_delta
0.5,abs,0.37366008679388163,0.3720386371042192,0.4339370853266593,-0.0011881745565620744,-0.0004476095760189702,0.007683857459120702
0.5,x2,0.36401225966487366,0.3644006750601676,-0.10670393234874356,0.0012240338392557615,-0.0008665475629443808,0.013886208135308387
0.45,abs,0.3904724547691652,0.3896123083954936,0.22028349584353926,-0.000859322803493448,0.00014344180653036442,-0.0011039351057049451
0.45,x2,0.3823853386159737,0.38101678583173865,0.3578988643205955,0.0007626172280336824,-0.0019607072489749577,0.01708949594278497
0.42,abs,0.4030432766034705,0.4041200859706968,-0.26716966383878504,0.0002419368564290092,0.0007345772527126981,-0.025144384422938426
0.42,x2,0.3963629638256805,0.3972092985457221,-0.21352517699253495,0.001142087193213237,-0.0001690406675422529,-0.008087581498116503
0.4,abs,0.41084796808220914,0.41165155351725247,-0.19559192145804546,0.00026694486230563474,0.0004255766160775054,-0.022576934743231636
0.4,x2,0.4043202129985918,0.4067537551872598,-0.6018848700686928,0.0023241804929568233,0.00021728185974542735,-0.014803078750511123
0.35,abs,0.4360826746220696,0.43604065764019473,0.009635095434898149,-0.00046700564187943105,0.0004363677169788027,5.794876593023801e-05
0.35,x2,0.4283475953245748,0.4302679723783274,-0.44832212780312247,0.0016144990610389431,0.00033127208009098297,0.0005078803873255211
0.3,abs,0.4583933871590462,0.4591371691376995,-0.1622584442727143,0.0002473359632050587,0.00043905050924969435,0.011181590575184419
0.3,x2,0.4575624694019217,0.4575881578090466,-0.0056141857872413084,2.873737424496925e-05,0.00010361505240186197,0.012456337161059317
0.25,abs,0.47413402441611446,0.47383882850376186,0.06226001450035893,-0.00029519591235259435,0.0,0.0
0.25,x2,0.4690228679113734,0.46843557040211625,0.1252172440700906,-0.0005872975092571925,0.0,0.0
0.2,abs,0.5077830523001836,0.5082248072076982,-0.08699678051749654,0.0004417549075146354,0.0,0.0
0.2,x2,0.5051813738598845,0.5050401182815716,0.02796135915178903,-0.0001412555783128211,0.0,0.0
0.15,abs,0.5245640669766994,0.524044130237049,0.0991178718449172,-0.0005199367396502702,0.0,0.0
0.15,x2,0.5193547399863493,0.519119652662091,0.0452652697969856,-0.00023508732425822632,0.0,0.0
